Position,Track Name,Artist,Streams,URL,Year,Month,Track ID,Danceability,Valence,Energy
34,So Close,NOTD,127927,https://open.spotify.com/track/7FjZU7XFs7P9jHI9Z0yRhK,2019,1,7FjZU7XFs7P9jHI9Z0yRhK,0.7,0.872,0.761
35,Mo Bamba,Sheck Wes,127831,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2019,1,1xzBco0xcoJEDXktl7Jxrr,0.729,0.625,0.261
36,Let You Love Me,Rita Ora,127767,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP,2019,1,5Fla3zyOCcIRqrDoKLU0DP,0.475,0.846,0.451
37,Better Now,Post Malone,116877,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2019,1,7dt6x5M1jzdTEt8oCbisTK,0.68,0.578,0.341
38,Girls Like You (feat. Cardi B),Maroon 5,115487,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019,1,6V1bu6o1Yo5ZXnsCJU8Ovk,0.851,0.541,0.448
39,2002,Anne-Marie,111547,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2019,1,2BgEsaKNfHUdlh97KmvFyo,0.697,0.683,0.603
40,Ruin My Life,Zara Larsson,109897,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU,2019,1,5tAa8Uaqr4VvA3693mbIhU,0.665,0.699,0.585
41,imagine,Ariana Grande,109259,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F,2019,1,39LmTF9RgyakzSYX8txrow,0.729,0.475,0.371
42,"Swan Song - From the Motion Picture ""Alita: Battle Angel""",Dua Lipa,108333,https://open.spotify.com/track/5600nq7TiBraBX2jobyJ3l,2019,1,5600nq7TiBraBX2jobyJ3l,0.588,0.821,0.509
43,6 Figures,Kings,107667,https://open.spotify.com/track/1Q8OgsmxcnoGev6T7KUenD,2019,1,1Q8OgsmxcnoGev6T7KUenD,0.885,0.737,0.496
44,Taste (feat. Offset),Tyga,106580,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy,2019,1,5IaHrVsrferBYDm0bDyABy,0.884,0.559,0.342
45,lovely,Billie Eilish,105689,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf,2019,1,0u2P5u6lvoDfwTYjAADbn4,0.351,0.296,0.12
46,Drip Too Hard (Lil Baby & Gunna),Lil Baby,104241,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,2019,1,78QR3Wp35dqAhFEc2qAGjE,0.897,0.662,0.389
47,Nights Like This (feat. Ty Dolla $ign),Kehlani,103472,https://open.spotify.com/track/7e4KQkp5ZR1gXCAalRjX6B,2019,1,6ZRuF2n1CQxyxxAAWsKJOy,0.61,0.725,0.291
48,Lost in the Fire,Gesaffelstein,101648,https://open.spotify.com/track/7wFybC8jBH3zE139OpCtpG,2019,1,2vXKRlJBXyOcvZYTdNeckS,0.658,0.671,0.166
49,Bohemian Rhapsody - Remastered 2011,Queen,99163,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2019,1,7tFiyTwD0nx5a1eklYtX2J,0.392,0.402,0.228
