,Position,Track Name,Artist,Streams,URL,Year,Month
15,16,Money In The Grave (Drake ft. Rick Ross),Drake,167941,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb,2019,07
16,17,Remember The Name (feat. Eminem & 50 Cent),Ed Sheeran,164896,https://open.spotify.com/track/0AtP8EkGPn6SwxKDaUuXec,2019,07
17,18,Panini,Lil Nas X,153482,https://open.spotify.com/track/6fTt0CH2t0mdeB2N9XFG5r,2019,07
18,19,No Guidance (feat. Drake),Chris Brown,150737,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX,2019,07
19,20,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,147173,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019,07
20,21,Ransom,Lil Tecca,144076,https://open.spotify.com/track/1kBbgxAUc4HQv7cgIayIDH,2019,07
21,22,If I Can't Have You,Shawn Mendes,136089,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz,2019,07
22,23,Don't Check On Me (feat. Justin Bieber & Ink),Chris Brown,133731,https://open.spotify.com/track/7ILEWkpfdK6AjH2D7jppWk,2019,07
23,24,bad guy (with Justin Bieber),Billie Eilish,129647,https://open.spotify.com/track/3yNZ5r3LKfdmjoS3gkhUCT,2019,07
24,25,3 Nights,Dominic Fike,127959,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u,2019,07
25,26,Talk (feat. Disclosure),Khalid,127909,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq,2019,07
26,27,You Need To Calm Down,Taylor Swift,123627,https://open.spotify.com/track/29fRTIKsJhLUJoldM89GZS,2019,07
27,28,The London (feat. J. Cole & Travis Scott),Young Thug,122387,https://open.spotify.com/track/7DcvwMAiqKJQD1rrdfxSDx,2019,07
28,29,All This Time,Drax Project,114441,https://open.spotify.com/track/5pWsEZcRSwl1XOOIa52AIV,2019,07
29,30,"Go Loko (feat. Tyga, Jon Z)",YG,114169,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD,2019,07
30,31,Sucker,Jonas Brothers,107595,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD,2019,07
31,32,Easier,5 Seconds of Summer,106594,https://open.spotify.com/track/4tNXntkAzQ5A2dfYRYGIIQ,2019,07
32,33,Never Really Over,Katy Perry,106554,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0,2019,07
33,34,Shallow,Lady Gaga,105029,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019,07
34,35,Take Me Back to London (feat. Stormzy),Ed Sheeran,104622,https://open.spotify.com/track/1AI7UPw3fgwAFkvAlZWhE0,2019,07
35,36,Best Part of Me (feat. YEBBA),Ed Sheeran,101217,https://open.spotify.com/track/0VsGaRXR5WAzpu51unJTis,2019,07
36,37,Rescue Me,OneRepublic,100521,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM,2019,07
37,38,Eastside (with Halsey & Khalid),benny blanco,99073,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019,07
38,39,Call You Mine (feat. Bebe Rexha),The Chainsmokers,97322,https://open.spotify.com/track/05CwHjIk71RXVU40boRMnR,2019,07
39,40,SOS (feat. Aloe Blacc),Avicii,97082,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5,2019,07
40,41,Piece Of Your Heart,MEDUZA,96083,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs,2019,07
41,42,Paradise,Bazzi,94288,https://open.spotify.com/track/7njKgVl3AnLflRad38o7AG,2019,07
42,43,Wow.,Post Malone,93751,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,07
43,44,EARFQUAKE,"Tyler, The Creator",93361,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0,2019,07
44,45,Better,Khalid,92744,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019,07
45,46,Saturday Nights,Khalid,89198,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,2019,07
46,47,when the party's over,Billie Eilish,87645,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I,2019,07
47,48,Higher Love,Kygo,82820,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY,2019,07
48,49,i love you,Billie Eilish,82691,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc,2019,07
49,50,Dancing With A Stranger (with Normani),Sam Smith,82628,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2019,07
50,51,Old Town Road,Lil Nas X,81073,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O,2019,07
51,52,Only Human,Jonas Brothers,79324,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk,2019,07
52,53,Let Me Down Slowly,Alec Benjamin,78434,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,2019,07
53,54,One Thing Right,Marshmello,75617,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4,2019,07
54,55,Mother's Daughter,Miley Cyrus,75523,https://open.spotify.com/track/2WyRfGeHo97VC5mP1BBSzr,2019,07
55,56,lovely (with Khalid),Billie Eilish,74425,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,2019,07
56,57,Youngblood,5 Seconds of Summer,73566,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2019,07
57,58,MIDDLE CHILD,J. Cole,73277,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,2019,07
58,59,Happier,Marshmello,72958,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019,07
59,60,Shotgun,George Ezra,72590,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC,2019,07
60,61,Just Us (feat. SZA),DJ Khaled,71880,https://open.spotify.com/track/0BnTBAGmr9FtYwkZrwKhwS,2019,07
