Position,Track Name,Artist,Streams,URL,Year,Month,yyyy-mm,Stream %,Track ID
33,Antes de Morirme (feat. Rosalía),C. Tangana,811630,https://open.spotify.com/track/7aFBy1CBLGnZE1Iv6TvEZE,2019,01,2019-01,0.007901142949201705,4Dl8bEzhAEGbcwkQawS1XG
34,Desde el Corazón,Bad Bunny,804143,https://open.spotify.com/track/1R2mapMAUiYqre6jcFX57g,2019,01,2019-01,0.007828257696980036,1R2mapMAUiYqre6jcFX57g
35,Está Rico,Marc Anthony,801056,https://open.spotify.com/track/2wRkBumdItthjYP9XknImg,2019,01,2019-01,0.007798206037622711,2wRkBumdItthjYP9XknImg
36,Créeme,KAROL G,720057,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz,2019,01,2019-01,0.007009688267527485,0mqayP1Moez8gMZ06oq7rD
37,Te Vi,Piso 21,712181,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd,2019,01,2019-01,0.006933016136300309,059bcIhyc2SBwm6sw2AZzd
38,Culpables,KAROL G,707506,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH,2019,01,2019-01,0.006887505443881943,3oL3s33HbtOQi0bWP5lYvN
39,Un Año,Sebastian Yatra,705499,https://open.spotify.com/track/5BDP2tky8oMQJPS33frKVp,2019,01,2019-01,0.006867967484591321,7onmX3EZ9Vq7v68aObV2sa
40,Cuando Nadie Ve,Morat,697303,https://open.spotify.com/track/71iAechwVKGu26pahzFL0k,2019,01,2019-01,0.0067881801829740105,71iAechwVKGu26pahzFL0k
41,Perdón,David Bisbal,674672,https://open.spotify.com/track/4iCJFRTRsFlj4UWoEd7bS9,2019,01,2019-01,0.006567869492039246,0F6VPyUuJOPqt8E2uknv4R
42,Devuelveme,Ozuna,663039,https://open.spotify.com/track/5uvucCRBTkxv7VxIDLOqe7,2019,01,2019-01,0.0064546233134504015,2xKvuZes9IeLf47ht1E0UK
43,Caro,Bad Bunny,658117,https://open.spotify.com/track/6it15CsDlkqB7N4lF0C1qM,2019,01,2019-01,0.006406708098887151,5hTpBe8h35rJ67eAWHQsJx
44,MALAMENTE - Cap.1: Augurio,ROSALÍA,655978,https://open.spotify.com/track/1B0BQaSRHxhI0AUlItY3LK,2019,01,2019-01,0.006385885131810598,1B0BQaSRHxhI0AUlItY3LK
45,Luz Apaga,Ozuna,653342,https://open.spotify.com/track/5Q3e16qE1RE5oilN3ukasm,2019,01,2019-01,0.006360223915721869,5Q3e16qE1RE5oilN3ukasm
46,BEBE,6ix9ine,646706,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn,2019,01,2019-01,0.006295623069756463,7D7EH7MGyNHWSkqrszerI1
47,A Solas - Remix,Lunay,641781,https://open.spotify.com/track/3T5QSIgoaPIh07SwixRDp7,2019,01,2019-01,0.006247678650470805,1fXEkSum1vbTa3w0yvYzYW
48,Mujeres,Mozart La Para,601017,https://open.spotify.com/track/6xLvYhLOW2oETJoZv8ChU8,2019,01,2019-01,0.005850844882397596,2PxGGRmj5yunYdNF2Ud2vm
49,Good Vibes,Fuego,591641,https://open.spotify.com/track/4TwIbmabI2R5XUhqptk6Ev,2019,01,2019-01,0.005759570389966667,1XVqh0dC0PIl72f2mQhsVt
50,Sin Pijama,Becky G,575194,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww,2019,01,2019-01,0.005599460366821243,2ijef6ni2amuunRoKTlgww
51,Sweet but Psycho,Ava Max,570701,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019,01,2019-01,0.005555721427562266,7DnAm9FOTWE3cUvso43HhI
52,Mocca - Remix,Lalo Ebratt,561527,https://open.spotify.com/track/1usoXi4f0BnMART4uActEA,2019,01,2019-01,0.005466413386440109,5UkZc9bz7ZOvnbuhJYU7v0
53,Without Me,Halsey,547097,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,01,2019-01,0.005325938671659999,7lQ8MOhq6IN2w8EYcFNSUk
54,TELÉFONO,Aitana,516013,https://open.spotify.com/track/5h8VHxOBK1VWWj46T8fSly,2019,01,2019-01,0.005023338807888347,0vZi38VepxZWh0ACqYaXio
55,Cuando Te Besé,Becky G,513893,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019,01,2019-01,0.005002700804053709,2XXMDz7SPZ4mSFN1PXfHUy
56,Sola,Luis Fonsi,495764,https://open.spotify.com/track/0BOm90PDLRJpTSqqd6z52E,2019,01,2019-01,0.004826216666545142,0Jr4zQh5i3vrKFEcXrhhxl
57,5 Sentidos,Dvicio,495282,https://open.spotify.com/track/7chjOPhoxbpRYSrO1rvdnu,2019,01,2019-01,0.004821524441145003,7chjOPhoxbpRYSrO1rvdnu
58,La Forma en Que Me Miras,Super Yei,477619,https://open.spotify.com/track/6t94PGXYAuo9GbJEnMpPcW,2019,01,2019-01,0.004649576770517069,6t94PGXYAuo9GbJEnMpPcW
59,Ni La Hora,Ana Guerra,469049,https://open.spotify.com/track/1aIeJAvEbFrD33tjUEJ7yo,2019,01,2019-01,0.004566148613506291,0d4iaUyHYJAGgMGcBl9G5x
60,"thank u, next",Ariana Grande,466422,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019,01,2019-01,0.004540575011584783,3e9HZxeyfWwjeyPAMmWSSQ
61,Usted,Juan Magán,458325,https://open.spotify.com/track/79HTe42PihWUUq4BDjcuCq,2019,01,2019-01,0.004461751465806922,4HSCdZ6jerMGUSxaTklvNR
62,PPP,Kevin Roldan,456334,https://open.spotify.com/track/1DcxnVNFAyVl2sDQ646pXS,2019,01,2019-01,0.004442369265035806,14eTSBjCDBNyXv8taIyzKd
63,No Te Preocupes por Mi,Leiva,453592,https://open.spotify.com/track/2huX4MIVEWQtzCpu6B05SV,2019,01,2019-01,0.004415676148755344,5G3hFb8E9rMlKbdyDY4Vzh
