,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
50,"Ismart Title Song","Mani Sharma",221173,https://open.spotify.com/track/60VyQzsBj1DddurUZGHUQ7
51,"She Move It Like",Badshah,220864,https://open.spotify.com/track/39vrbjCMTRXEdiIr2IsBgd
52,"Dekhte Dekhte (From ""Batti Gul Meter Chalu"")","Atif Aslam",216935,https://open.spotify.com/track/0Iz4CkptElGHo16r797Jsb
53,"Apna Time Aayega","Ranveer Singh",214928,https://open.spotify.com/track/5uaIbU3oHHcSOK6WFNK5nj
54,"Photo (From ""Luka Chuppi"")","Karan Sehmbi",210192,https://open.spotify.com/track/5wdlz4N7s1Xyr4y4RXhZJM
55,"Wang Da Naap","Ammy Virk",200573,https://open.spotify.com/track/5r7k55M31Q22AEJkF1GTyw
56,Tareefan,QARAN,198189,https://open.spotify.com/track/5QyOjKJhR1iyF0DHQM2IvW
57,"Slowly Slowly","Guru Randhawa",194858,https://open.spotify.com/track/4pBxb7WuLsC3YyA9cj4T2l
58,"You Need To Calm Down","Taylor Swift",190374,https://open.spotify.com/track/29fRTIKsJhLUJoldM89GZS
59,Qaafirana,"Arijit Singh",186879,https://open.spotify.com/track/0xkGTPTijMU84dtHr3KQQi
60,"If I Can't Have You","Shawn Mendes",186616,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
61,"Call You Mine (feat. Bebe Rexha)","The Chainsmokers",186473,https://open.spotify.com/track/05CwHjIk71RXVU40boRMnR
62,"Sohne Lagde","Sidhu Moose Wala featuring The PropheC",186308,https://open.spotify.com/track/4uP5KkYk4DdprU4sXqb3qU
63,"Morni Banke (From ""Badhaai Ho"")","Guru Randhawa",185819,https://open.spotify.com/track/5x3K3Ld54TtkYKdQvrFOV3
64,"Dimaak Kharaab","Keerthana Sharma",183694,https://open.spotify.com/track/2xr3uvrbq6OKCUX2puxj8q
65,"Dhoonde Akhiyaan","Yasser Desai",180423,https://open.spotify.com/track/4J95lPA0dj6HVDs4zwo2jn
66,"Valentine's Mashup 2019","Amrita Singh",178736,https://open.spotify.com/track/1MhHomaXgrPMBroXkpWSSa
67,"Tere Bin (From ""Simmba"")","Rahat Fateh Ali Khan",178022,https://open.spotify.com/track/4f5kLqyOJ5ZPnalEVMQrB2
68,"The Humma Song","A.R. Rahman",176416,https://open.spotify.com/track/7heMX7gyHP0mhTlNgd7Lxd
69,"Channa Mereya",Pritam,175618,https://open.spotify.com/track/0H2iJVgorRR0ZFgRqGUjUM
70,"Dil Mein Ho Tum (From ""Cheat India"")","Armaan Malik",174871,https://open.spotify.com/track/1mjWhM7GQTTxJxg2F0iCRS
71,Pal,Javed-Mohsin,174470,https://open.spotify.com/track/5G7pZ8G8NFvS1MQ9H4L7dC
72,Sucker,"Jonas Brothers",174442,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
73,"Without Me",Halsey,172964,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
74,"Enna Sona","A.R. Rahman",171515,https://open.spotify.com/track/6bdpj89aYEBjhpsenXAsmO
75,Hawayein,Pritam,169348,https://open.spotify.com/track/0l6g8Z8mqGbGXFOjigYetD
76,"Chogada (From ""Loveyatri"")","Darshan Raval",166886,https://open.spotify.com/track/4ymPEyiXabTe1NO8q8EFxG
77,"7 rings","Ariana Grande",165499,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
78,"Kya Baat Ay","Harrdy Sandhu",163033,https://open.spotify.com/track/1ZaeaGLhFSckG8sv1y7AWk
79,"Leja Re","Dhvani Bhanushali",161708,https://open.spotify.com/track/68iBMrMRc1rg4eAxJbvxch
80,"Zilla Hilela","Dev Negi",160395,https://open.spotify.com/track/1wnnVlan2KM0c8KmmOTcKO
81,Believer,"Imagine Dragons",158406,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
82,"Suit Suit","Guru Randhawa",157795,https://open.spotify.com/track/2mwBSO58y92EYmEFpDfmS7
83,"Loco Contigo","DJ Snake",153662,https://open.spotify.com/track/1fBXSMOusjaj7GjzErHmUI
84,Lamberghini,"The Doorbeen",151501,https://open.spotify.com/track/7cFuzwgbtHXmSKuCzo0qCW
85,"Paniyon Sa","Atif Aslam",151320,https://open.spotify.com/track/2si0ZNx4yRbggTvrIom8A2
86,"Dil Jaaniye (From ""Khandaani Shafakhana"")","Tulsi Kumar",150491,https://open.spotify.com/track/0j0bk7gBFUztQWdSgt6dpj
87,"One Thing Right",Marshmello,150035,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
88,Samjhawan,"Jawad Ahmad",143767,https://open.spotify.com/track/0rk2X5TAhraBC5aCIXK2Rq
89,"Woh Baarishein","Arjun Kanungo",143556,https://open.spotify.com/track/3RFNUexrtXExkzTEiJ0eBh
90,"Old Town Road","Lil Nas X",142972,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
91,"Nazar Na Lag Jaaye (From ""Stree"")","Ash King",139790,https://open.spotify.com/track/0cWLJcdvM6QlOQ7UJdB4jb
92,"Akh Lad Jaave",Badshah,139495,https://open.spotify.com/track/5SVpD60u9vjoQ2OeoKsTkb
93,"Funk Love","Yo Yo Honey Singh",139322,https://open.spotify.com/track/027ZAj6E6dfDMGeYelpzOH
94,"Dil Chori (From ""Sonu Ke Titu Ki Sweety"")","Yo Yo Honey Singh",138901,https://open.spotify.com/track/3NKuSd9Qa5fzwhqiuKYFh4
95,"Dil Diyan Gallan",Vishal-Shekhar,138612,https://open.spotify.com/track/5MnAi6ZF7cE8pAz7wYr9Ta
96,Lalala,Y2K,138036,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
97,"Someone You Loved","Lewis Capaldi",137835,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
98,Faded,"Alan Walker",137675,https://open.spotify.com/track/698ItKASDavgwZ3WjaWjtz
99,Instagram,"Dimitri Vegas & Like Mike",136970,https://open.spotify.com/track/0U6bQIAh6MCGo1xjbIIx2S
100,Happier,Marshmello,136101,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
101,"rockstar (feat. 21 Savage)","Post Malone",135519,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
102,Panini,"Lil Nas X",133838,https://open.spotify.com/track/6fTt0CH2t0mdeB2N9XFG5r
103,"Jaane De Mujhe",Sanam,133479,https://open.spotify.com/track/68yvVCPYnG7V1GNz7UvGGS
104,"Gali Gali (From ""Kgf Chapter 1"")","Neha Kakkar",133389,https://open.spotify.com/track/2m8P30Ly9Az1uGvFmhLTBI
105,"Haaye Oye (feat. Ash King)",QARAN,133158,https://open.spotify.com/track/0oukMLKedsqQ3ltnI2daRO
106,"Kaash Aisa Hota","Darshan Raval",130460,https://open.spotify.com/track/5aA9HqRPZHROKWrO5RczTm
107,"Money In The Grave (Drake ft. Rick Ross)",Drake,129979,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
108,"I Like Me Better",Lauv,126513,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
109,"Saara India","Aastha Gill",126238,https://open.spotify.com/track/46GBoFCdFZZSjuGaZjZmGv
110,"Teri Mitti",Arko,124078,https://open.spotify.com/track/75hrPAosuDiO9F3DKwVP12
111,"Naina Da Kya Kasoor","Amit Trivedi",123899,https://open.spotify.com/track/4JQxGJ8jsKW8pOUVoAgOZr
112,"High Rated Gabru (From ""Nawabzaade"")","Guru Randhawa",122804,https://open.spotify.com/track/1ozrNv9W4KlprAmvgH0Yrq
113,"Treat You Better","Shawn Mendes",121496,https://open.spotify.com/track/3QGsuHI8jO1Rx4JWLUh9jd
114,"Girls Like You (feat. Cardi B)","Maroon 5",119942,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
115,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",119203,https://open.spotify.com/track/5BRUlCrkTljRTux8BUPUDp
116,"Old Town Road - Remix","Lil Nas X",118959,https://open.spotify.com/track/6jmZlyf9DxcIoRrjw02YXm
117,Kabira,Pritam,118880,https://open.spotify.com/track/4bD9z9qa4qg9BhryvYWB7c
118,Tommy,"Raj Ranjodh",118827,https://open.spotify.com/track/4rEY2x2I6NIhXbdFUruwek
119,"Kar Gayi Chull",Badshah,117642,https://open.spotify.com/track/3fPgIknlkDWXs1l2noKZbp
120,"Let Me Love You","DJ Snake",116052,https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU
121,Urvashi,"Yo Yo Honey Singh",116029,https://open.spotify.com/track/342pJxy678kgQrZXCL9RG7
122,"Tera Shehar (feat. Mohd. Kalam)","Amaal Mallik",115873,https://open.spotify.com/track/1g4ROF1TLFOxIckKlh5bp5
123,Viah,"Jass Manak",115755,https://open.spotify.com/track/12V0iduYsoXxsQYTSeFB2H
124,Jugraafiya,"Udit Narayan",115296,https://open.spotify.com/track/5BgtNz0AsCIIu2pfbCfq5c
125,Mercy,Badshah,114952,https://open.spotify.com/track/04VUjNx30IrigVZU3CQmrQ
126,Thunder,"Imagine Dragons",114372,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
127,"Boy With Luv (feat. Halsey)",BTS,114110,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
128,Wow.,"Post Malone",113993,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
129,"O Saathi","Atif Aslam",113799,https://open.spotify.com/track/6fScgF2Y63ScU73nYju0ny
130,"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")","Arijit Singh",113193,https://open.spotify.com/track/1aIhAX6324JZmhNnGltwkK
131,Daryaa,"Ammy Virk",113010,https://open.spotify.com/track/3ExeNEpJJQXfmq1cwj0LVo
132,"Comrade Anthem (From ""Dear Comrade"")",Gubbi,112949,https://open.spotify.com/track/6wCPsraE6p88IRcA1Tu4hz
133,"Find U Again (feat. Camila Cabello)","Mark Ronson",112628,https://open.spotify.com/track/5Uw7Dut2lZfexn3Y09swpf
134,"Saturday Night","Neeraj Shridhar",112609,https://open.spotify.com/track/6TmlhNNBBmVC3kWkSpHaMc
135,"Bolna (From ""Kapoor & Sons (Since 1921)"")","Tanishk Bagchi",112590,https://open.spotify.com/track/3GrCQPpKqKzOcKfMAoqn82
136,Closer,"The Chainsmokers",112553,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
137,"Eastside (with Halsey & Khalid)","benny blanco",111712,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
138,"Hate Me (with Juice WRLD)","Ellie Goulding",111710,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
