,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Life Goes On",BTS,2756721,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
2,Dynamite,BTS,1827337,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
3,"Blue & Grey",BTS,1376502,https://open.spotify.com/track/0n2moJpAEWHwaPYYjkzMDl
4,"Naach Meri Rani","Guru Randhawa",1350320,https://open.spotify.com/track/1orM67pmkNc4alrZkWjYkV
5,"Fly To My Room",BTS,1318492,https://open.spotify.com/track/3QH8rQGNFX8VLbCgZ7uPTS
6,Mirchi,DIVINE,1308008,https://open.spotify.com/track/5KkCsYIgMK5H7Ih31Dnd2Q
7,Waalian,Harnoor,1212235,https://open.spotify.com/track/4Nc4ojIRbHohLiX9NmKkVh
8,Titliaan,"Afsana Khan",1144087,https://open.spotify.com/track/1980E4Grgu5xAhNbFZ1mb1
9,"Mood (feat. iann dior)",24kGoldn,1131827,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
10,Telepathy,BTS,1102875,https://open.spotify.com/track/2FVpOsjT1iquZ3SpCjZ9Ne
11,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",1037287,https://open.spotify.com/track/2Z8yfpFX0ZMavHkcIeHiO1
12,Stay,BTS,1028081,https://open.spotify.com/track/3ndCsZfq8OVwwkz9mmZvUz
13,"BurjKhalifa (From ""Laxmii"")",Shashi,1023765,https://open.spotify.com/track/3ZVKI8jix6PjEFx2xFBFhz
14,Shayad,Pritam,998668,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL
15,positions,"Ariana Grande",996122,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
16,"Aabaad Barbaad (From ""Ludo"")",Pritam,977697,https://open.spotify.com/track/0hFUtSsV2itYEUTZGj6w5H
17,Dis-ease,BTS,969650,https://open.spotify.com/track/54DmTIv86D3sYdiawjULQ0
18,Liggi,Ritviz,929735,https://open.spotify.com/track/66Nmp3ztIMqX1j8yYtWl1X
19,"Taaron Ke Shehar","Neha Kakkar",862242,https://open.spotify.com/track/1r6sFC5J0p9r3jcfIoSGDM
20,"Teri Aankhon Mein","Darshan Raval",856639,https://open.spotify.com/track/3wmI2n0Whs6kg4MT8jFRU1
21,"No Competition","Jass Manak",772512,https://open.spotify.com/track/4AVe62GFbb3ffKXjUSpiuv
22,"Majha Block","Prem Dhillon",742239,https://open.spotify.com/track/3CPvL9ehmERejt7b5RvVAY
