,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,"One Thing Right",Marshmello,75617,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
55,"Mother's Daughter","Miley Cyrus",75523,https://open.spotify.com/track/2WyRfGeHo97VC5mP1BBSzr
56,"lovely (with Khalid)","Billie Eilish",74425,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
57,Youngblood,"5 Seconds of Summer",73566,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
58,"MIDDLE CHILD","J. Cole",73277,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
59,Happier,Marshmello,72958,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
60,Shotgun,"George Ezra",72590,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
61,"Just Us (feat. SZA)","DJ Khaled",71880,https://open.spotify.com/track/0BnTBAGmr9FtYwkZrwKhwS
62,"7 rings","Ariana Grande",68418,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
63,"MOOD 4 EVA (feat. Oumou Sangaré)",Beyoncé,68095,https://open.spotify.com/track/7oqftogUN82Q7VNy2TmTJW
64,Soaked,BENEE,67045,https://open.spotify.com/track/5p80uI2FhYGQZJRfzy7mb6
65,"Vossi Bop",Stormzy,66742,https://open.spotify.com/track/44ZJ4hLD5onikKsVLQaILr
66,"Without Me",Halsey,66302,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
67,"I Think I'm OKAY (with YUNGBLUD & Travis Barker)","Machine Gun Kelly",65150,https://open.spotify.com/track/2gTdDMpNxIRFSiu7HutMCg
68,"Put It All on Me (feat. Ella Mai)","Ed Sheeran",64730,https://open.spotify.com/track/5T03itPFOPGGkvVPvPiyla
69,"Come Home","Sons Of Zion",64484,https://open.spotify.com/track/2ASU8fV9hVvE2Aa0r8lrwE
70,"Rocket Man (I Think It's Going To Be A Long, Long Time)","Elton John",63892,https://open.spotify.com/track/3gdewACMIVMEWVbyb8O9sY
71,Suge,DaBaby,63012,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
72,"bury a friend","Billie Eilish",62940,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
73,"Hate Me (with Juice WRLD)","Ellie Goulding",62569,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
