,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Señorita,"Shawn Mendes",399901,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik
2,"I Don't Care (with Justin Bieber)","Ed Sheeran",313359,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
3,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",268726,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
4,"bad guy","Billie Eilish",260846,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
5,"Someone You Loved","Lewis Capaldi",253666,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
6,"Money In The Grave (Drake ft. Rick Ross)",Drake,203957,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
7,"You Need To Calm Down","Taylor Swift",202432,https://open.spotify.com/track/29fRTIKsJhLUJoldM89GZS
8,"Cross Me (feat. Chance the Rapper & PnB Rock)","Ed Sheeran",195359,https://open.spotify.com/track/543bCW2ruMPmxUBWirQ3MR
9,"No Guidance (feat. Drake)","Chris Brown",190268,https://open.spotify.com/track/7FEwp8BavoEVE3AnxJDchc
10,"Truth Hurts",Lizzo,187701,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
11,"Never Really Over","Katy Perry",173659,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
12,"If I Can't Have You","Shawn Mendes",170980,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
13,"The Git Up","Blanco Brown",165150,https://open.spotify.com/track/5dW1VZPcFqB4n0P08rGDgm
14,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",158670,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
15,"The London (feat. J. Cole & Travis Scott)","Young Thug",158087,https://open.spotify.com/track/7DcvwMAiqKJQD1rrdfxSDx
16,"Talk (feat. Disclosure)",Khalid,157558,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
17,"3 Nights","Dominic Fike",157193,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
18,Panini,"Lil Nas X",154720,https://open.spotify.com/track/6fTt0CH2t0mdeB2N9XFG5r
19,EARFQUAKE,"Tyler, The Creator",153009,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
20,"Go Loko (feat. Tyga, Jon Z)",YG,139944,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD
21,Sucker,"Jonas Brothers",139006,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
22,"It's You","Ali Gatie",137943,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
23,Easier,"5 Seconds of Summer",136930,https://open.spotify.com/track/4tNXntkAzQ5A2dfYRYGIIQ
24,"Rescue Me",OneRepublic,127894,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
