,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Secreto,"Anuel AA",2888172,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
2,"Baila Baila Baila",Ozuna,2693711,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
3,"Adan y Eva","Paulo Londra",2448248,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
4,"Calma - Remix","Pedro Capó",2216229,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
5,"NI BIEN NI MAL","Bad Bunny",2082242,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8
6,Amanece,"Anuel AA",1790819,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
7,Adictiva,"Daddy Yankee",1762584,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP
8,MALA,6ix9ine,1589371,https://open.spotify.com/track/0LQ1J0BCzA2qnAgp9MkkNE
9,"Mujer Bruja","Lola Indigo",1484372,https://open.spotify.com/track/4R8TsvDoKSSDVERlaphNBA
10,"Ella Quiere Beber - Remix","Anuel AA",1465922,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq
11,"Pa' Llamar Tu Atención (feat. MC Bin Laden)","C. Tangana",1463333,https://open.spotify.com/track/2vEY3cNwXYxIG4fPAoN14q
12,"MIA (feat. Drake)","Bad Bunny",1461601,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
13,"7 rings","Ariana Grande",1428494,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF
14,Imposible,"Luis Fonsi",1402346,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm
15,"Ta To Gucci (Remix)",Cauty,1372959,https://open.spotify.com/track/7kuRvjpeUcn6qNV9IBXC2C
16,"Vas A Quedarte",Aitana,1299968,https://open.spotify.com/track/2b3JxLi8KAiOsD8ehnOxDZ
17,Booty,"C. Tangana",1290302,https://open.spotify.com/track/4W3FJapn5CD6Fnrlfj4HFe
18,"Solo de Mi","Bad Bunny",1150328,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR
19,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",1142576,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
20,"Con Calma","Daddy Yankee",1100360,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
21,Bubalu,"Becky G",1036362,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb
22,"Say My Name","David Guetta",907790,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
23,Replay,"Maikel Delacalle",883835,https://open.spotify.com/track/07w6jp4Fq8GGqhLoDYoVkb
24,Desconocidos,"Mau y Ricky",881828,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ
25,"Vaina Loca",Ozuna,875116,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
26,Ibiza,Ozuna,843765,https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp
27,Bajito,"Ana Guerra",836532,https://open.spotify.com/track/7KZQidvgSlEeVvJtDYpMJy
28,"Qué Tienes Tú (feat. Jesús de Reik & Mau y Ricky)",Dvicio,835398,https://open.spotify.com/track/4txQPJDlvU72lC6EMhT7m9
29,"Lo siento",Beret,828871,https://open.spotify.com/track/4S6gJt4RYR34t4sjW8wEah
30,"Asesina - Remix",Brytiago,825842,https://open.spotify.com/track/59PYgzOiOjGDzjDT5N5oOX
31,Reggaeton,"J Balvin",824973,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi
32,"La Venda","Miki Núñez",815808,https://open.spotify.com/track/3fCyP5h59OZOgfqQbeO1lJ
33,"Antes de Morirme (feat. Rosalía)","C. Tangana",811630,https://open.spotify.com/track/7aFBy1CBLGnZE1Iv6TvEZE
34,"Desde el Corazón","Bad Bunny",804143,https://open.spotify.com/track/1R2mapMAUiYqre6jcFX57g
35,"Está Rico","Marc Anthony",801056,https://open.spotify.com/track/2wRkBumdItthjYP9XknImg
36,Créeme,"KAROL G",720057,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz
37,"Te Vi","Piso 21",712181,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
38,Culpables,"KAROL G",707506,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH
39,"Un Año","Sebastian Yatra",705499,https://open.spotify.com/track/5BDP2tky8oMQJPS33frKVp
40,"Cuando Nadie Ve",Morat,697303,https://open.spotify.com/track/71iAechwVKGu26pahzFL0k
41,Perdón,"David Bisbal",674672,https://open.spotify.com/track/4iCJFRTRsFlj4UWoEd7bS9
42,Devuelveme,Ozuna,663039,https://open.spotify.com/track/5uvucCRBTkxv7VxIDLOqe7
43,Caro,"Bad Bunny",658117,https://open.spotify.com/track/6it15CsDlkqB7N4lF0C1qM
44,"MALAMENTE - Cap.1: Augurio",ROSALÍA,655978,https://open.spotify.com/track/1B0BQaSRHxhI0AUlItY3LK
