,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
57,"Ella No Quiere Rosé",Rvfv,588644,https://open.spotify.com/track/6Aqeqb9rVNA1U6zuuxczQZ
58,"Qué Bonito Es Querer","Manuel Carrasco",584751,https://open.spotify.com/track/6uzGmmQ4CuG9HvZktEy0LF
59,"LA CANCIÓN","J Balvin",574049,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
60,Hookah,"Bad Gyal",545804,https://open.spotify.com/track/4piZ5m1vZGDkfyHga5U97m
61,LowKey,"Bryant Myers",536964,https://open.spotify.com/track/3aSZoM8ZylbB0xCBkGpNTg
62,"Gan-Ga - Remix","Bryant Myers",536838,https://open.spotify.com/track/27qRmG3zOWPvMYUkpPdQ1g
63,"Soltera - Remix",Lunay,522247,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
64,"No Te Debí Besar","C. Tangana",521474,https://open.spotify.com/track/1KdwnsWOvhM53vezy5ROuf
65,"Santa Tell Me","Ariana Grande",518632,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
66,Presiento,Morat,515461,https://open.spotify.com/track/2V4hc5gplg7EXlrRUvD4rp
67,"No Vuelvas Más",Darell,513763,https://open.spotify.com/track/0mcBgVRVsvESTkEyVHt7Ue
68,"Don't Start Now","Dua Lipa",508800,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
69,"A Escondidas",$kyhook,495533,https://open.spotify.com/track/7754vHc34U2wQMIJFWRhVK
70,"Con Calma","Daddy Yankee",492785,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
71,"MALA SANTA","Becky G",483393,https://open.spotify.com/track/5e50NiIlOc2YJIftHzoehd
72,"Calma - Remix","Pedro Capó",478460,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
73,"bad guy","Billie Eilish",463269,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
74,Djadja,"Aya Nakamura",460742,https://open.spotify.com/track/7sKDftgGirHWTVFMtJoDoh
75,"Me Equivocaré","Antonio José",460325,https://open.spotify.com/track/5zsvrbPy4w9nz067ViWprz
76,"It's Beginning to Look a Lot like Christmas","Michael Bublé",455567,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
77,"Me Quedo",Aitana,455264,https://open.spotify.com/track/6Nqi1fWKYXrVXmF3RtQbSf
78,Easy,"Jhay Cortez",443965,https://open.spotify.com/track/7fTsw0IKbbPDN19keS32tF
79,"Jingle Bell Rock","Bobby Helms",439920,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
80,"Me vas a ver",Beret,439219,https://open.spotify.com/track/3iVwzH29gquHzkrZuy3M4w
81,Piensan,Haze,435788,https://open.spotify.com/track/0i9oiUkWOgvtnjkr0fa3XN
82,"Feliz Navidad","José Feliciano",433987,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
83,"Sueño (con Pablo Alborán)",Beret,428182,https://open.spotify.com/track/71M1szVbVYZM5M6QlIm6aC
84,"Cuerpo en Venta",Noriel,425769,https://open.spotify.com/track/2B94bbI1a4LyBpK1439oP7
