,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Con Calma","Daddy Yankee",3635685,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
2,"Contando Lunares (feat. Cruz Cafuné)","Don Patricio",2798968,https://open.spotify.com/track/6Cs7b9bu3fy5XhMwBA9Tz4
3,Secreto,"Anuel AA",2590942,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
4,"Baila Baila Baila",Ozuna,2584096,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
5,"Calma - Remix","Pedro Capó",2278392,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
6,"Adan y Eva","Paulo Londra",2004864,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
7,"Un Año","Sebastian Yatra",1893507,https://open.spotify.com/track/5BDP2tky8oMQJPS33frKVp
8,"Pa' Llamar Tu Atención (feat. MC Bin Laden)","C. Tangana",1779059,https://open.spotify.com/track/2vEY3cNwXYxIG4fPAoN14q
9,Amanece,"Anuel AA",1744878,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
10,"Ta To Gucci (Remix)",Cauty,1539969,https://open.spotify.com/track/7kuRvjpeUcn6qNV9IBXC2C
11,"Ella Quiere Beber - Remix","Anuel AA",1456415,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq
12,"NI BIEN NI MAL","Bad Bunny",1412113,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8
13,"Mujer Bruja","Lola Indigo",1398676,https://open.spotify.com/track/4R8TsvDoKSSDVERlaphNBA
14,Adictiva,"Daddy Yankee",1361366,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP
15,Imposible,"Luis Fonsi",1275503,https://open.spotify.com/track/4cuGZb0iFyHtwaSKdKrJkF
16,MALA,6ix9ine,1145692,https://open.spotify.com/track/0LQ1J0BCzA2qnAgp9MkkNE
17,"Say My Name","David Guetta",1108510,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
18,"Forever Alone","Paulo Londra",1102766,https://open.spotify.com/track/5NPzbTzFxIQPaheZuPhn4f
19,Booty,"C. Tangana",1085470,https://open.spotify.com/track/4W3FJapn5CD6Fnrlfj4HFe
20,"7 rings","Ariana Grande",1078184,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
21,"MIA (feat. Drake)","Bad Bunny",1066427,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
22,Soltera,Lunay,1019786,https://open.spotify.com/track/4T4CZ3Q4z3GG7lU720YYhM
