Position,Track Name,Artist,Streams,URL,Year,Month,yyyy-mm,Stream %,Track ID,Danceability,Valence,Energy,Tempo,Danceability_Stream%,Valence_Stream%,Energy_Stream%,Tempo_Stream%
67,Fuerte,Lola Indigo,441832,https://open.spotify.com/track/5Y2vTZCC9f2yvELrT3InnP,2019,1,2019-01,0.004301193636917915,7A07Yu1dRND3RKDzbhKrDs,0.659,0.455,0.433,125.556,0.002834486606728906,0.0019570431047976513,0.0018624168447854573,0.5400406682768657
68,Con Una Mirada,Ana Guerra,433986,https://open.spotify.com/track/2OzpAqJOjhlhWcgncwpgmV,2019,1,2019-01,0.004224813552914815,2OzpAqJOjhlhWcgncwpgmV,0.589,0.791,0.644,180.109,0.0024884151826668256,0.0033418275203556187,0.0027207799280771407,0.7609269442019344
69,Shallow,Lady Gaga,426563,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019,1,2019-01,0.004152551334771173,2VxeLyX666F8uXCJ0dZF8B,0.572,0.323,0.385,95.799,0.0023752593634891106,0.0013412740811310888,0.0015987322638869015,0.39781026531974356
70,Déjala Que Baile (with Alejandro Sanz & Arkano),Melendi,426412,https://open.spotify.com/track/2KK9N6iBAisA0booTu3bGd,2019,1,2019-01,0.004151081363743328,2KK9N6iBAisA0booTu3bGd,0.831,0.598,0.777,95.973,0.0034495486132707052,0.00248234665551851,0.003225390219628566,0.39839173172253844
71,Ya No Quiero Ná,Lola Indigo,425666,https://open.spotify.com/track/2A2Q4CYBcVvBF2OqgJ3OWX,2019,1,2019-01,0.004143819122771328,2wDgqCVpMwj8CDvlvLs90p,0.847,0.367,0.467,129.004,0.0035098147969873147,0.0015207816180570772,0.00193516353033421,0.5345692421139924
72,Él no soy yo,Blas Cantó,422026,https://open.spotify.com/track/38mCl4EuWhML4eaZPdNQ3a,2019,1,2019-01,0.004108384059583552,38mCl4EuWhML4eaZPdNQ3a,0.67,0.405,0.727,120.003,0.00275261731992098,0.0016638955441313388,0.0029867952113172423,0.493018412302205
73,Nuclear,Leiva,421732,https://open.spotify.com/track/0TIr4u2NmwrsffZfUZYnxA,2019,1,2019-01,0.004105521996787617,1R4KCEwucJLsVk5L9o250Y,0.677,0.614,0.904,149.996,0.0027794383918252168,0.0025207905060275967,0.0037113918850960057,0.6158118774301554
74,No Es Justo,J Balvin,417537,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7,2019,1,2019-01,0.004064684059954453,4ENLcCIsIe3WQBklJSBQxK,0.811,0.689,0.812,87.98,0.0032964587726230614,0.0028005673173086176,0.0033005234566830157,0.35761090359479275
75,Muérdeme,María Escarmiento,417337,https://open.spotify.com/track/2ldgzuCsmEMhIt2qbEdlnT,2019,1,2019-01,0.0040627370784606185,0nouexs7ZTNHuhcvwD2A9w,0.791,0.96,0.805,80.364,0.0032136250290623492,0.0039002275953221935,0.003270503348160798,0.32649780257340916
76,Te Boté - Remix,Nio Garcia,410544,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i,2019,1,2019-01,0.003996607852022553,3V8UKqhEK5zBkBb6d6ub8i,0.903,0.442,0.675,96.507,0.0036089368903763656,0.0017665006705939687,0.0026977103001152238,0.3857006339751406
77,Bohemian Rhapsody - Remastered 2011,Queen,407364,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2019,1,2019-01,0.003965650846270596,7tFiyTwD0nx5a1eklYtX2J,0.392,0.228,0.402,143.883,0.001554535131738074,0.000904168392949696,0.0015941916402007798,0.5705897407139523
78,Ya No Tiene Novio,Sebastian Yatra,394962,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu,2019,1,2019-01,0.003844918523837961,1riyn0cmi87k1YsBn4Lfwk,0.632,0.783,0.832,182.193,0.0024299885070655915,0.0030105712041651237,0.0031989722118331834,0.7005172406136096
79,La Romana,Bad Bunny,390542,https://open.spotify.com/track/1khmgu0pveJbkbpbkyvcQv,2019,1,2019-01,0.003801890232824233,1khmgu0pveJbkbpbkyvcQv,0.655,0.326,0.725,125.8,0.002490238102499873,0.0012394162159007,0.002756370418797569,0.4782777912892885
80,No Hay Nadie Más,Sebastian Yatra,384987,https://open.spotify.com/track/3IPJg1sdqLj12kFIndaonN,2019,1,2019-01,0.0037478128218329993,3IPJg1sdqLj12kFIndaonN,0.695,0.808,0.379,105.108,0.0026047299111739346,0.0030282327600410636,0.0014204210594747067,0.3939251100772229
81,Mejor Que Tú,Aitana,383067,https://open.spotify.com/track/7Kn8yBD9hk8zJtgMQQrTKV,2019,1,2019-01,0.0037291217994921935,497YzH5kEsox8IJzN6wOTY,0.555,0.232,0.259,100.004,0.0020696625987181674,0.000865156257482189,0.0009658425460684782,0.37292709643641736
82,A Partir De Hoy,David Bisbal,381737,https://open.spotify.com/track/7ojH6H4wE6XJNgzU4uvNc8,2019,1,2019-01,0.003716174372558199,4DJSB7nKdDqL77kon9Ra1O,0.652,0.515,0.847,163.942,0.002422945690907946,0.0019138298018674725,0.0031475996935567945,0.6092370589859363
83,Besos En Guerra,Morat,379177,https://open.spotify.com/track/1mlGScrDQqHqmhdIqE8MmA,2019,1,2019-01,0.0036912530094371267,5RPYHXSqcWaaiCbUbyfNAO,0.691,0.783,0.973,143.961,0.0025506558295210545,0.00289025110638927,0.003591589178182324,0.5313964744915782
84,Mala Mía - Remix,Maluma,378019,https://open.spotify.com/track/6sAwJPgaSQ9Q4XGnbx1gZb,2019,1,2019-01,0.003679979986587829,6sAwJPgaSQ9Q4XGnbx1gZb,0.697,0.858,0.772,180.046,0.0025649460506517166,0.003157422828492357,0.0028409445496458043,0.6625656766651923
85,Vuelve,Sebastian Yatra,377042,https://open.spotify.com/track/6WSAPEkvEfcEUgSTAo1D3S,2019,1,2019-01,0.003670468981990449,0gCPvo1GkbtPhMqg5Gbx1K,0.734,0.199,0.531,130.024,0.00269412423278099,0.0007304233274160995,0.0019490190294369286,0.4772490589143262
86,Happier,Marshmello,375711,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019,1,2019-01,0.003657511820148987,2dpaYNEQHiRxtZbfNsse99,0.687,0.671,0.792,100.015,0.002512710620442354,0.0024541904313199704,0.0028967493615579976,0.3658060446922009
87,Lo Malo - Operación Triunfo 2017,Aitana,373199,https://open.spotify.com/track/7aJP1XcWcSU9w0eqSvaeZR,2019,1,2019-01,0.0036330577325864337,7aJP1XcWcSU9w0eqSvaeZR,0.766,0.964,0.737,95.011,0.0027829222231612084,0.003502267654213322,0.0026775635489162015,0.34518044823076965
88,Amigos Con Derechos,Reik,372441,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA,2019,1,2019-01,0.003625678672724804,4yVO0wOhXsZC1RuPgHP524,0.678,0.614,0.806,183.984,0.002458210140107417,0.0022261667050530298,0.0029222970102161924,0.6670668649226004
89,Dile la Verdad,The Rudeboyz,369613,https://open.spotify.com/track/6qP73DRFGojLuIk1siIhNE,2019,1,2019-01,0.003598148354401993,6qP73DRFGojLuIk1siIhNE,0.886,0.823,0.701,103.0,0.003187959442000166,0.00296127609567284,0.002522301996435797,0.37060928050340525
90,Pitbull,Kidd Keo,368156,https://open.spotify.com/track/62Z8PVyA9wYn5zkurChQHQ,2019,1,2019-01,0.003583964594219414,2bJvI42r8EF3wxjOuDav4r,0.72,0.723,0.802,124.043,0.002580454507837978,0.002591206401620636,0.00287433960456397,0.4445657201607588
