Position,Track Name,Artist,Streams,URL,Year,Month,yyyy-mm,Stream %,Track ID
108,rockstar (feat. 21 Savage),Post Malone,147945,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2019,09,2019-09,0.0038124706147021,0e7ipj03S05BNilyu5bRzt
109,"Tere Bin (From ""Simmba"")",Rahat Fateh Ali Khan,147707,https://open.spotify.com/track/4f5kLqyOJ5ZPnalEVMQrB2,2019,09,2019-09,0.0038063374705857114,4f5kLqyOJ5ZPnalEVMQrB2
110,boyfriend (with Social House),Ariana Grande,146635,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t,2019,09,2019-09,0.003778712552548869,0Ryd8975WihbObpp5cPW1t
111,Call You Mine,The Chainsmokers,145536,https://open.spotify.com/track/1SNiXDwSilLujcYdvfqVpT,2019,09,2019-09,0.003750391857658487,2oejEp50ZzPuQTQ6v54Evp
112,Sorry Song,Neha Kakkar,144262,https://open.spotify.com/track/6RnFfNQik3Cq6vrmifPMlA,2019,09,2019-09,0.0037175614979766424,6RnFfNQik3Cq6vrmifPMlA
113,Treat You Better,Shawn Mendes,143708,https://open.spotify.com/track/3QGsuHI8jO1Rx4JWLUh9jd,2019,09,2019-09,0.003703285187722528,3QGsuHI8jO1Rx4JWLUh9jd
114,Yeh Aaina,Shreya Ghoshal,142460,https://open.spotify.com/track/62RXe5I6L7n32fUMd8Puvo,2019,09,2019-09,0.0036711248353811293,62RXe5I6L7n32fUMd8Puvo
115,"Rula Diya (From ""Batla House"")",Ankit Tiwari,141697,https://open.spotify.com/track/6sTbnkzOtPpojgnn50cCHJ,2019,09,2019-09,0.0036514626968903543,6sTbnkzOtPpojgnn50cCHJ
116,Wang Da Naap,Ammy Virk,141540,https://open.spotify.com/track/5r7k55M31Q22AEJkF1GTyw,2019,09,2019-09,0.0036474168833345853,5r7k55M31Q22AEJkF1GTyw
117,Samjhawan,Jawad Ahmad,141357,https://open.spotify.com/track/0rk2X5TAhraBC5aCIXK2Rq,2019,09,2019-09,0.003642701062438371,0rk2X5TAhraBC5aCIXK2Rq
118,Radhe Radhe,Meet Bros.,141201,https://open.spotify.com/track/1HbmeBqRlEk54KK8gxQqbZ,2019,09,2019-09,0.003638681018395696,1HbmeBqRlEk54KK8gxQqbZ
119,Haaye Oye (feat. Ash King),QARAN,140894,https://open.spotify.com/track/0oukMLKedsqQ3ltnI2daRO,2019,09,2019-09,0.0036307697778758165,0oukMLKedsqQ3ltnI2daRO
120,Let Me Love You,DJ Snake,138065,https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU,2019,09,2019-09,0.0035578678253326943,3ibKnFDaa3GhpPGlOUj7ff
121,Lamberghini,The Doorbeen,137753,https://open.spotify.com/track/7cFuzwgbtHXmSKuCzo0qCW,2019,09,2019-09,0.0035498277372473445,45P9g6kUb7itdonjjGjDdS
122,Sucker,Jonas Brothers,137128,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD,2019,09,2019-09,0.003533721791563551,22vgEDb5hykfaTwLuskFGD
