,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"A Un Passo Dalla Luna","Rocco Hunt",4030602,https://open.spotify.com/track/3YNcQUeVOpM3SDmwBeGfMK
2,Mediterranea,Irama,3287872,https://open.spotify.com/track/47xPl1gvgdx4Z9dNUuloPg
3,Karaoke,Boomdabash,3276439,https://open.spotify.com/track/0D4GpOPInKiPxEfQMchu4p
4,"M' Manc (con Geolier & Sfera Ebbasta)",Shablo,3024015,https://open.spotify.com/track/0MLu1cFYL4ikdRTdasCQT9
5,"Non mi basta più (feat. Chiara Ferragni)","Baby K",2701230,https://open.spotify.com/track/5ZUeBvBEH8hpdLMW3yCmHb
6,"Paloma (feat. Anitta)","Fred De Palma",2283286,https://open.spotify.com/track/0HFkCSXRTUHCYJ148PdD0v
7,"Bimbi Per Strada (Children)",Fedez,2192265,https://open.spotify.com/track/6KF78W66DcQ9m5YqR0r5Ig
8,Superclassico,Ernia,2064211,https://open.spotify.com/track/6Ahg1hncxUdK0ICqU03BCu
9,"Sono un bravo ragazzo un po' fuori di testa",Random,2062983,https://open.spotify.com/track/5EXLYWZGnmYC01H53WUAhi
10,"Savage Love (Laxed - Siren Beat)","Jawsh 685",2056240,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
11,"Breaking Me",Topic,1993051,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
12,MAMACITA,"Black Eyed Peas",1968460,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
13,Autostop,Shade,1947101,https://open.spotify.com/track/5ZgeeXOHGYUn0K3kuICyw9
14,Spigoli,"Carl Brave",1865865,https://open.spotify.com/track/1XQvMjA9IiIx1lAiTHSxQi
15,"Good Times",Ghali,1857118,https://open.spotify.com/track/5165XjbVxwq9dQDxNk7hmf
16,"Chico (feat. Rose Villain & Luchè)","Guè Pequeno",1818649,https://open.spotify.com/track/3Xhl7OqWAFgVxQKrWhyVVO
17,Guaranà,Elodie,1809629,https://open.spotify.com/track/1KXpcoggYmNTPCRXIz2m9Z
18,"Ciclone (feat. Elodie, Mariah, Gipsy Kings, Nicolás Reyes, Tonino Baliardo)","Takagi & Ketra",1745447,https://open.spotify.com/track/2YGqtxaGdML9aM5jCwgRw9
19,"2 TIRI (feat. tha Supreme)",Lazza,1571181,https://open.spotify.com/track/3TwMhXQ6O1KGPfiYV5mxGN
20,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1538890,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
21,"TesTa TrA Le NuVoLE, pT. 2 – prod. Yanomi",Alfa,1444893,https://open.spotify.com/track/04UtYEP1Jc0GRxbvH1B6Nk
22,"Il bacio di Klimt","Emanuele Aloia",1398768,https://open.spotify.com/track/3E1FgPTXX203rgBTD5nlKF
23,"Dorado (feat. Sfera Ebbasta & Feid)",Mahmood,1335664,https://open.spotify.com/track/1kI7mZAziaRfBeAOraRW1i
24,"ALYX (feat. Capo Plaza)",Lazza,1323960,https://open.spotify.com/track/5ifarM7jfplX1EqkqMHlDq
25,"Nena (feat. Geolier & Andry The Hitmaker)","Boro Boro",1321316,https://open.spotify.com/track/6TEPwGCSq4XGWu3hnZkC5m
26,"Como Llora",Juanfran,1227981,https://open.spotify.com/track/52zq2a71SGs3f1vJuv59ui
27,Hypnotized,"Purple Disco Machine",1148989,https://open.spotify.com/track/0vWUhCPxpJOJR5urYbZypB
28,"ELEGANTE (feat. Sfera Ebbasta)",DrefGold,1133162,https://open.spotify.com/track/7qADAhkEs9vv3ll4hP8ybC
29,"TKN (feat. Travis Scott)",ROSALÍA,1104924,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
30,Portofino,"Il Pagante",1099014,https://open.spotify.com/track/6xc77qJbTNh3yQzSopZEuw
31,"Scat Men (feat. Ghali & Gemitaiz)","Achille Lauro",1097949,https://open.spotify.com/track/4cb65MgCXA2JNEhJW6A57j
32,"Una voglia assurda",J-AX,1095844,https://open.spotify.com/track/0jaYrOJVG8KcDh9qrU2TU8
33,"Watermelon Sugar","Harry Styles",1068697,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
34,Caramelo,Ozuna,1048426,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG
35,"Roses - Imanbek Remix","SAINt JHN",1027236,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
36,Chega,Gaia,1014381,https://open.spotify.com/track/76w5oLSdgYvA0Bt4dTUe0Z
37,Ridere,"Pinguini Tattici Nucleari",944901,https://open.spotify.com/track/5LZVK19ieaV8Mk9FsqTL3F
38,Tusa,"KAROL G",940960,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
39,"SLIME (feat. Rondodasosa)",Lazza,938935,https://open.spotify.com/track/13Iu4OXlnP5vUQ0rgXR6e3
40,"Ti volevo dedicare (feat. J-AX & Boomdabash)","Rocco Hunt",927412,https://open.spotify.com/track/00GxbkrW4m1Tac5xySEJ4M
41,"Kings & Queens","Ava Max",918527,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
42,"LA ISLA","Giusy & Elettra",894654,https://open.spotify.com/track/0T1QQTMx8jTbtOEeBKe43I
43,"Una volta ancora (feat. Ana Mena)","Fred De Palma",875435,https://open.spotify.com/track/6swHvavSroD4ur3Q18MjYz
44,"In Your Eyes","The Weeknd",858151,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
45,Capo,Geolier,858145,https://open.spotify.com/track/7A9lnmpkWR2tPkcPWGbMqo
46,"death bed (coffee for your head)",Powfu,855383,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
47,Hollywood,"LA Vision",849802,https://open.spotify.com/track/1XdMp6v9Q3N80WnKSbGfl4
48,"Auto Blu",Shiva,845235,https://open.spotify.com/track/2chEq24EHjyw9Zjmwq0hlS
49,"Break My Heart","Dua Lipa",839561,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
50,"Bam Bam Twist (feat. Gow Tribe, Frenetik&Orang3)","Achille Lauro",826590,https://open.spotify.com/track/3Oc9ywNtQuuutK3ovrYIfe
51,"Djadja (feat. Maluma) - Remix","Aya Nakamura",823550,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
52,J,Lazza,822834,https://open.spotify.com/track/2acyQgyDZpIdtL6qAUFOSX
53,Malandrino,"Emis Killa",772238,https://open.spotify.com/track/0ZYNH3Mi0sq8lR3XDWJlYK
54,"SETTIMANA AL CALDO","FSK SATELLITE",756305,https://open.spotify.com/track/5JKNv0rgLSSYVBBSNw5740
55,"Sweet Dreams (feat. Annalisa)","Achille Lauro",734227,https://open.spotify.com/track/0sKkl1CjOs99DZCwwx0cFu
56,"CLEAN (feat. Tony Effe)",Lazza,732003,https://open.spotify.com/track/2uOA8V9BGVvbBjVi1vAN9S
57,"Rain On Me (with Ariana Grande)","Lady Gaga",715324,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
58,"Musica (E Il Resto Scompare)","Elettra Lamborghini",699781,https://open.spotify.com/track/3Nc7IorgrSffzaQrQWVw4L
59,"Fiori di Chernobyl",Mr.Rain,696663,https://open.spotify.com/track/54PxYcGpSUCmlpGdFGTaYR
60,"FRIEND (feat. Shiva, Geolier)",Lazza,696592,https://open.spotify.com/track/7x5LIfBrVvnc4ktIIKq8la
61,"ily (i love you baby) (feat. Emilee)","Surf Mesa",684314,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
62,"Cyborg (feat. Geolier)","Guè Pequeno",678400,https://open.spotify.com/track/54wRUYPMEHLttFdLImOlAt
63,"MON AMOUR (feat. Shiva)",Lazza,657935,https://open.spotify.com/track/4IQpT8aOGChYX4ORMOW0YY
64,"Balla Per Me","Tiziano Ferro",657299,https://open.spotify.com/track/6my3pKZ8QxxI5ZezQVR0wf
65,"DEFUERA (feat. Ghali, Madame & Marracash)",DRD,653953,https://open.spotify.com/track/2512VtkrcUHav23oV66xqf
66,"Polvere (feat. Capo Plaza)",Tedua,651402,https://open.spotify.com/track/0ZzXPo0gS5h718w7WErG44
67,"Ride It",Regard,647963,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
68,"SuL Più BeLLo - prod. Yanomi",Alfa,641601,https://open.spotify.com/track/5h2DMykCg3GeZu3HpjwuTU
69,"Blinding Lights","The Weeknd",636565,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
70,Louboutin,"Vale pain",635955,https://open.spotify.com/track/7fzaDe7qR6IX2w275uX4Th
71,"LIMBO (feat. Gemitaiz)",Lazza,632857,https://open.spotify.com/track/0xs15y7PkGlS49he9RbUZu
72,"Baila Conmigo (feat. Kelly Ruiz)",Dayvi,622978,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG
73,"Immortale (feat. Sfera Ebbasta)","Guè Pequeno",620425,https://open.spotify.com/track/2bF1qPRPlrODKWFMGtQXq1
74,"Te lo prometto","Il Tre",613127,https://open.spotify.com/track/72aqCNAdOo6H4nrPyAivSV
75,Moncler,Geolier,611342,https://open.spotify.com/track/4QHaWdrl7bdAhz72rb36rO
76,"blun7 a swishland","tha Supreme",609550,https://open.spotify.com/track/7HwvPmK74MBRDhCIyMXReP
77,"MONCLER (feat. Pyrex, Guè Pequeno)",Lazza,591396,https://open.spotify.com/track/77z8i9iDoq6Bc6Gp9Xm0vD
78,"El Efecto","Rauw Alejandro",591120,https://open.spotify.com/track/4SJHHpKhcuXwDsCsPqshXj
79,"Summer’s Imagine (feat. Massimo Pericolo)","Achille Lauro",585902,https://open.spotify.com/track/28OQd4uKk2CevZcPgZ40kE
80,"Ti Levo Le Collane (feat. Paky)","Guè Pequeno",583393,https://open.spotify.com/track/48NEryJWd2W3T6V6yKHzz6
81,"Better Days - Giorni Migliori (with Negramaro)",OneRepublic,571213,https://open.spotify.com/track/6kfUXAS4K8zpNCADiFqMCt
82,"Cin Cin",Alfa,570166,https://open.spotify.com/track/1jJMhPp0Rm6lAi077PXeEQ
83,"You and Me (feat. Alexia & Capo Plaza)","Achille Lauro",568481,https://open.spotify.com/track/2y8bPWjKeEEjyksP7cgRUp
84,Control,"Zoe Wees",559722,https://open.spotify.com/track/50Td3qilgs8BLtv8mHyT1t
85,9.3,Mr.Rain,557742,https://open.spotify.com/track/1prey7RGLzP9zS4dk2Y6a8
86,"L'ERBA VOGLIO (Geordie) (feat. Emis Killa)",Lazza,536306,https://open.spotify.com/track/1WRgbuNG32lNaEvK5hEAgy
87,"Tardissimo (feat. Mahmood & Marracash)","Guè Pequeno",535829,https://open.spotify.com/track/4P3ZKz4tnPiaGIflQElKgJ
88,Chiasso,Random,534534,https://open.spotify.com/track/76B3Xb8EqIY4NJF5xoNrCH
89,"Mambo Salentino",Boomdabash,533959,https://open.spotify.com/track/7piIo15vVy3ULGXSpFs5xc
90,"Medellin (feat. Lazza)","Guè Pequeno",533841,https://open.spotify.com/track/1hqV0kb6c8Rp9jvJRPcDy7
91,"Le Feste Di Pablo (con Fedez)",CARA,532274,https://open.spotify.com/track/73x0EIT2YyIxTs3Rpd3n5T
92,"Be Kind (with Halsey)",Marshmello,520180,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
93,Amarena,"Frah Quintale",511595,https://open.spotify.com/track/0nqwOIZtuWl0xVbfYiL6UW
94,"VIENIMI (a ballare)",AIELLO,509452,https://open.spotify.com/track/3VZfK5GR6tN3WH3WsBNMYq
95,Saigon,"Guè Pequeno",509378,https://open.spotify.com/track/0nd1tWz1bmTQ2ObCnZCLV9
96,"Domani ci passa",Ludwig,507725,https://open.spotify.com/track/3elLXGwE5zaREuOzWdlRJ2
97,"Me Gusta",Shakira,491376,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
98,"Dove e quando","Benji & Fede",490725,https://open.spotify.com/track/5XM7tx8ovQ9UrYqUowW1AK
99,"Cacao (feat. Pyrex)",Ghali,489546,https://open.spotify.com/track/0lAzr7LGHV1sdcYJfEKNmu
100,"Jerusalema (feat. Nomcebo Zikode) - Edit","Master KG",484625,https://open.spotify.com/track/2R7gA9dAHTjASKU0wiTJok
101,"Puro Sinaloa (feat. Tedua, Rkomi & Lazza)",Ernia,479669,https://open.spotify.com/track/5E75l3Zb0vzdiDNJczr29z
102,"16 Marzo (feat. Gow Tribe)","Achille Lauro",477799,https://open.spotify.com/track/3nwH3HTFzpnRV5SqM9um3r
103,"Per sentirmi vivo",Fasma,475604,https://open.spotify.com/track/20v9X8TV0AgwNGFT71OX3w
104,"Dance Monkey","Tones And I",473214,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
105,"Boogieman (feat. Salmo)",Ghali,470331,https://open.spotify.com/track/58bRZqUPWnpop0WC9ob5wJ
106,"Jerusalema (feat. Nomcebo Zikode)","Master KG",470319,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
107,Lento,"Boro Boro",463483,https://open.spotify.com/track/0iRKVjfQzpr41T3WsU7shl
108,GOOBA,6ix9ine,462293,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
109,Fallo,MamboLosco,459115,https://open.spotify.com/track/5toEzQqaae1tjFE3EHy1gM
110,Blu,"Achille Lauro",458710,https://open.spotify.com/track/6noUH2wSPa9U9xUG4nnrqJ
111,"NEON - Le Ali (feat. Elisa)",Marracash,457409,https://open.spotify.com/track/76cEI7LczlKZ1yLAHIoPBJ
112,"Roses - Imanbek Remix","SAINt JHN",454792,https://open.spotify.com/track/2oNxPr6vDSqBYWWvvqqgMU
113,"12 Luglio","Valerio Mazzei",452624,https://open.spotify.com/track/5zRni8DNAahcnubIDaTYC2
114,"Boss Bitch","Doja Cat",450250,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
115,"Ringo Starr","Pinguini Tattici Nucleari",446912,https://open.spotify.com/track/5yfE6GXTuJaAlepKoE0wJE
116,"fuck 3x","tha Supreme",443947,https://open.spotify.com/track/5YxP1CkunbhUQVvctFOHa7
117,Rapide,Mahmood,441457,https://open.spotify.com/track/2cf1g08CvDuhwXFqxjetQi
118,JAMBO,"Takagi & Ketra",433547,https://open.spotify.com/track/4H5arInh2BLVz94mIibTrv
119,"SNITCH E IMPICCI (feat. FSK SATELLITE)",DrefGold,432223,https://open.spotify.com/track/5zgyx2vTkJ05b5Y37X95Wy
120,"In Piazza",Paky,429987,https://open.spotify.com/track/3N0cYpWubd9hAUApJDcLRw
121,"Bella così - feat. Federica Carta","Chadia Rodriguez",426866,https://open.spotify.com/track/3XLyyybPY2d8kLiMb8HIyA
122,Sorry,Geolier,426084,https://open.spotify.com/track/2TQIdtoIVr021neSHJV4KE
