,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Fuori E Dentro (feat. tha Supreme)",Gemitaiz,3728249,https://open.spotify.com/track/34UHhwlly3SHryWuVfMOJm
2,"Pookie (feat. Capo Plaza) - Remix","Aya Nakamura",2748806,https://open.spotify.com/track/1MtmXPxXP4ntSjfF5xnOyM
3,"Esagono (feat. Salmo)",Gemitaiz,2738333,https://open.spotify.com/track/0Rsfm3UqHkNzKsb6L0Yz3Y
4,"Una volta ancora (feat. Ana Mena)","Fred De Palma",2383774,https://open.spotify.com/track/6swHvavSroD4ur3Q18MjYz
5,Chiasso,Random,2268103,https://open.spotify.com/track/4UJoAdTMnqxQHKWKLLQpvK
6,"Karate (feat. Mahmood)",Gemitaiz,2192482,https://open.spotify.com/track/2OtQyoZSL78nBC4mUUKMav
7,"Fiori (feat. Marracash & Guè Pequeno)",Gemitaiz,2180731,https://open.spotify.com/track/0zlAKx6NDKKGWjWJE1AX1S
8,"Come Me",Gemitaiz,1902712,https://open.spotify.com/track/4dBCrgiAh3KJSJdt3XpLfm
9,¥€$,Gemitaiz,1818648,https://open.spotify.com/track/0P39aeceSQtCBO7IlffkbD
10,"Scatola Nera (feat. Giorgia)",Gemitaiz,1741575,https://open.spotify.com/track/4Is80c3yzO9NzVWMDAnnTR
11,Lento,"Boro Boro",1674570,https://open.spotify.com/track/0iRKVjfQzpr41T3WsU7shl
12,Californication,Gemitaiz,1594605,https://open.spotify.com/track/00hy8cpfdBAXPcgWpsCtyk
13,"Dove e quando","Benji & Fede",1554540,https://open.spotify.com/track/5BAJMdCQqax0oBQigQTl5h
14,"Che Ore Sono (feat. Venerus)",Gemitaiz,1544054,https://open.spotify.com/track/3bj6F2PY4PWMNrAuywX5cR
15,"Cin Cin",Alfa,1532997,https://open.spotify.com/track/0EThQdS5hqhByp2CLttKin
16,"YOSHI (feat. tha Supreme, Fabri Fibra & Capo Plaza) - prod. Strage [Remix]",MACHETE,1529405,https://open.spotify.com/track/0VU34EBWTAlHVIZE3aWlZA
17,"Un'Altra Notte (feat. Priestess)",Gemitaiz,1507429,https://open.spotify.com/track/5IiE6zhjY9rsXRLhIOyX5h
18,"Veleno 7",Gemitaiz,1502574,https://open.spotify.com/track/2jkIbZ43eH3rM1yro2Ojzh
19,Barrio,Mahmood,1455322,https://open.spotify.com/track/1MCSc1ZxlwV5muFXKocAnW
20,Bossoli,Shiva,1442606,https://open.spotify.com/track/5mn8bU8IjYqr8ZqTDmLtSO
21,"MI AMI O NO (feat. Capo Plaza)",Giaime,1400825,https://open.spotify.com/track/2UsAeEA2JH7kKSOflP23zY
22,"YOSHI (feat. Fabri Fibra) - prod. Strage",MACHETE,1392934,https://open.spotify.com/track/3Hh0ZcGIqIkSiJVZGLcVLx
23,"Tutto Ok",Gemitaiz,1351130,https://open.spotify.com/track/0RwiRXkfB9URjKRW3G24Cs
