,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Bottiglie Privè","Sfera Ebbasta",2249184,https://open.spotify.com/track/3E2KP5AWn6Wx0NcPstzKeo
2,"ALTALENE (feat. Mara Sattei & Coez)","BLOODY VINYL",2070154,https://open.spotify.com/track/2zqxUV6h5y6Y9WhyH0FVvX
3,Destri,Gazzelle,1986095,https://open.spotify.com/track/0WBg2If3H9nN9RFl2xO2SZ
4,Superclassico,Ernia,1886485,https://open.spotify.com/track/6Ahg1hncxUdK0ICqU03BCu
5,"SLATT (feat. Capo Plaza)",Rondodasosa,1813115,https://open.spotify.com/track/1YvhcTM8aIRTg03AavA2HJ
6,"Mood (feat. iann dior)",24kGoldn,1483115,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
7,"Chico (feat. Rose Villain & Luchè)","Guè Pequeno",1386459,https://open.spotify.com/track/3Xhl7OqWAFgVxQKrWhyVVO
8,"M' Manc (con Geolier & Sfera Ebbasta)",Shablo,1321656,https://open.spotify.com/track/0MLu1cFYL4ikdRTdasCQT9
9,"X 1 MEX (feat. Dani Faiv)","BLOODY VINYL",1315467,https://open.spotify.com/track/5gouWBHeO3hLhCUr9gSvV5
10,"A Un Passo Dalla Luna","Rocco Hunt",1266814,https://open.spotify.com/track/3YNcQUeVOpM3SDmwBeGfMK
11,"Bella Storia",Fedez,1257828,https://open.spotify.com/track/0824Kyozhv4yBbM86aBFCG
12,"MACHETE SATELLITE (feat. Salmo, Taxi B & Greg Willen)","BLOODY VINYL",1209748,https://open.spotify.com/track/3CHiuPXn9ufDJhVy1xI4Jf
13,"TELEPHONE (feat. Capo Plaza & Sick Luke)","BLOODY VINYL",1156297,https://open.spotify.com/track/0ejf33zIXZlhUnCKRMWx6q
14,Hypnotized,"Purple Disco Machine",1146484,https://open.spotify.com/track/0vWUhCPxpJOJR5urYbZypB
15,"Head & Heart (feat. MNEK)","Joel Corry",1108004,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
16,"Te lo prometto","Il Tre",1063050,https://open.spotify.com/track/72aqCNAdOo6H4nrPyAivSV
17,"What You Know Bout Love","Pop Smoke",964206,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
18,"Spigoli (feat. Mara Sattei & tha Supreme)","Carl Brave",925640,https://open.spotify.com/track/0VSw01E3JInAaFDeYt9v8F
19,"Breaking Me",Topic,921433,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
20,"WEEKEND (feat. Lazza, Madame & Massimo Pericolo)","BLOODY VINYL",902986,https://open.spotify.com/track/1FVZhwZiab6cEAxAOS9j5v
21,"22 settembre",Ultimo,889359,https://open.spotify.com/track/15RRpHBNzv0gvjIry4jyOs
22,"Dorado (feat. Sfera Ebbasta & Feid)",Mahmood,840616,https://open.spotify.com/track/1kI7mZAziaRfBeAOraRW1i
23,Crepe,Irama,822978,https://open.spotify.com/track/6L671UzJPyAzbHEhaNhDUJ
24,"BABY (feat. Rosa Chemical)","BLOODY VINYL",806714,https://open.spotify.com/track/3jtMheZu2P0tbWzAYYWhvS
25,"TATUAGGI (feat. ARIETE)",PSICOLOGI,804782,https://open.spotify.com/track/15WIkk29b7NqOK2poTRnOU
26,"Paloma (feat. Anitta)","Fred De Palma",802203,https://open.spotify.com/track/0HFkCSXRTUHCYJ148PdD0v
