,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,positions,"Ariana Grande",272606,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
2,"Mood (feat. iann dior)",24kGoldn,270502,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
3,"Therefore I Am","Billie Eilish",269133,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
4,"Holy (feat. Chance The Rapper)","Justin Bieber",234911,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
5,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",219564,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
6,"In The Air",L.A.B.,208612,https://open.spotify.com/track/4d2tgzpNhQO8HIxC4YLnBe
7,"What You Know Bout Love","Pop Smoke",203571,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
8,"Head & Heart (feat. MNEK)","Joel Corry",201766,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
9,"Put Your Records On","Ritt Momney",192632,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
10,Controller,L.A.B.,191700,https://open.spotify.com/track/2DkxWMmdvS3f5hbz4UGQLO
11,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",185746,https://open.spotify.com/track/2Z8yfpFX0ZMavHkcIeHiO1
12,"WAP (feat. Megan Thee Stallion)","Cardi B",185215,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
13,"Dreams - 2004 Remaster","Fleetwood Mac",178933,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
14,Sundown,SIX60,176848,https://open.spotify.com/track/4WEAdAPGiyI6LIMlHGfhdZ
15,Dynamite,BTS,171584,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
16,"Levitating (feat. DaBaby)","Dua Lipa",170371,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
17,"Savage Love (Laxed - Siren Beat)","Jawsh 685",169369,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
18,"SO DONE","The Kid LAROI",168750,https://open.spotify.com/track/3qgPpwtuRu5oP8EtFSj8HE
19,"Lonely (with benny blanco)","Justin Bieber",163243,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
20,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",162569,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
21,"Take You Dancing","Jason Derulo",162116,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
22,"Fade Away",SIX60,162098,https://open.spotify.com/track/57fS5tDkIIsEhoBb8IcYF1
23,34+35,"Ariana Grande",154288,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
24,"you broke me first","Tate McRae",152185,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
25,pov,"Ariana Grande",148135,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
26,"Watermelon Sugar","Harry Styles",143369,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
27,"Prisoner (feat. Dua Lipa)","Miley Cyrus",141629,https://open.spotify.com/track/5JqZ3oqF00jkT81foAFvqg
28,"Blinding Lights","The Weeknd",140556,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
29,"Catching Feelings (feat. SIX60)","Drax Project",135578,https://open.spotify.com/track/0gCNs3jCCDhObAK0MRghtv
30,"Go Crazy","Chris Brown",132111,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
31,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,128731,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
32,Wonder,"Shawn Mendes",127322,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
33,"Long Gone",SIX60,126927,https://open.spotify.com/track/4PFAQAuJ9dEgamYO88Zp9P
34,"Breaking Me",Topic,117316,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
35,Whoopty,CJ,116681,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
36,"Laugh Now Cry Later (feat. Lil Durk)",Drake,116056,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
37,"Sweet & Sour (feat. Lauv & Tyga)","Jawsh 685",114849,https://open.spotify.com/track/3ZWhRS2EJVL5B0IEzkcvZa
38,"Someone You Loved","Lewis Capaldi",113810,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
39,"Not My Neighbour","Niko Walters",111715,https://open.spotify.com/track/2Tf3a4gkBbrN2UbMNbwtdQ
40,"Roses - Imanbek Remix","SAINt JHN",110572,https://open.spotify.com/track/5f5tMrP3ZZbNtiLIHKOQLS
41,"Firefly (feat. Fetty Wap & AACACIA)","Drax Project",108585,https://open.spotify.com/track/3tKAcRdlXq74YXotYDBZAa
42,"The Greatest",SIX60,104266,https://open.spotify.com/track/2OmbLtdHJn3u9haCQXODl6
43,Glitter,BENEE,103983,https://open.spotify.com/track/23TPP1eeElFfvYVznskwCY
44,Loyalty,"Hp Boyz",102473,https://open.spotify.com/track/5gQKX7uodQpoSGREuq6d95
45,"Dance Monkey","Tones And I",102043,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
46,Golden,"Harry Styles",101241,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
47,"Mood Swings (feat. Lil Tjay)","Pop Smoke",98881,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
48,Bigger,"Stan Walker",97855,https://open.spotify.com/track/1zZ466qgnKn1ReczcGw4jA
49,"Stuck with U (with Justin Bieber)","Ariana Grande",94377,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
50,Heather,"Conan Gray",93249,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
51,"Life Goes On",BTS,92654,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
