,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,400020,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,"Rain On Me (with Ariana Grande)","Lady Gaga",256194,https://open.spotify.com/track/24ySl2hOPGCDcxBxFIqWBu
3,"Roses - Imanbek Remix","SAINt JHN",254163,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"Stuck with U (with Justin Bieber)","Ariana Grande",238290,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
5,"Blinding Lights","The Weeknd",237696,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
6,"In the Air",L.A.B.,230627,https://open.spotify.com/track/5v7h5vQgCJKZT5vB3I9s3o
7,"death bed (coffee for your head)",Powfu,210631,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
8,Supalonely,BENEE,205110,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
9,"THE SCOTTS","THE SCOTTS",198771,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
10,"Toosie Slide",Drake,194171,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
11,"Go Crazy","Chris Brown",190229,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
12,"Blueberry Faygo","Lil Mosey",181735,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
13,"Intentions (feat. Quavo)","Justin Bieber",176517,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
14,"Don't Start Now","Dua Lipa",168334,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
15,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",159290,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
16,"Sunday Best",Surfaces,158161,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
17,GOOBA,6ix9ine,154165,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
18,"The Box","Roddy Ricch",153738,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
19,"Watermelon Sugar","Harry Styles",153002,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
20,"ily (i love you baby) (feat. Emilee)","Surf Mesa",147273,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
21,"If the World Was Ending - feat. Julia Michaels","JP Saxe",145051,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
22,"Before You Go","Lewis Capaldi",143876,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
23,"Break My Heart","Dua Lipa",143792,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
24,"Long Gone",SIX60,143299,https://open.spotify.com/track/4PFAQAuJ9dEgamYO88Zp9P
25,"WHATS POPPIN","Jack Harlow",141067,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
26,"Rover (feat. DTG)",S1mba,140562,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
27,"Dance Monkey","Tones And I",137561,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
28,"Adore You","Harry Styles",137220,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
29,"Catching Feelings (feat. SIX60)","Drax Project",135401,https://open.spotify.com/track/0gCNs3jCCDhObAK0MRghtv
30,"Someone You Loved","Lewis Capaldi",134727,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
31,Glitter,BENEE,131755,https://open.spotify.com/track/23TPP1eeElFfvYVznskwCY
32,"BELIEVE IT",PARTYNEXTDOOR,131500,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
33,Circles,"Post Malone",126197,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
34,"After Party","Don Toliver",122410,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
35,"Say So","Doja Cat",121064,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
36,"Party Girl",StaySolidRocky,119421,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
37,"This City","Sam Fischer",115399,https://open.spotify.com/track/3H3r2nKWa3Yk5gt8xgmsEt
38,"Be Kind (with Halsey)",Marshmello,110434,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
39,"Say So (feat. Nicki Minaj)","Doja Cat",107012,https://open.spotify.com/track/11VApNQCWLJdzxWrlmwzUa
40,Memories,"Maroon 5",106559,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
41,"Boss Bitch","Doja Cat",106082,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
42,Falling,"Trevor Daniel",106032,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
43,ROXANNE,"Arizona Zervas",104824,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
44,"Life Is Good (feat. Drake)",Future,103198,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
45,"The Greatest",SIX60,96077,https://open.spotify.com/track/2OmbLtdHJn3u9haCQXODl6
46,Righteous,"Juice WRLD",95154,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t
47,goosebumps,"Travis Scott",95006,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
48,"6 To The WORLD","Hp Boyz",94117,https://open.spotify.com/track/2gQilljVVx87NARWZLqIis
49,"Know Your Worth",Khalid,94106,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
50,"HIGHEST IN THE ROOM","Travis Scott",91395,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
51,"Laxed – Siren Beat","Jawsh 685",88716,https://open.spotify.com/track/3BJiF37kmX4HCfYSO7qBnQ
52,Controller,L.A.B.,87839,https://open.spotify.com/track/2DkxWMmdvS3f5hbz4UGQLO
53,Falling,"Harry Styles",87634,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
54,"everything i wanted","Billie Eilish",86366,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
55,"SICKO MODE","Travis Scott",86144,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
56,"Godzilla (feat. Juice WRLD)",Eminem,83715,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
57,Savage,"Megan Thee Stallion",83380,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
58,"Please Don't Go",SIX60,83349,https://open.spotify.com/track/5caY6lIFeI2du0TpgCSRP1
59,Skechers,DripReport,81825,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
60,"Ride It",Regard,81117,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
61,"Ballin' (with Roddy Ricch)",Mustard,81056,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
62,Selfish,"Madison Beer",80075,https://open.spotify.com/track/4PV0uE5pZSh44E3NqNNDEH
63,July,"Noah Cyrus",79835,https://open.spotify.com/track/6J2LdBN97cDWn0MLxYh9HB
64,Bruises,"Lewis Capaldi",78902,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
65,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",77160,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
66,Shallow,"Lady Gaga",73962,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
67,"Play Date","Melanie Martinez",73807,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
68,"bad guy","Billie Eilish",73197,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
69,SUGAR,BROCKHAMPTON,72390,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
70,"Breaking Me",Topic,71375,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
71,"Chicago Freestyle (feat. Giveon)",Drake,70991,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
72,"Pump It Up",Endor,69683,https://open.spotify.com/track/0GiwV6v3AgJfdu59tj719Y
73,"Dreams - 2004 Remaster","Fleetwood Mac",69115,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
74,"Like That (feat. Gucci Mane)","Doja Cat",69056,https://open.spotify.com/track/4EivmOT13NMpNSfTKn9p4s
75,Raining,SIX60,67997,https://open.spotify.com/track/2FUFFJNRIr0XnWWlL3zfYb
76,"Hold Me While You Wait","Lewis Capaldi",67083,https://open.spotify.com/track/60iSKGrGazRzICtMjADNSM
77,"You should be sad",Halsey,66969,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
