,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Callaita,"Bad Bunny",3788908,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
2,"Otro Trago",Sech,3178442,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
3,"Soltera - Remix",Lunay,2827339,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL
4,"No Me Conoce - Remix","Jhay Cortez",2385399,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
5,"Cristina (feat. Shelow Shaq)",Maffio,2098939,https://open.spotify.com/track/2egI1hFZDAYrkCgtepoore
6,"Contando Lunares (feat. Cruz Cafuné)","Don Patricio",2045487,https://open.spotify.com/track/6uW0PIRcyZLvkoonm763xD
7,"Con Altura",ROSALÍA,1899811,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
8,"Tal Vez","Paulo Londra",1810852,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
9,"Verte Ir","DJ Luian",1695619,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
10,Cuaderno,Dalex,1695147,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6
11,"11 PM",Maluma,1684280,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
12,"Con Calma","Daddy Yankee",1679326,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
13,"La Playa","Myke Towers",1660521,https://open.spotify.com/track/0jeS8PyyIRAG0A3t5DtL71
14,"Pa Mí - Remix",Dalex,1650124,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
15,"Contra La Pared","Sean Paul",1603837,https://open.spotify.com/track/37eGbhE1xVFSvcKkqGb6i1
16,"Te Robaré","Nicky Jam",1568936,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw
17,Señorita,"Shawn Mendes",1559950,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik
18,"Te Soñé De Nuevo",Ozuna,1538004,https://open.spotify.com/track/5s8LepdwU0THzpd0M7nLsa
19,Swing,"Danny Ocean",1537460,https://open.spotify.com/track/4DbhxwlkhTbCTqlZptxmI6
20,,,1477788,https://open.spotify.com/track/2AgPxySIeAnXDHZvAQHg0R
21,"I Don't Care (with Justin Bieber)","Ed Sheeran",1390981,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
22,"Calma - Remix","Pedro Capó",1381224,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
23,"nana triste","Natalia Lacunza",1364305,https://open.spotify.com/track/721Lxh9pNJJhNERON4Zjmw
24,"Si Se Da","Myke Towers",1347601,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ
25,"Soldi (feat. Maikel Delacalle)",Mahmood,1292776,https://open.spotify.com/track/1GVBnZF3tHJiWzdCSgg75Z
26,"Baila Baila Baila - Remix",Ozuna,1252998,https://open.spotify.com/track/7mWFF4gPADjTQjC97CgFVt
27,"No Te Veo - Remix","Casper Magico",1229505,https://open.spotify.com/track/0stKSegkdrfLTDvm5sIO38
28,HP,Maluma,1220510,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3
29,Delincuente,Farruko,1213092,https://open.spotify.com/track/3TqLIW3qd4qFYkfYsBjVN6
30,"Loco Contigo (with J. Balvin & Tyga)","DJ Snake",1199497,https://open.spotify.com/track/1f38Gx6xQz6r4H1jGVNBJo
31,"Date La Vuelta","Luis Fonsi",1165598,https://open.spotify.com/track/5lwVd35Zg6DJ4qibVMq99H
32,"Déjate Querer","Lalo Ebratt",1164859,https://open.spotify.com/track/3mN2DtljBhnrIpc3Nu2pJ8
33,"Aute Cuture",ROSALÍA,1124093,https://open.spotify.com/track/7dQFpbs34ufIEU745DVclf
34,"Enchochado de Ti","Don Patricio",1094597,https://open.spotify.com/track/6G8TNOdTBpBPmDdJAvoVhA
35,"Que Mas Pues - Remix",Sech,1075788,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
36,"bad guy","Billie Eilish",1049931,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
37,"Me Quedo",Aitana,1034265,https://open.spotify.com/track/6Nqi1fWKYXrVXmF3RtQbSf
38,"Hola Señorita",GIMS,1016891,https://open.spotify.com/track/5vLEmh5EolySKTvXsyWSOg
39,Runaway,"Sebastian Yatra",1004387,https://open.spotify.com/track/7BuSE9uTIw931wtZYzvZcQ
40,Presiento,Morat,997205,https://open.spotify.com/track/2V4hc5gplg7EXlrRUvD4rp
41,"Tú No Amas","Mambo Kingz",962064,https://open.spotify.com/track/5J64qSSq0VZuh0CiI9o9Nq
42,Ocean,"KAROL G",917116,https://open.spotify.com/track/6qoIFQfdmaQF9A1gb67tR7
43,Secreto,"Anuel AA",911458,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
