,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"Santa María (Feat. Busy Signal)","Bad Gyal",568974,https://open.spotify.com/track/4R0sTxCaskwCPbzkfXHfWg
57,"Cristina (feat. Shelow Shaq)",Maffio,566996,https://open.spotify.com/track/2egI1hFZDAYrkCgtepoore
58,"Qué Bonito Es Querer","Manuel Carrasco",560683,https://open.spotify.com/track/6uzGmmQ4CuG9HvZktEy0LF
59,Atrévete,"Nicky Jam",558654,https://open.spotify.com/track/3KekO5WUfJsh7kYU9o2w50
60,Presiento,Morat,552028,https://open.spotify.com/track/2V4hc5gplg7EXlrRUvD4rp
61,"Cicatrices (feat. Indara)","Sergio Contreras",547446,https://open.spotify.com/track/17nYNma8AncLFqOBk6tu6m
62,"B11 (feat. Myke Towers)",Rvssian,541963,https://open.spotify.com/track/4o1DxRjMCHDwBiOKv88rOl
63,"Verte Ir","DJ Luian",541399,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
64,"Te Robaré","Nicky Jam",538190,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw
65,Apriétala,Rvfv,532888,https://open.spotify.com/track/0VLIfeftkYpJgzqUvJc0BP
66,Ransom,"Lil Tecca",521112,https://open.spotify.com/track/6EOKwHETwSkZ9gW2b6ASE0
67,Hookah,"Bad Gyal",520127,https://open.spotify.com/track/4piZ5m1vZGDkfyHga5U97m
68,Djadja,"Aya Nakamura",516626,https://open.spotify.com/track/7sKDftgGirHWTVFMtJoDoh
69,"Soldadito de Hierro","Nil Moliner",511413,https://open.spotify.com/track/3DfUO7e24abpbIreUpUK4B
70,"Déjate Querer","Lalo Ebratt",505255,https://open.spotify.com/track/3mN2DtljBhnrIpc3Nu2pJ8
71,Prendío,Rvfv,499513,https://open.spotify.com/track/1pUq8PePQRODKRKwY2nvC8
72,Ellos,"Ceky Viciny",486096,https://open.spotify.com/track/7bDboJVS7UlQBZj8lsvz2g
