,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,China,"Anuel AA",2182660,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
2,"Adicto (with Anuel AA & Ozuna)",Tainy,1725176,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
3,Fantasias,"Rauw Alejandro",1721007,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
4,"Yo x Ti, Tu x Mi",ROSALÍA,1708639,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
5,"Te Quemaste","Manuel Turizo",1638747,https://open.spotify.com/track/4fj7e6Tc48Bmomwyz2Z2XC
6,Goteo,Duki,1532799,https://open.spotify.com/track/1EoEU4HY57qaITp06TkC6B
7,Indeciso,Reik,1476424,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
8,"Si Te Vas",Sech,1474686,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
9,"RITMO (Bad Boys For Life)","Black Eyed Peas",1393299,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
10,"La Rubia - Remix 2","La Nueva Escuela",1369656,https://open.spotify.com/track/7KKTnv81z6DmfPIGsZWjOW
11,"Dance Monkey","Tones And I",1301036,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
12,"De Tranquilote","Danny Romero",1275272,https://open.spotify.com/track/1IDFcb3cjkj2dhv3UaxX9b
13,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",1274914,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
14,Prendío,Rvfv,1271830,https://open.spotify.com/track/1pUq8PePQRODKRKwY2nvC8
15,"No Te Debí Besar","C. Tangana",1205173,https://open.spotify.com/track/1KdwnsWOvhM53vezy5ROuf
16,Easy,"Jhay Cortez",1190986,https://open.spotify.com/track/7fTsw0IKbbPDN19keS32tF
17,Tutu,Camilo,1170202,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
18,Quizas,"Rich Music LTD",1131625,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
19,"No Me Conoce - Remix","Jhay Cortez",1074769,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
20,"Que Calor (with J Balvin & El Alfa)","Major Lazer",1040567,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
21,Callaita,"Bad Bunny",993020,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
