,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,DÁKITI,"Bad Bunny",4112032,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
2,"Tú Me Dejaste De Querer","C. Tangana",3288497,https://open.spotify.com/track/0XinBYhf1X3kdvKQHOX971
3,"LA NOCHE DE ANOCHE","Bad Bunny",3135561,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
4,BICHOTA,"KAROL G",2692733,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
5,"Hecha Pa' Mi",Boza,2563595,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
6,Bandido,"Myke Towers",2542894,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
7,"La Nota","Manuel Turizo",2297078,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
8,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap,2048465,https://open.spotify.com/track/78SeXVRJ7KCqVmOwTiFjnI
9,"Chica Ideal","Sebastian Yatra",1902964,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
10,BEBÉ,Camilo,1824016,https://open.spotify.com/track/7D7EH7MGyNHWSkqrszerI1
11,"Vida de Rico",Camilo,1755523,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
12,"A Un Paso De La Luna","Ana Mena",1751125,https://open.spotify.com/track/7ql2RUmAmj36tkMUNWo7MT
13,"Blin Blin","Bad Gyal",1674214,https://open.spotify.com/track/5u5S7D8NaQzyKkdU4duHJR
14,Problemas,"Paris Boy",1542140,https://open.spotify.com/track/2aQJOc2QUTdQl1J2Z9VxYO
15,"La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix","Jay Wheeler",1539218,https://open.spotify.com/track/7LE1K0lZyRFZjSlrnm7lfD
16,"La Luz",Sech,1521256,https://open.spotify.com/track/5zj8WNkBrEzlI5FKeYV4ol
17,Reloj,"Rauw Alejandro",1493398,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
18,Polvo,"Nicky Jam",1466820,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
19,"Mi Niña",Wisin,1446303,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
20,Motorola,Morad,1404855,https://open.spotify.com/track/3XkPX66UVP2FhtnvJBzpl1
21,"All I Want for Christmas Is You","Mariah Carey",1335346,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
22,Despeinada,Ozuna,1321863,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
23,"TE MUDASTE","Bad Bunny",1309401,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
24,Hawái,Maluma,1297784,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
