Position,Track Name,Artist,Streams,URL,Year,Month,yyyy-mm,Stream %,Track ID
128,"thank u, next",Ariana Grande,1879737,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,2019,08,2019-08,0.003142750492693811,3e9HZxeyfWwjeyPAMmWSSQ
129,Beautiful Crazy,Luke Combs,1857149,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde,2019,08,2019-08,0.0031049853967633867,2rxQMGVafnNaRaXlRMWPde
130,I Fall Apart,Post Malone,1856785,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,2019,08,2019-08,0.0031043768216386003,75ZvA4QfFiZvzhj2xkaWAh
131,Baby Birkin,Gunna,1841719,https://open.spotify.com/track/0BOmhToQ03yOdpzYKMEnAg,2019,08,2019-08,0.003079187830347305,0BOmhToQ03yOdpzYKMEnAg
132,Dancing With A Stranger (with Normani),Sam Smith,1807627,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2019,08,2019-08,0.003022189085418138,6Qs4SXO9dwPj5GKvVOv8Ki
133,God's Country,Blake Shelton,1804969,https://open.spotify.com/track/1dyxS3YzBbL0t8rEVwVQ1K,2019,08,2019-08,0.003017745149479451,1dyxS3YzBbL0t8rEVwVQ1K
134,Act Up,City Girls,1793894,https://open.spotify.com/track/3A2yGHWIzmGEIolwonU69h,2019,08,2019-08,0.002999228749734921,3A2yGHWIzmGEIolwonU69h
135,Post Malone (feat. RANI),Sam Feldt,1784704,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL,2019,08,2019-08,0.0029838638997437485,0qc4QlcCxVTGyShurEv1UU
136,Jocelyn Flores,XXXTENTACION,1780024,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,2019,08,2019-08,0.0029760393624250667,7m9OqQk4RVRkw9JJdeAw96
137,Ballin' (with Roddy Ricch),Mustard,1778800,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY,2019,08,2019-08,0.0029739929449724882,3QzAOrNlsabgbMwlZt7TAY
138,ZEZE (feat. Travis Scott & Offset),Kodak Black,1771536,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019,08,2019-08,0.002961848193031697,0FZ4Dmg8jJJAPJnvBIzD9z
139,Only Human,Jonas Brothers,1757591,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk,2019,08,2019-08,0.0029385334124955816,0DiDStADDVh3SvAsoJAFMk
140,Beer Never Broke My Heart,Luke Combs,1743224,https://open.spotify.com/track/7nfmK6oHPDlAd68A11d7AN,2019,08,2019-08,0.0029145130860730385,7aEtlGHoiPAfRB084NiDmx
141,"Pink Toes (Offset, DaBaby feat. Gunna)",Quality Control,1737839,https://open.spotify.com/track/0W1ZfgXpC23RYQPDq7RM5I,2019,08,2019-08,0.002905509852427504,0W1ZfgXpC23RYQPDq7RM5I
142,Faucet Failure,Ski Mask The Slump God,1737257,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN,2019,08,2019-08,0.0029045368009917192,1ThmUihH9dF8EV08ku5AXN
143,Moonlight,XXXTENTACION,1728763,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2019,08,2019-08,0.0028903356001402486,0JP9xo3adEtGSdUEISiszL
144,Worth It,YK Osiris,1728363,https://open.spotify.com/track/4XiGKQqbmnMVxDzUj6j3f2,2019,08,2019-08,0.002889666836266857,0PQoUlzP7ILdcrzpajHXc0
145,All Girls Are The Same,Juice WRLD,1716925,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1,2019,08,2019-08,0.0028705435333072236,4VXIryQMWpIdGgYR4TrjT1
146,High Hopes,Panic! At The Disco,1716849,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019,08,2019-08,0.0028704164681712793,1rqqCSm0Qe4I9rUvWncaom
