,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Dynamite,BTS,1432077,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
2,Shayad,Pritam,938053,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL
3,"Holy (feat. Chance The Rapper)","Justin Bieber",833792,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
4,"Mood (feat. iann dior)",24kGoldn,782527,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
5,Khairiyat,Pritam,776052,https://open.spotify.com/track/5O932cZmzOZGOGZz9RHx20
6,"Ice Cream (with Selena Gomez)",BLACKPINK,757532,https://open.spotify.com/track/2J4P46vCFm1rPkNkp9pZWX
7,Chidiya,Vilen,755295,https://open.spotify.com/track/7mNZUnDWUDidWBFaUpVtOC
8,Liggi,Ritviz,711750,https://open.spotify.com/track/66Nmp3ztIMqX1j8yYtWl1X
9,G.O.A.T.,"Diljit Dosanjh",705354,https://open.spotify.com/track/46QbY78ha62aiu6gBgC7lS
10,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",677939,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
11,"Ghungroo (From ""War"")","Arijit Singh",670488,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44
12,"Play Date","Melanie Martinez",655272,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
13,Makhna,"Tanishk Bagchi",652138,https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga
14,"WAP (feat. Megan Thee Stallion)","Cardi B",644915,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
15,"Savage Love (Laxed - Siren Beat)","Jawsh 685",626151,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
16,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Rochak Kohli",623821,https://open.spotify.com/track/57jOEZtoLQK4zF2x55bdkp
17,"Main Tumhara","A.R. Rahman",581706,https://open.spotify.com/track/2ZvWoJ82LKCgD0nU9H5ue5
18,"ily (i love you baby) (feat. Emilee)","Surf Mesa",562985,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
19,"Genda Phool (feat. Payal Dev)",Badshah,547264,https://open.spotify.com/track/0gzu5mm36VJH2Zqu8sQPTf
20,"Blinding Lights","The Weeknd",543513,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
21,Falling,"Trevor Daniel",519373,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
22,Señorita,"Shawn Mendes",519231,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
23,"Kaise Hua (From ""Kabir Singh"")","Vishal Mishra",515604,https://open.spotify.com/track/1y1rQTkWmrZdJmjwuK07GC
24,Feelings,"Sumit Goswami",513287,https://open.spotify.com/track/0LRNOwAcNjPMxTYQahFo3S
25,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",Badshah,511370,https://open.spotify.com/track/6q9XTgfWilsnyiFofvYrIF
26,Memories,"Maroon 5",508190,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
27,"Illegal Weapon 2.0","Jasmine Sandlas",500497,https://open.spotify.com/track/7CY0CmCpSglfUKCBOOiRfw
28,"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")","Ayushmann Khurrana",496223,https://open.spotify.com/track/3qrdLVOClRU4yPkcXZ7c5u
29,"Duniyaa (From ""Luka Chuppi"")",Akhil,479028,https://open.spotify.com/track/3s3J70eRpRH2hcYq4mEXTJ
30,"Malang (Title Track) [From ""Malang - Unleash The Madness""]","Ved Sharma",475740,https://open.spotify.com/track/25MPTnqXQB1H6OkwSYUXWx
31,"Humraah (From ""Malang - Unleash The Madness"")","Sachet Tandon",466957,https://open.spotify.com/track/4xmkpE1Si5JL7NFxWrhV0S
32,"Born to Shine","Diljit Dosanjh",465250,https://open.spotify.com/track/4XxfOvudrnBRdlgzEaq1sd
33,"No Competition","Jass Manak",458054,https://open.spotify.com/track/4AVe62GFbb3ffKXjUSpiuv
34,"POPSTAR (feat. Drake)","DJ Khaled",454907,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
35,"Pal Pal Dil Ke Paas- Title Track","Arijit Singh",450633,https://open.spotify.com/track/7lGhrfren1Zpwh0ds0zuUg
36,"Agar Tum Saath Ho (From ""Tamasha"")","Alka Yagnik",444460,https://open.spotify.com/track/1fzAokzOONl4XEPUFoammu
37,"death bed (coffee for your head)",Powfu,435799,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
38,"Watermelon Sugar","Harry Styles",435108,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
39,Game,"Shooter Kahlon",430349,https://open.spotify.com/track/12j9XLGbDrJw7S4flHVIMj
40,Butterfly,"Jass Manak",428718,https://open.spotify.com/track/0bII0GX8CepFivbJkscZlE
41,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,420033,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
