,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"7 rings","Ariana Grande",71486,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
2,Shallow,"Lady Gaga",67267,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
3,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",65006,https://open.spotify.com/track/7dbka99KTWke5o9hRp0JoB
4,"break up with your girlfriend, i'm bored","Ariana Grande",62512,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
5,"Con Calma","Daddy Yankee",59178,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
6,Wow.,"Post Malone",54174,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
7,Talk,Khalid,53779,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM
8,"Duniyaa (From ""Luka Chuppi"")",Akhil,47549,https://open.spotify.com/track/2tjWCe2W7sgvS3C8NHcdtI
9,"i'm so tired...",Lauv,46823,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
10,"Don't Call Me Up",Mabel,46267,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
11,"Dancing With A Stranger (with Normani)","Sam Smith",44080,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
12,"Without Me",Halsey,43764,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
13,"bury a friend","Billie Eilish",41816,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP
14,"Apna Time Aayega","Ranveer Singh",41592,https://open.spotify.com/track/5uaIbU3oHHcSOK6WFNK5nj
15,BIBA,Marshmello,37911,https://open.spotify.com/track/0GVBPuCT3pBrXCdY3Uiy5B
16,"No Sleep (feat. Bonn)","Martin Garrix",35855,https://open.spotify.com/track/1ahVFh0ViDZr8LvkEVlq3B
17,Happier,Marshmello,35115,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
18,"Who Do You Love","The Chainsmokers",34325,https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8
19,"Aankh Marey","Neha Kakkar",32044,https://open.spotify.com/track/2UE5pVmMGjfD5XUQTpYpD6
20,"She Move It Like",Badshah,31631,https://open.spotify.com/track/39vrbjCMTRXEdiIr2IsBgd
21,"MIDDLE CHILD","J. Cole",28370,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
22,Lamberghini,"The Doorbeen",27301,https://open.spotify.com/track/45P9g6kUb7itdonjjGjDdS
23,"Coca Cola (From ""Luka Chuppi"")","Tony Kakkar",26603,https://open.spotify.com/track/352wEkChkiClswqwDoM0nj
24,"thank u, next","Ariana Grande",26570,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
25,Sakhiyaan,"Maninder Buttar",26505,https://open.spotify.com/track/3sqRODOZ1Z6hR4F2tnFAlg
26,"Eastside (with Halsey & Khalid)","benny blanco",24639,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
27,Azadi,"Dub Sharma",24325,https://open.spotify.com/track/07qSl2sNpFNILaYyZ6yIS9
28,"Proper Patola",Badshah,22947,https://open.spotify.com/track/39ujbBjTwwqUFySaCYDMMT
29,"The Humma Song","A.R. Rahman",22781,https://open.spotify.com/track/7heMX7gyHP0mhTlNgd7Lxd
