,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
51,"Yaad Piya Ki Aane Lagi","Neha Kakkar",275527,https://open.spotify.com/track/0TkquWzzuxcrwbCWlTrKYF
52,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",268990,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
53,"Meri Aashiqui","Jubin Nautiyal",268588,https://open.spotify.com/track/2Zwv2vKU8mwgh2LI5GUKcT
54,"Someone You Loved","Lewis Capaldi",266753,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
55,"Lagdi Lahore Di (From ""Street Dancer 3D"")","Guru Randhawa",265418,https://open.spotify.com/track/5ZQnQnbUVtBO0pl3ShqVHG
56,"Stuck with U (with Justin Bieber)","Ariana Grande",261685,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
57,"Kaun Tujhe (From ""M.S.Dhoni - The Untold Story"")","Palak Muchhal",259588,https://open.spotify.com/track/5b7u3idwfY2LyqMQlCwscm
58,"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")","Arijit Singh",259155,https://open.spotify.com/track/1aIhAX6324JZmhNnGltwkK
59,"Kuch Bhi Ho Jaye","B Praak",249931,https://open.spotify.com/track/0IkC8QAKW1z0larWWtnSOO
60,"Tujhe Kitna Chahein Aur (Film Version) [From ""Kabir Singh""]","Jubin Nautiyal",249326,https://open.spotify.com/track/3lT4SlZVvqLhMeiuBv7gHW
61,"Can We Kiss Forever?",Kina,248660,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
62,"Udd Gaye - Bacardi House Party Sessions",Ritviz,246630,https://open.spotify.com/track/6wZJsut8fjiWiMPaccRAOX
63,Sakhiyaan,"Maninder Buttar",246572,https://open.spotify.com/track/3sqRODOZ1Z6hR4F2tnFAlg
64,"Without Me",Halsey,245960,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
65,"Kalank (Title Track)","Arijit Singh",245344,https://open.spotify.com/track/6vo7Y1iWyZvpjvFbf6BiZ5
66,"On My Way","Alan Walker",242880,https://open.spotify.com/track/7KhHA3mzt7A3LFlOJEAKpI
67,Takeaway,"The Chainsmokers",242594,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
68,"Tere Naal","Tulsi Kumar",240605,https://open.spotify.com/track/2Vw94w6FxCyaYwyCivi9Py
69,"I Like Me Better",Lauv,240535,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
70,"Break My Heart","Dua Lipa",239278,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
71,ROXANNE,"Arizona Zervas",237971,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
72,"Jaan 'Nisaar (Arijit)","Arijit Singh",235827,https://open.spotify.com/track/6pzlnyHTVYi5FOmrgOmC95
73,"Chal Ghar Chalen (From ""Malang - Unleash The Madness"") [Mithoon feat. Arijit Singh]",Mithoon,234544,https://open.spotify.com/track/2U0BLmYoSESYOdwMxW2yA9
74,Yummy,"Justin Bieber",232428,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
75,"Main Suneya","Ammy Virk",229686,https://open.spotify.com/track/4AR1na46nYoPXPmNRgciUH
76,Jannat,"B Praak",229482,https://open.spotify.com/track/1RS7tM3j3ZHdiekHcC0lxr
77,"Party Girl",StaySolidRocky,227063,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
78,"Muqabla (From ""Street Dancer 3D"")","Yash Narvekar",226405,https://open.spotify.com/track/28veUNu4veN0LOBVa0nFw8
79,"Boy With Luv (feat. Halsey)",BTS,225420,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
80,"Let Me Down Slowly","Alec Benjamin",223276,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
81,"bad guy","Billie Eilish",221567,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
82,"Blueberry Faygo","Lil Mosey",219982,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
83,"Buttabomma - Telugu","Armaan Malik",219844,https://open.spotify.com/track/0dnDTvdUco2UbaBjUtPxNS
84,Cradles,"Sub Urban",219330,https://open.spotify.com/track/1y4jsQt7MjnZhiD1L6qFBC
85,"Teri Mitti",Arko,216406,https://open.spotify.com/track/75hrPAosuDiO9F3DKwVP12
86,"Rain On Me (with Ariana Grande)","Lady Gaga",214855,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
87,Circles,"Post Malone",213312,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
88,"Aaj Bhi","Vishal Mishra",213038,https://open.spotify.com/track/6LpswW9691XT9OjVSvDU6G
89,Faded,"Alan Walker",212430,https://open.spotify.com/track/698ItKASDavgwZ3WjaWjtz
90,"Kalla Sohna Nai",Akhil,212054,https://open.spotify.com/track/4yurVSNjaPBKkOpbZWtuJO
91,"Let 'em Play","Karan Aujla",211180,https://open.spotify.com/track/6S6HSSk9HzWe3pqvUJn6Vq
92,"Dheeme Dheeme (From ""Pati Patni Aur Woh"")","Tony Kakkar",210989,https://open.spotify.com/track/7ofWUKeNCUw1P64ArIwG9b
93,"Be Kind (with Halsey)",Marshmello,209984,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
94,"Raabta (Title Track) [From ""Raabta""]",Pritam,207880,https://open.spotify.com/track/4e9dIemIXO8Tzg0k4aWujk
95,"Boss Bitch","Doja Cat",207359,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
96,Closer,"The Chainsmokers",205004,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
97,Satisfya,"Imran Khan",204193,https://open.spotify.com/track/6HGoVbCUr63SgU3TjxEVj6
98,"Saari Ki Saari 2.0","Darshan Raval",202071,https://open.spotify.com/track/34ppgPuSUgKIqUIBT26ulf
99,"Asal Mein","Darshan Raval",201992,https://open.spotify.com/track/1StFDfq4raRws97W8Wb3QS
100,"Ik Tera","Maninder Buttar",200697,https://open.spotify.com/track/57DhVYA7E1CyrE4OKuyLb7
101,"Dil Diyan Gallan",Vishal-Shekhar,197424,https://open.spotify.com/track/5MnAi6ZF7cE8pAz7wYr9Ta
102,"Chale Aana (From ""De De Pyaar De"")","Amaal Mallik",197041,https://open.spotify.com/track/6vuMdb0E8buJeSHArN3dXk
103,"O Saki Saki (From ""Batla House"")","Neha Kakkar",195623,https://open.spotify.com/track/5djZm1zFGcJUSUqbBjrAZH
104,"Thandi Hawa",Ritviz,194552,https://open.spotify.com/track/7EPMILezRmD7gHhgx11e7k
105,"8 Parche","Baani Sandhu",192800,https://open.spotify.com/track/42ETKyApzUl8hTtytFAjen
106,"7 rings","Ariana Grande",189625,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
107,"Pyaar Tenu Karda Gabru (From ""Shubh Mangal Zyada Saavdhan"")",Romy,189386,https://open.spotify.com/track/0OcVZqIer0LLu3K8sdU5Yb
108,"Proper Patola",Badshah,189061,https://open.spotify.com/track/39ujbBjTwwqUFySaCYDMMT
109,"Ik Mulaqaat","Meet Bros.",188682,https://open.spotify.com/track/17uI7afUaul1hCzMTF9txd
110,Vaaste,"Dhvani Bhanushali",187687,https://open.spotify.com/track/0mJTAdmY8olbGQjopDYff3
111,"Tera Ghata","Gajendra Verma",186551,https://open.spotify.com/track/0JBhoxPKHJc1ZeJrjSt0VO
112,"Pachtaoge (From ""Jaani Ve"")","Arijit Singh",184430,https://open.spotify.com/track/5ZU1GwpkNJPaGbUwXX5rpQ
113,Perfect,"Ed Sheeran",184384,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
114,Kabira,Pritam,183836,https://open.spotify.com/track/4bD9z9qa4qg9BhryvYWB7c
115,"Pehla Pyaar","Armaan Malik",183657,https://open.spotify.com/track/0ojpEubhy4JNeVftmVuiN7
116,Baari,"Bilal Saeed",183095,https://open.spotify.com/track/7cuYb19oTyv1tLTgzH7qpv
117,Supalonely,BENEE,181227,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
118,"Same Beef",Bohemia,179543,https://open.spotify.com/track/65c6VCikt7f5sAS1heoYQC
119,"Sauda Khara Khara","Diljit Dosanjh",178649,https://open.spotify.com/track/1v8H06ctqfMX8IUxU9nCaI
120,"Dusk Till Dawn - Radio Edit",ZAYN,178537,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
121,"rockstar (feat. 21 Savage)","Post Malone",178279,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
122,ON,BTS,178258,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
123,"I Don't Care (with Justin Bieber)","Ed Sheeran",176753,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
124,"Lambiyaan Si Judaiyaan (From ""Raabta"")","Arijit Singh",175422,https://open.spotify.com/track/5Jgv5IaPCgj1rldWSlw6m3
125,"Paniyon Sa","Atif Aslam",175133,https://open.spotify.com/track/2si0ZNx4yRbggTvrIom8A2
126,Samajavaragamana,"Sid Sriram",174150,https://open.spotify.com/track/3j9DrRebdWK1jkpOw9FZUy
127,FRIENDS,Marshmello,173288,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
128,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",173236,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
129,Thunder,"Imagine Dragons",172746,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
130,Sage,Ritviz,172221,https://open.spotify.com/track/64RkEV5b7bG697vhIPMlrl
131,"Besabriyaan (From ""M.S.Dhoni - The Untold Story"")","Armaan Malik",170107,https://open.spotify.com/track/57ybIjaksLjhwgNNwGkUr1
