,Year,Month,Danceability %,Energy %,Valence %
0,2019,1,0.6889909859035044,0.7155035905602158,0.6205894799268052
1,2019,2,0.6956381738244078,0.712206914307376,0.635794972052381
2,2019,3,0.6767478220450338,0.7184533888759586,0.6325356893512765
3,2019,4,0.6722110200911707,0.7183479889576238,0.6305751507939579
4,2019,5,0.6740306200720427,0.708668533871379,0.6421492335142188
5,2019,6,0.6770292257884308,0.7066321496496742,0.6334081502443917
6,2019,7,0.6767630689995499,0.7005582409067048,0.6373211384209486
7,2019,8,0.6784623209785088,0.7047921329455122,0.6539781467833671
8,2019,9,0.6828857355623688,0.7085276929173075,0.6540813867720278
9,2019,10,0.6821933062391808,0.6997371911075234,0.6621806264072694
10,2019,11,0.685502390762462,0.7080831603721556,0.6647003540349747
11,2019,12,0.6754273243445558,0.7319135273858943,0.6660803883555793
12,2020,1,0.6860836964386976,0.7212862719733452,0.6592966616929484
13,2020,2,0.6935531804930851,0.7360723084955544,0.6683129734687292
14,2020,3,0.6790893840693851,0.720322376275734,0.6406723398122172
15,2020,4,0.6815644448865285,0.7071803645095857,0.6309404299416076
16,2020,5,0.6730225074879901,0.7047701753148429,0.6202580570360278
17,2020,6,0.669044552481044,0.7039347115498483,0.6275149760472175
18,2020,7,0.6694091098226772,0.6956534617853959,0.629403715108283
19,2020,8,0.6784543503062536,0.7099465575778918,0.6463439240170925
20,2020,9,0.6872405612596966,0.7233203704611562,0.6484761059252947
21,2020,10,0.6781326707606075,0.7259769748634437,0.6594900661855059
22,2020,11,0.6776619224547292,0.710624355132869,0.666753568527712
23,2020,12,0.6737583172288913,0.7325002692461399,0.7037539920952448
