Year,Month,Danceability %,Energy %,Valence %,Country
2019,1,0.690073203101268,0.4648739008683344,0.6004662111617937,New Zealand
2019,2,0.6850022815334723,0.4412637437986043,0.588278452792631,New Zealand
2019,3,0.6869473070141431,0.4570233301750404,0.5880932029033568,New Zealand
2019,4,0.6944592449049295,0.4819321282469508,0.5667852066124747,New Zealand
2019,5,0.6944530643626804,0.4914782679409268,0.5874955767425228,New Zealand
2019,6,0.6983212072193388,0.4962328315774018,0.5822298478616231,New Zealand
2019,7,0.6884753684964623,0.5010195097749333,0.5895174360190221,New Zealand
2019,8,0.6832109054358202,0.5011089094800952,0.5848631438374409,New Zealand
2019,9,0.6770555894912904,0.5016370307303589,0.5947192270097621,New Zealand
2019,10,0.6664761008451284,0.481180078805728,0.5925438602380889,New Zealand
2019,11,0.6605331352670232,0.4842176769719581,0.5847435550009438,New Zealand
2019,12,0.6088743993269531,0.5443374371542788,0.556375302219252,New Zealand
2020,1,0.6689726356119235,0.4897580704277282,0.5682817142655116,New Zealand
2020,2,0.6648391571159208,0.48183078601735,0.5605592953468378,New Zealand
2020,3,0.6706391766503172,0.4918528009365761,0.5736349482248542,New Zealand
2020,4,0.6806909118120869,0.489709641104783,0.5755764376938216,New Zealand
2020,5,0.6769739699599214,0.500612408873697,0.5800603029314532,New Zealand
2020,6,0.6759020628393544,0.510472965606071,0.5788668952643694,New Zealand
2020,7,0.6606254820870333,0.4764183194431668,0.5690340739160552,New Zealand
2020,8,0.6718838792369379,0.4793319028796846,0.5827727348034076,New Zealand
2020,9,0.6798299632311167,0.5029035654416454,0.5962685346386075,New Zealand
2020,10,0.6718417251430924,0.514191889386065,0.6008873448638384,New Zealand
2020,11,0.6742013908099243,0.5127905900601648,0.591283528539205,New Zealand
2020,12,0.6636952249262639,0.5563332616736961,0.5805335915256952,New Zealand
2019,1,0.7329371922655801,0.6843017044810545,0.5814585907769364,Spain
2019,2,0.7468514244065414,0.6819394836080129,0.5879976896001265,Spain
2019,3,0.7440423421887181,0.68412389137979,0.6056341499544114,Spain
2019,4,0.7350873830628801,0.6761906258183421,0.6119941287018212,Spain
2019,5,0.7259416415519659,0.6870660216443721,0.6164146467959573,Spain
2019,6,0.7181464787293724,0.6700979725025293,0.6126412142443689,Spain
2019,7,0.7275078301713693,0.685621255467885,0.6396799194451616,Spain
2019,8,0.7327245558470171,0.6827085565497942,0.6249389360047253,Spain
2019,9,0.7335976870933756,0.6776088538880142,0.6283657376650372,Spain
2019,10,0.7341952131371471,0.673556931497298,0.6390739803698214,Spain
2019,11,0.7374862581088305,0.6776167586024824,0.6229076857901565,Spain
2019,12,0.7088456630319436,0.6586313622842714,0.6070279826913109,Spain
2020,1,0.725126966483445,0.6763743165175755,0.6251398348328413,Spain
2020,2,0.7375797189159583,0.6692111120495952,0.5957799840372188,Spain
2020,3,0.7449132601656027,0.693768984978994,0.6325777895086194,Spain
2020,4,0.7401257789723101,0.703344582288986,0.6295108183623602,Spain
2020,5,0.7481403854882821,0.6926284307270071,0.6148249083954928,Spain
2020,6,0.7526688247950278,0.7065596527037705,0.6416790532737306,Spain
2020,7,0.735061626452693,0.6931880577909905,0.6376694254504152,Spain
2020,8,0.7197566426559373,0.6802887760590458,0.6168206548371952,Spain
2020,9,0.7161154655015274,0.6817941319137192,0.6248914167334972,Spain
2020,10,0.7130631503442968,0.6713578149117125,0.6177302171654236,Spain
2020,11,0.7224973860722809,0.6652924424198855,0.5847685707182826,Spain
2020,12,0.7133050238565402,0.6658764107260329,0.6080282928595593,Spain
2019,1,0.7358630812952356,0.5764641621858275,0.4408649994336607,United States
2019,2,0.7293873786473788,0.5810444152333446,0.4378965294075469,United States
2019,3,0.7275031982243383,0.5824174579620033,0.4567572897906537,United States
2019,4,0.7202665836001321,0.5718627311509026,0.4690500041523219,United States
2019,5,0.7149178563952631,0.5960052273410171,0.4833363410303057,United States
2019,6,0.7284691595197309,0.6031822841981577,0.4864819991019911,United States
2019,7,0.7209380844967208,0.6026344528189597,0.481410978258183,United States
2019,8,0.7115055987816381,0.5895590397947157,0.4815481191414812,United States
2019,9,0.7103900536115131,0.6032534749559934,0.4706377299599696,United States
2019,10,0.6841012068528035,0.5968896297734544,0.4520401560829237,United States
2019,11,0.6952167435758942,0.5705120364222732,0.4784620766597856,United States
2019,12,0.6403867293595121,0.5383256488989749,0.5218651750770387,United States
2020,1,0.7222144891783183,0.5688735146885757,0.4634079966239209,United States
2020,2,0.7155256277661389,0.583753733066885,0.4782853586936177,United States
2020,3,0.7016780049434126,0.5999645833178773,0.4805652075561246,United States
2020,4,0.7213002387089984,0.5983902913626393,0.4815036511642867,United States
2020,5,0.7259174307302031,0.6090074304153186,0.4931157645283343,United States
2020,6,0.7121684618213453,0.6096239415549912,0.4987593564826176,United States
2020,7,0.67228602448248,0.5659318556107868,0.4441929464231201,United States
2020,8,0.7038168694774477,0.5928209871152929,0.4522920397794245,United States
2020,9,0.7066203754014038,0.6002239223110419,0.46947785480032794,United States
2020,10,0.6886050001625763,0.6175703483278535,0.4734908350125484,United States
2020,11,0.6793850139387483,0.5941588484427425,0.5107748190242949,United States
2020,12,0.6600705098038561,0.5629783095328995,0.5102970716417672,United States
2019,1,0.6889909859035044,0.7155035905602158,0.6205894799268052,Brazil
2019,2,0.6956381738244078,0.712206914307376,0.635794972052381,Brazil
2019,3,0.6767478220450338,0.7184533888759586,0.6325356893512765,Brazil
2019,4,0.6722110200911707,0.7183479889576238,0.6305751507939579,Brazil
