,Unnamed: 0,Year,Month,Danceability %,Valence %,Energy %
0,0,2019,1,0.6798900561728641,0.4406159265275971,0.6223213490575273
1,1,2019,2,0.6785293797338142,0.4368075094612688,0.6261226727670723
2,2,2019,3,0.680442428454836,0.4689914333134014,0.6268495396270656
3,3,2019,4,0.6837430127875961,0.4824260269690407,0.6157784532444596
4,4,2019,5,0.6750599714994189,0.4893015839851861,0.6160741058359369
5,5,2019,6,0.6913854036997231,0.5017316649826339,0.6314323250525027
6,6,2019,7,0.6919651645825111,0.5246569458088859,0.6425097645801449
7,7,2019,8,0.6870796233474581,0.5197795062899707,0.6317043445488507
8,8,2019,9,0.6912079909528849,0.5212829121710132,0.6448659683094086
9,9,2019,10,0.680101502978995,0.4978770022386728,0.6312331486248878
10,10,2019,11,0.6693784044006764,0.49342236086129904,0.6028112066856366
11,11,2019,12,0.5779304327703859,0.5523047513660376,0.5508850593738881
12,12,2020,1,0.6967176324720216,0.4728953515626919,0.6119815074081744
13,13,2020,2,0.6829340824527604,0.4751032889374646,0.5911878481686864
14,14,2020,3,0.6770320972668817,0.4907249746244581,0.6115912346936999
15,15,2020,4,0.6842171378979565,0.5068388843705891,0.619002219640619
16,16,2020,5,0.6899736132827149,0.5172661282961691,0.6335603632344236
17,17,2020,6,0.6919459629452335,0.5331028912340999,0.6345667832346801
18,18,2020,7,0.6783713144367762,0.5115244895848853,0.6143883715967744
19,19,2020,8,0.6859193180624912,0.5141349903350598,0.6327944397266533
20,20,2020,9,0.6881877440596424,0.5144466719939287,0.6372970040908134
21,21,2020,10,0.6816425493451794,0.5150722141551624,0.6469888207630966
22,22,2020,11,0.6555131705336272,0.5360915529081123,0.6199196643977719
23,23,2020,12,0.6019805619273161,0.5668701360546959,0.5857112194930324
