,Unnamed: 0,Year,Month,Danceability %,Valence %,Energy %
0,0,2019,1,0.7329371922655801,0.5814585907769364,0.6843017044810545
1,1,2019,2,0.7468514244065414,0.5879976896001265,0.6819394836080129
2,2,2019,3,0.7440423421887181,0.6056341499544114,0.68412389137979
3,3,2019,4,0.7350873830628801,0.6119941287018212,0.6761906258183421
4,4,2019,5,0.7259416415519659,0.6164146467959573,0.6870660216443721
5,5,2019,6,0.7181464787293724,0.6126412142443689,0.6700979725025293
6,6,2019,7,0.7275078301713693,0.6396799194451616,0.685621255467885
7,7,2019,8,0.7327245558470171,0.6249389360047253,0.6827085565497942
8,8,2019,9,0.7335976870933756,0.6283657376650372,0.6776088538880142
9,9,2019,10,0.7341952131371471,0.6390739803698214,0.673556931497298
10,10,2019,11,0.7374862581088305,0.6229076857901565,0.6776167586024824
11,11,2019,12,0.7088456630319436,0.6070279826913109,0.6586313622842714
12,12,2020,1,0.725126966483445,0.6251398348328413,0.6763743165175755
13,13,2020,2,0.7375797189159583,0.5957799840372188,0.6692111120495952
14,14,2020,3,0.7449132601656027,0.6325777895086194,0.693768984978994
15,15,2020,4,0.7401257789723101,0.6295108183623602,0.703344582288986
16,16,2020,5,0.7481403854882821,0.6148249083954928,0.6926284307270071
17,17,2020,6,0.7526688247950278,0.6416790532737306,0.7065596527037705
18,18,2020,7,0.735061626452693,0.6376694254504152,0.6931880577909905
19,19,2020,8,0.7197566426559373,0.6168206548371952,0.6802887760590458
20,20,2020,9,0.7161154655015274,0.6248914167334972,0.6817941319137192
21,21,2020,10,0.7130631503442968,0.6177302171654236,0.6713578149117125
22,22,2020,11,0.7224973860722809,0.5847685707182826,0.6652924424198855
23,23,2020,12,0.7133050238565402,0.6080282928595593,0.6658764107260329
