,Year,Month,Danceability %,Energy %,Valence %
0,2019,1,0.6834713430989541,0.6377990425820618,0.4737059197397237
1,2019,2,0.6834713430989541,0.6377990425820618,0.4737059197397237
2,2019,3,0.6663129444667184,0.628702847292128,0.48380404920826614
3,2019,4,0.6589446742073329,0.6333486641636293,0.48620127645799127
4,2019,5,0.6544814893082288,0.6416014919432117,0.508600266907663
5,2019,6,0.6344241788627826,0.6099232398947835,0.4959634666549575
6,2019,7,0.6383180551977895,0.6587131469270142,0.5135778093194844
7,2019,8,0.6340883822444825,0.6595273880062469,0.510781201224541
8,2019,9,0.6354053140871668,0.6472556019878389,0.49907974105929415
9,2019,10,0.647891720721903,0.653716184825992,0.5105905100686153
10,2019,11,0.6350994592464474,0.6327254114771742,0.49537907858235947
11,2019,12,0.648529888616663,0.6425778220671425,0.5089699191178497
12,2020,1,0.6589184481924774,0.6536240899842091,0.5144083307129055
13,2020,2,0.6477355717831531,0.6349601508723323,0.4971049079256505
14,2020,3,0.653492358797852,0.6193825433010507,0.5010359744376087
15,2020,4,0.6710482713811678,0.6172027653013324,0.5131945985480701
16,2020,5,0.6517114747426423,0.6124279570707261,0.49891038095879403
17,2020,6,0.6372448252392773,0.6025476673794002,0.4926670883590169
18,2020,7,0.6210003629588035,0.5653993492067272,0.4705374454977667
19,2020,8,0.6409026838093855,0.5941892012238762,0.49480220896875077
20,2020,9,0.6429072288863196,0.6015262633902935,0.4937235532539099
21,2020,10,0.6494662492785849,0.6094431196915727,0.4970223374792904
22,2020,11,0.6574804147703837,0.6142513660371518,0.5091654160627601
23,2020,12,0.6563090074574355,0.6195283359037506,0.522940837593063
