,Unnamed: 0,Year,Month,Danceability %,Valence %,Energy %
0,0,2019,1,0.7358630812952356,0.4408649994336607,0.5764641621858275
1,1,2019,2,0.7293873786473788,0.4378965294075469,0.5810444152333446
2,2,2019,3,0.7275031982243383,0.4567572897906537,0.5824174579620033
3,3,2019,4,0.7202665836001321,0.4690500041523219,0.5718627311509026
4,4,2019,5,0.7149178563952631,0.4833363410303057,0.5960052273410171
5,5,2019,6,0.7284691595197309,0.4864819991019911,0.6031822841981577
6,6,2019,7,0.7209380844967208,0.481410978258183,0.6026344528189597
7,7,2019,8,0.7115055987816381,0.4815481191414812,0.5895590397947157
8,8,2019,9,0.7103900536115131,0.4706377299599696,0.6032534749559934
9,9,2019,10,0.6841012068528035,0.4520401560829237,0.5968896297734544
10,10,2019,11,0.6952167435758942,0.4784620766597856,0.5705120364222732
11,11,2019,12,0.6403867293595121,0.5218651750770387,0.5383256488989749
12,12,2020,1,0.7222144891783183,0.4634079966239209,0.5688735146885757
13,13,2020,2,0.7155256277661389,0.4782853586936177,0.583753733066885
14,14,2020,3,0.7016780049434126,0.4805652075561246,0.5999645833178773
15,15,2020,4,0.7213002387089984,0.4815036511642867,0.5983902913626393
16,16,2020,5,0.7259174307302031,0.4931157645283343,0.6090074304153186
17,17,2020,6,0.7121684618213453,0.4987593564826176,0.6096239415549912
18,18,2020,7,0.67228602448248,0.4441929464231201,0.5659318556107868
19,19,2020,8,0.7038168694774477,0.4522920397794245,0.5928209871152929
20,20,2020,9,0.7066203754014038,0.469477854800328,0.6002239223110419
21,21,2020,10,0.6886050001625763,0.4734908350125484,0.6175703483278535
22,22,2020,11,0.6793850139387483,0.5107748190242949,0.5941588484427425
23,23,2020,12,0.6600705098038561,0.5102970716417672,0.5629783095328995
