,Year,Month,Danceability %,Energy %,Valence %
0,2019,1,0.690073203101268,0.4648739008683344,0.6004662111617937
1,2019,2,0.6850022815334723,0.44126374379860434,0.588278452792631
2,2019,3,0.6869473070141431,0.45702333017504043,0.5880932029033568
3,2019,4,0.6944592449049295,0.48193212824695075,0.5667852066124747
4,2019,5,0.6944530643626804,0.49147826794092675,0.5874955767425228
5,2019,6,0.6983212072193388,0.49623283157740183,0.5822298478616231
6,2019,7,0.6884753684964623,0.5010195097749333,0.5895174360190221
7,2019,8,0.6832109054358202,0.5011089094800952,0.5848631438374409
8,2019,9,0.6770555894912904,0.5016370307303589,0.594719227009762
9,2019,10,0.6664761008451284,0.48118007880572794,0.5925438602380889
10,2019,11,0.6605331352670232,0.48421767697195806,0.5847435550009438
11,2019,12,0.6088743993269531,0.5443374371542788,0.556375302219252
12,2020,1,0.6689726356119235,0.4897580704277282,0.5682817142655116
13,2020,2,0.6648391571159208,0.48183078601734997,0.5605592953468378
14,2020,3,0.6706391766503172,0.4918528009365761,0.5736349482248542
15,2020,4,0.6806909118120869,0.489709641104783,0.5755764376938216
16,2020,5,0.6769739699599214,0.500612408873697,0.5800603029314532
17,2020,6,0.6759020628393544,0.510472965606071,0.5788668952643694
18,2020,7,0.6606254820870333,0.4764183194431668,0.5690340739160552
19,2020,8,0.6718838792369379,0.4793319028796846,0.5827727348034076
20,2020,9,0.6798299632311167,0.5029035654416454,0.5962685346386075
21,2020,10,0.6718417251430924,0.514191889386065,0.6008873448638384
22,2020,11,0.6742013908099243,0.5127905900601648,0.591283528539205
23,2020,12,0.6636952249262639,0.5563332616736961,0.5805335915256952
