,Year,Month,Danceability %,Energy %,Valence %
0,2019,1,0.7318873282654197,0.6608868240846479,0.6044545975545487
1,2019,2,0.7385113135075853,0.6652258651012317,0.6049885506615148
2,2019,3,0.7329115777833248,0.6663396770045791,0.6206493749871183
3,2019,4,0.730240366112503,0.6604041281229714,0.6303478665426508
4,2019,5,0.7321806408685104,0.6516525344617704,0.6520088664274056
5,2019,6,0.7237484180195232,0.646502951729763,0.6343333747723746
6,2019,7,0.7200293297445362,0.651015794754306,0.6394256760500481
7,2019,8,0.7250846870140919,0.6620978097258794,0.6514793115527936
8,2019,9,0.726313153410315,0.6601558843837738,0.6524084009277348
9,2019,10,0.718982930850008,0.6557814464698564,0.6532225429687435
10,2019,11,0.7270171462625324,0.654918712774577,0.6482629398454831
11,2019,12,0.7246894069836286,0.6502161551053237,0.6541606289642055
12,2020,1,0.7300184876361512,0.6488472779296809,0.6385357252617722
13,2020,2,0.7289479729516103,0.64532140813382,0.613850331279597
14,2020,3,0.7236670624704624,0.6679372612554616,0.6207312884305487
15,2020,4,0.7289215242557585,0.6603046884148253,0.6369317858430115
16,2020,5,0.7276269566633685,0.6604844028901463,0.6345116524419006
17,2020,6,0.7274436310476372,0.661283806770301,0.6498759574093417
18,2020,7,0.6870775683423656,0.5960836837021277,0.4981346852235202
19,2020,8,0.7047067620858857,0.6257291556903296,0.5145649344847035
20,2020,9,0.7098195953093768,0.6330409843084231,0.5290296788631574
21,2020,10,0.69913025901757,0.6371217658548486,0.5323776824715678
22,2020,11,0.6938468222153843,0.6168376791836105,0.5458024822399407
23,2020,12,0.6800665919212465,0.6062416117040045,0.5667715045174521
