,Year,Month,Danceability %,Energy %,Valence %
0,2019,1,0.7167376875808814,0.4788555974460839,0.6146943853084708
1,2019,2,0.7069715553719013,0.45949083304472127,0.6158854810237693
2,2019,3,0.711163882630363,0.4865627093176105,0.6189294640579499
3,2019,4,0.7102260936757354,0.5015542647949607,0.6058679324585277
4,2019,5,0.6901922581473124,0.5148079360812282,0.6245362974553148
5,2019,6,0.7163630052590797,0.5242173650987388,0.6242046457992994
6,2019,7,0.7058094508806434,0.5222773240342011,0.6293684435469041
7,2019,8,0.7016525473941948,0.5200117133322957,0.6196578327399043
8,2019,9,0.6976538300048507,0.5025102904748269,0.6250829625328297
9,2019,10,0.6965779906423091,0.5077717820607452,0.6153651998354795
10,2019,11,0.691034248972195,0.5070681943257656,0.6022240670404111
11,2019,12,0.6400710395950269,0.5588496367543527,0.5712892413514759
12,2020,1,0.716109468301263,0.5070550489697685,0.5931406222165547
13,2020,2,0.7067068144133725,0.4980692225182638,0.5975701855172783
14,2020,3,0.6978260671718345,0.5092760465579655,0.613468767533689
15,2020,4,0.7206090108437103,0.5312450428310909,0.6159180473129322
16,2020,5,0.7178758208982896,0.522152494909971,0.6262960965769154
17,2020,6,0.714344576642111,0.5385371126453393,0.627664131680567
18,2020,7,0.7173544608035726,0.5230726742821783,0.6249091221483276
19,2020,8,0.7047067620858857,0.5145649344847035,0.6257291556903296
20,2020,9,0.7103844501213624,0.5289979778277909,0.6324703656718254
21,2020,10,0.69913025901757,0.5323776824715678,0.6371217658548486
22,2020,11,0.6938468222153843,0.5458024822399407,0.6168376791836105
23,2020,12,0.6422548712834426,0.5819277250468713,0.5798045575280949
