,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Tusa,"KAROL G",7667661,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
2,"Dance Monkey","Tones And I",4596313,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
3,Vete,"Bad Bunny",3700151,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
4,"RITMO (Bad Boys For Life)","Black Eyed Peas",3623994,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
5,"LA CANCIÓN","J Balvin",3374769,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
6,"Pa' Olvidarme De Ella","Piso 21",3167251,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
7,Fantasias,"Rauw Alejandro",2851455,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
8,Callaita,"Bad Bunny",2816501,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
9,"No Me Conoce - Remix","Jhay Cortez",2759590,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
10,China,"Anuel AA",2742879,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
11,"Que Tire Pa Lante","Daddy Yankee",2359171,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
12,"Oye Pablo","Danna Paola",2096110,https://open.spotify.com/track/4wJFExEZZo62tmwTM9ENDR
13,"Amor A Primera Vista","Los Ángeles Azules",2042894,https://open.spotify.com/track/1E7RHPXA9sZ30qfms18J7J
14,Tutu,Camilo,1943766,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
15,Indeciso,Reik,1892314,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
16,"Don't Start Now","Dua Lipa",1882921,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
17,Quizas,"Rich Music LTD",1850338,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
18,"De Los Besos Que Te Di","Christian Nodal",1795387,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97
19,Señorita,"Shawn Mendes",1783119,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
20,"Con Altura",ROSALÍA,1717202,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
21,"11 PM",Maluma,1705162,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
22,"Adicto (with Anuel AA & Ozuna)",Tainy,1657429,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
