,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Otro Trago",Sech,5686736,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
2,Callaita,"Bad Bunny",4729850,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
3,"11 PM",Maluma,3788429,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
4,"Soltera - Remix",Lunay,3610243,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL
5,Señorita,"Shawn Mendes",2890404,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik
6,"Tal Vez","Paulo Londra",2843105,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
7,"Con Altura",ROSALÍA,2705398,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
8,HP,Maluma,2602264,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3
9,"Con Calma","Daddy Yankee",2371537,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
10,"Baila Conmigo (feat. Kelly Ruiz)",Dayvi,2367486,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG
11,"bad guy","Billie Eilish",2357309,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
12,"Te Vi","Piso 21",2194318,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
13,"Pa Mí - Remix",Dalex,2187811,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
14,"Te Robaré","Nicky Jam",2148777,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw
15,"Verte Ir","DJ Luian",2030734,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
16,"No Me Conoce - Remix","Jhay Cortez",1984948,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
17,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",1836927,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
18,"La Boca","Mau y Ricky",1749490,https://open.spotify.com/track/0UQwlF2pRkr1lMN6kNNUj3
19,Runaway,"Sebastian Yatra",1717345,https://open.spotify.com/track/7BuSE9uTIw931wtZYzvZcQ
20,"Calma - Remix","Pedro Capó",1559997,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
21,Aullando,"Wisin & Yandel",1492798,https://open.spotify.com/track/7BuHdm4lQqcyG3qTwdkxus
22,"Contra La Pared","Sean Paul",1478254,https://open.spotify.com/track/37eGbhE1xVFSvcKkqGb6i1
