,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Tusa,"KAROL G",9627715,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
2,"Dance Monkey","Tones And I",5163334,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
3,"Sigues Con El","Dímelo Flow",4414493,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
4,Vete,"Bad Bunny",3689717,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
5,Fantasias,"Rauw Alejandro",3430986,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
6,"Blinding Lights","The Weeknd",3250465,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
7,"RITMO (Bad Boys For Life)","Black Eyed Peas",3242772,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
8,"Pa' Olvidarme De Ella","Piso 21",3173011,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
9,Morado,"J Balvin",2971418,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
10,"LA CANCIÓN","J Balvin",2796734,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
11,"No Me Conoce - Remix","Jhay Cortez",2757550,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
12,"Don't Start Now","Dua Lipa",2654197,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
13,Yummy,"Justin Bieber",2573616,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
14,Callaita,"Bad Bunny",2548384,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
15,China,"Anuel AA",2409328,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
16,"Hola - Remix",Dalex,2319005,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
17,"Que Tire Pa Lante","Daddy Yankee",2146327,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
18,"Oye Pablo","Danna Paola",2115951,https://open.spotify.com/track/4wJFExEZZo62tmwTM9ENDR
19,Quizas,"Rich Music LTD",2035909,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
20,Blanco,"J Balvin",1994410,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
21,Muévelo,"Nicky Jam",1967408,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
22,"Ride It",Regard,1827064,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
23,"Me Gusta",Shakira,1793851,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
24,"De Los Besos Que Te Di","Christian Nodal",1705764,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97
25,"Whine Up","Nicky Jam",1692561,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
26,Indeciso,Reik,1686559,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
27,Infeliz,Arcangel,1683477,https://open.spotify.com/track/4z6wo6PJG4Fve45OXK6D9m
28,"QUE PRETENDES","J Balvin",1680373,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
29,"Adicto (with Anuel AA & Ozuna)",Tainy,1655773,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
30,Tutu,Camilo,1634185,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
31,"No Se Me Quita (feat. Ricky Martin)",Maluma,1591483,https://open.spotify.com/track/1GBLO0NFODuL31A5fgw0uR
32,Señorita,"Shawn Mendes",1589087,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
33,"11 PM",Maluma,1573993,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
34,"Con Altura",ROSALÍA,1573590,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
35,"Soltera - Remix",Lunay,1543980,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
36,Memories,"Maroon 5",1526841,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
37,"Amor A Primera Vista","Los Ángeles Azules",1504839,https://open.spotify.com/track/1E7RHPXA9sZ30qfms18J7J
38,Circles,"Post Malone",1504164,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
39,"Me La Avente","Carin Leon",1466048,https://open.spotify.com/track/2QwMXe5zbqymDZGYsMDVqZ
40,"Mala Fama","Danna Paola",1427619,https://open.spotify.com/track/2LVWDR1oEthhLIOtT4hHih
41,"Te Vi","Piso 21",1426941,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
42,"Yo x Ti, Tu x Mi",ROSALÍA,1417240,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
43,"bad guy","Billie Eilish",1374250,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
44,"Tal Vez","Paulo Londra",1360292,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
45,"No Te Contaron Mal","Christian Nodal",1333283,https://open.spotify.com/track/7hbk4BaF66O09R1gq0bKwj
46,"Si Te Vas",Sech,1325950,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
47,"El Güero (Feat. Marca MP)","Grupo Firme",1313170,https://open.spotify.com/track/2MeEuwplwbbjZ7hxRI6viw
48,"Otro Trago",Sech,1303014,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
49,Caballero,"Alejandro Fernández",1296227,https://open.spotify.com/track/5DL6BDuqhnQw8HfIvUYkm9
50,"Yo Ya No Vuelvo Contigo - En Vivo","Lenin Ramírez",1294931,https://open.spotify.com/track/1s59X35jDULAyOGmBuTAnd
51,"everything i wanted","Billie Eilish",1287241,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
52,"Fuentes de Ortiz","Ed Maverick",1210611,https://open.spotify.com/track/0akyEssGRVHstqCSWXusJL
53,Aventura,Lunay,1202661,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
54,"El Roto - En Vivo","Grupo Firme",1198578,https://open.spotify.com/track/21bfgzz92T3L96IsFn8Kvy
55,"Qué Pena",Maluma,1087980,https://open.spotify.com/track/5099x34vBakWpGkHourFxP
56,"Perreo en La Luna","Rich Music LTD",1085858,https://open.spotify.com/track/0RDgqtvOHLwcI6yz9bjsZV
57,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",1079600,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
58,"Tra Tra Tra Remix - Remix","Ghetto Kids",1075869,https://open.spotify.com/track/4YqCBC4FwzGXuhixt5cgmm
59,ROXANNE,"Arizona Zervas",1074865,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
60,Desconocidos,"Mau y Ricky",1071366,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h
61,"El Amor No Fue Pa´ Mí - En Vivo","Grupo Firme",1066884,https://open.spotify.com/track/3dkEwOKhFselY2m22Nj2vi
62,"Otro Trago - Remix",Sech,1055791,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
63,"Someone You Loved","Lewis Capaldi",1052540,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
64,"Ya Me Enteré","Chayín Rubio",1029022,https://open.spotify.com/track/4ggabbjjuHrG06SsYnqvEs
65,"Bellaquita - Remix",Dalex,1013905,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
66,"Dancin (feat. Luvli) - Krono Remix","Aaron Smith",1000404,https://open.spotify.com/track/6WkJ2OK163XXS2oARUC9JM
67,"Lost on You",LP,1000388,https://open.spotify.com/track/3SqvR3HYLlCTYzbDXJ52OC
68,"Amor Tumbado","Natanael Cano",999686,https://open.spotify.com/track/5aJ1M43pinROpwaPnO8KRj
69,"Pa Mí - Remix",Dalex,988923,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
70,"Cada Vez Te Extraño Más","Grupo Firme",969157,https://open.spotify.com/track/70w1mwTod6NgCNV6e7ZlIQ
71,HP,Maluma,962998,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3
72,Prometiste,"Pepe Aguilar",961538,https://open.spotify.com/track/2UypFzxfaYgMUnQX2k4qtj
73,"The Box","Roddy Ricch",957716,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
74,Buttercup,"Jack Stauber",956144,https://open.spotify.com/track/2mlGPkAx4kwF8Df0GlScsC
75,"Burbujas de Cristal","Cartel De Santa",942872,https://open.spotify.com/track/4X1fQMrCbBLSkZKPvhO1Kj
76,"Primer Avión",Matisse,939590,https://open.spotify.com/track/1CaBwYdWhxUeE4j3w0WqbL
77,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",939447,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
