,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"La Jeepeta - Remix","Nio Garcia",4658570,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
2,Relación,Sech,4021739,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
3,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,3941826,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
4,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",3491121,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
5,Azul,"J Balvin",3155027,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
6,"Tattoo - Remix with Camilo","Rauw Alejandro",2926064,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
7,"Blinding Lights","The Weeknd",2519956,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
8,Caramelo,Ozuna,2458895,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG
9,"Djadja (feat. Maluma) - Remix","Aya Nakamura",2214787,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
10,Safaera,"Bad Bunny",2207233,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
11,"Tak Tiki Tak","Harry Nach",2123498,https://open.spotify.com/track/7gwwt1IaAWwmB7af0AcuBM
12,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",2103556,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
13,Rojo,"J Balvin",2092535,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
14,"Yo Perreo Sola","Bad Bunny",2078733,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
15,Favorito,Camilo,2020660,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
16,"La Curiosidad","Jay Wheeler",1996997,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
17,Jangueo,"Alex Rose",1911788,https://open.spotify.com/track/5m3jpKkgkfoMcym1qjToFg
18,Singapur,"El Alfa",1762630,https://open.spotify.com/track/4QfZYDhGZc0T2RDvGiI69E
19,"El Efecto","Rauw Alejandro",1735707,https://open.spotify.com/track/4SJHHpKhcuXwDsCsPqshXj
20,"Se Me Olvidó","Christian Nodal",1716593,https://open.spotify.com/track/7paFC3FEu1WtPVP4Do6VZN
21,Tú,"Carin Leon",1626446,https://open.spotify.com/track/1nLs8r6K4YN0avBwUmmTnr
22,Tusa,"KAROL G",1620458,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
23,"Mamichula - con Nicki Nicole",Trueno,1618623,https://open.spotify.com/track/4pXW6ZAHBz7ODXTRKklWrM
24,"Pa' Olvidarme De Ella","Piso 21",1607016,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
25,"Dance Monkey","Tones And I",1587861,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
26,"No Bailes Sola","Danna Paola",1572229,https://open.spotify.com/track/1GNSWpe2SB30zYGbNTD96b
27,ADMV,Maluma,1557598,https://open.spotify.com/track/3eJMSq78dDaFb7VvhNFnq6
28,Morado,"J Balvin",1552513,https://open.spotify.com/track/35KmOEIUqAGn02t7n4qaIr
29,"La Mitad",Camilo,1531366,https://open.spotify.com/track/63Zaf8Rci6eOUPqDQ4fUFx
30,"Hasta Que Dios Diga","Anuel AA",1522381,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
