,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Shayad,Pritam,1058869,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL
2,"Malang (Title Track) [From ""Malang - Unleash The Madness""]","Ved Sharma",976299,https://open.spotify.com/track/25MPTnqXQB1H6OkwSYUXWx
3,Falling,"Trevor Daniel",969029,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
4,"Illegal Weapon 2.0","Jasmine Sandlas",967647,https://open.spotify.com/track/7CY0CmCpSglfUKCBOOiRfw
5,"Intentions (feat. Quavo)","Justin Bieber",960376,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
6,"Haan Main Galat",Pritam,848592,https://open.spotify.com/track/0MLZAgKQKHbPsJ12qHS860
7,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",Badshah,798155,https://open.spotify.com/track/6q9XTgfWilsnyiFofvYrIF
8,"Ghungroo (From ""War"")","Arijit Singh",765999,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44
9,Makhna,"Tanishk Bagchi",757358,https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga
10,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Rochak Kohli",709068,https://open.spotify.com/track/57jOEZtoLQK4zF2x55bdkp
11,"Humraah (From ""Malang - Unleash The Madness"")","Sachet Tandon",684155,https://open.spotify.com/track/4xmkpE1Si5JL7NFxWrhV0S
12,Yummy,"Justin Bieber",679077,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
13,ON,BTS,644513,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
14,"Blinding Lights","The Weeknd",639536,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
15,Mehrama,Pritam,636607,https://open.spotify.com/track/6cUOiOY5qh2FpIQWIYAd2h
16,"Muqabla (From ""Street Dancer 3D"")","Yash Narvekar",633695,https://open.spotify.com/track/28veUNu4veN0LOBVa0nFw8
17,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",621254,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
18,"After Hours","The Weeknd",561541,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
19,"Chal Ghar Chalen (From ""Malang - Unleash The Madness"") [Mithoon feat. Arijit Singh]",Mithoon,556757,https://open.spotify.com/track/2U0BLmYoSESYOdwMxW2yA9
20,Memories,"Maroon 5",553569,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
21,"Asal Mein","Darshan Raval",538838,https://open.spotify.com/track/1StFDfq4raRws97W8Wb3QS
22,"Yaad Piya Ki Aane Lagi","Neha Kakkar",522884,https://open.spotify.com/track/0TkquWzzuxcrwbCWlTrKYF
23,ROXANNE,"Arizona Zervas",514763,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
24,"Lagdi Lahore Di","Guru Randhawa",508817,https://open.spotify.com/track/31d3tVd82tx2sjA2VQ3PMZ
25,"Pal Pal Dil Ke Paas- Title Track","Arijit Singh",495262,https://open.spotify.com/track/7lGhrfren1Zpwh0ds0zuUg
26,Señorita,"Shawn Mendes",481375,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
27,"Tum Hi Aana (From ""Marjaavaan"")","Payal Dev",462447,https://open.spotify.com/track/6E9UwSfT80age2xknoMS7Y
28,Filter,BTS,459433,https://open.spotify.com/track/0ono6UCNVZ1XqOm6j78Blu
29,"Duniyaa (From ""Luka Chuppi"")",Akhil,445510,https://open.spotify.com/track/2tjWCe2W7sgvS3C8NHcdtI
30,"ON (Feat. Sia)",BTS,443189,https://open.spotify.com/track/3IB5qOeMayvpOdHxYCL5tZ
