,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Filhall,"B Praak",1125288,https://open.spotify.com/track/6E7P1uT2afeor2t6wR2y2r
2,"Tum Hi Aana (From ""Marjaavaan"")","Payal Dev",894396,https://open.spotify.com/track/6E9UwSfT80age2xknoMS7Y
3,"Ghungroo (From ""War"")","Arijit Singh",864501,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44
4,Memories,"Maroon 5",726301,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
5,Makhna,"Tanishk Bagchi",668313,https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga
6,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",667126,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
7,Señorita,"Shawn Mendes",566043,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
8,"Pal Pal Dil Ke Paas- Title Track","Arijit Singh",565140,https://open.spotify.com/track/7lGhrfren1Zpwh0ds0zuUg
9,"Shaitan Ka Saala (From ""Housefull 4"")","Sohail Sen",481053,https://open.spotify.com/track/7IAJzec1UxGYmNvbPTHbxx
10,"Yaad Piya Ki Aane Lagi","Neha Kakkar",477359,https://open.spotify.com/track/0TkquWzzuxcrwbCWlTrKYF
11,"Pachtaoge (From ""Jaani Ve"")","Arijit Singh",466457,https://open.spotify.com/track/5QVHNa0ppJUOoqSd36ovQS
12,"everything i wanted","Billie Eilish",465662,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
13,"Bekhayali (From ""Kabir Singh"")","Sachet Tandon",459920,https://open.spotify.com/track/1feANd8EfcDP5UqSvbheM3
14,"Lose You To Love Me","Selena Gomez",448771,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
15,"Tera Ban Jaunga (From ""Kabir Singh"")","Akhil Sachdeva",434530,https://open.spotify.com/track/4OcvkkpF3xmyCGGY5IBlgi
16,"O Saki Saki (From ""Batla House"")","Neha Kakkar",433869,https://open.spotify.com/track/5djZm1zFGcJUSUqbBjrAZH
17,Circles,"Post Malone",427389,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
18,"Ve Maahi","Arijit Singh",420104,https://open.spotify.com/track/7ltu5scschhmNWp5rp8rVF
19,"Thodi Jagah (From ""Marjaavaan"")","Arijit Singh",418901,https://open.spotify.com/track/3f0wz6zcA7XkQiGm0qNF5r
20,"Duniyaa (From ""Luka Chuppi"")",Akhil,412192,https://open.spotify.com/track/2tjWCe2W7sgvS3C8NHcdtI
21,"Trampoline (with ZAYN)",SHAED,410806,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
22,"Mere Sohneya (From ""Kabir Singh"")","Sachet Tandon",400909,https://open.spotify.com/track/2IoZMG3RqiTmsy7Li3zGFg
23,"Chal Bombay",DIVINE,384820,https://open.spotify.com/track/6AooRgSRDzbCYL4NZ4RCjU
