,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"On My Way","Alan Walker",434869,https://open.spotify.com/track/4n7jnSxVLd8QioibtTDBDq
2,Sucker,"Jonas Brothers",343698,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
3,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",245189,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
4,"7 rings","Ariana Grande",226696,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
5,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)","benny blanco",208181,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt
6,"Here With Me",Marshmello,206927,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
7,"i'm so tired...",Lauv,188909,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
8,Wow.,"Post Malone",182896,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
9,"Duniyaa (From ""Luka Chuppi"")",Akhil,178621,https://open.spotify.com/track/2tjWCe2W7sgvS3C8NHcdtI
10,"Don't Call Me Up",Mabel,172645,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
11,"Con Calma","Daddy Yankee",157169,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
12,"break up with your girlfriend, i'm bored","Ariana Grande",147010,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
13,"Without Me",Halsey,143876,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
14,"Dancing With A Stranger (with Normani)","Sam Smith",136764,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
15,"Apna Time Aayega","Ranveer Singh",125430,https://open.spotify.com/track/5uaIbU3oHHcSOK6WFNK5nj
16,"Aankh Marey (From ""Simmba"")","Neha Kakkar",122163,https://open.spotify.com/track/790uNrqzKWCvj8rR1QXNpU
17,Lamberghini,"The Doorbeen",122120,https://open.spotify.com/track/45P9g6kUb7itdonjjGjDdS
18,"Photo (From ""Luka Chuppi"")","Karan Sehmbi",119479,https://open.spotify.com/track/5wdlz4N7s1Xyr4y4RXhZJM
19,"She Move It Like",Badshah,118917,https://open.spotify.com/track/39vrbjCMTRXEdiIr2IsBgd
20,Happier,Marshmello,116161,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
21,"Proper Patola",Badshah,115582,https://open.spotify.com/track/39ujbBjTwwqUFySaCYDMMT
22,"Coca Cola (From ""Luka Chuppi"")","Tony Kakkar",114639,https://open.spotify.com/track/4bKkdGBttnK4SYjT4zPC1U
23,"Who Do You Love","The Chainsmokers",114282,https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8
24,Shallow,"Lady Gaga",105556,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
25,Sakhiyaan,"Maninder Buttar",105180,https://open.spotify.com/track/3sqRODOZ1Z6hR4F2tnFAlg
26,"My Bad",Khalid,103201,https://open.spotify.com/track/1DUSuNhF8P5vUGNPpQiZa5
27,"Eastside (with Halsey & Khalid)","benny blanco",100288,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
28,"Dilbar (From ""Satyameva Jayate"")","Neha Kakkar",95710,https://open.spotify.com/track/6cARnc9YVlBNigjNSX63pp
29,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",94041,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
30,"I Like Me Better",Lauv,93687,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
31,Talk,Khalid,92217,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM
32,"Tere Bin (From ""Simmba"")","Rahat Fateh Ali Khan",91658,https://open.spotify.com/track/4f5kLqyOJ5ZPnalEVMQrB2
33,"Morni Banke (From ""Badhaai Ho"")","Guru Randhawa",91292,https://open.spotify.com/track/5x3K3Ld54TtkYKdQvrFOV3
34,Undrunk,FLETCHER,90565,https://open.spotify.com/track/5SHhPFh68OhUmuRPymKX9d
35,Azadi,"Dub Sharma",81584,https://open.spotify.com/track/07qSl2sNpFNILaYyZ6yIS9
36,"bury a friend","Billie Eilish",81424,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP
37,"Better Now","Post Malone",80987,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
38,"MIDDLE CHILD","J. Cole",79662,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
39,"Enna Sona","A.R. Rahman",79312,https://open.spotify.com/track/6bdpj89aYEBjhpsenXAsmO
40,BIBA,Marshmello,78779,https://open.spotify.com/track/0GVBPuCT3pBrXCdY3Uiy5B
41,"First Class","Arijit Singh",78608,https://open.spotify.com/track/7bFx4We3iNjxmIxXBxou1G
42,"Teri Mitti",Arko,77798,https://open.spotify.com/track/75hrPAosuDiO9F3DKwVP12
43,"thank u, next","Ariana Grande",77688,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
44,"Dekhte Dekhte (From ""Batti Gul Meter Chalu"")","Atif Aslam",77639,https://open.spotify.com/track/0Iz4CkptElGHo16r797Jsb
45,"The Humma Song","A.R. Rahman",77522,https://open.spotify.com/track/7heMX7gyHP0mhTlNgd7Lxd
46,"Kya Baat Ay","Harrdy Sandhu",75206,https://open.spotify.com/track/1ZaeaGLhFSckG8sv1y7AWk
47,Faded,"Alan Walker",74496,https://open.spotify.com/track/698ItKASDavgwZ3WjaWjtz
48,"wish you were gay","Billie Eilish",74159,https://open.spotify.com/track/4txc3txsIt81diMzGhrVPS
49,"rockstar (feat. 21 Savage)","Post Malone",74086,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
50,"Old Town Road","Lil Nas X",73286,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
51,"Akh Lad Jaave",Badshah,71734,https://open.spotify.com/track/5SVpD60u9vjoQ2OeoKsTkb
52,"Mere Wala Sardar","Jagraj Sandhu, Dr. Shree",71368,https://open.spotify.com/track/4lSSJcfptqRAv9cTzpherg
53,"No New Friends",Sia,71217,https://open.spotify.com/track/3Y7a0typ6ik1KscmebXd6D
54,SouthSide,"DJ Snake",67534,https://open.spotify.com/track/60AUuYrFbCBnPvDfofMfVF
55,"Girls Like You (feat. Cardi B)","Maroon 5",67261,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
56,"No Sleep (feat. Bonn)","Martin Garrix",67218,https://open.spotify.com/track/1ahVFh0ViDZr8LvkEVlq3B
57,"I Don’t Wanna Live Forever (Fifty Shades Darker)",ZAYN,65675,https://open.spotify.com/track/6yIdwnpDHufLWgQcveTPMk
58,"This Feeling","The Chainsmokers",64188,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
59,Closer,"The Chainsmokers",63760,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
60,Darkside,"Alan Walker",62658,https://open.spotify.com/track/6SRWhUJcD2YKahCwHavz3X
61,Qaafirana,"Arijit Singh",62415,https://open.spotify.com/track/0xkGTPTijMU84dtHr3KQQi
62,Wolves,"Selena Gomez",62403,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU
63,"O Saathi","Atif Aslam",62221,https://open.spotify.com/track/6fScgF2Y63ScU73nYju0ny
64,"Suit Suit","Guru Randhawa",61452,https://open.spotify.com/track/2mwBSO58y92EYmEFpDfmS7
65,Tareefan,QARAN,61148,https://open.spotify.com/track/5QyOjKJhR1iyF0DHQM2IvW
66,"MIA (feat. Drake)","Bad Bunny",60743,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
67,"Bohemian Rhapsody - Remastered 2011",Queen,60628,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
68,"Leja Re","Dhvani Bhanushali",60610,https://open.spotify.com/track/68iBMrMRc1rg4eAxJbvxch
