,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
52,"Koka (From ""Khandaani Shafakhana"")","Jasbir Jassi",211473,https://open.spotify.com/track/1bvIoSekCZWAgthW01kbo9
53,Khairiyat,Pritam,210151,https://open.spotify.com/track/5O932cZmzOZGOGZz9RHx20
54,"fuck, i'm lonely",Lauv,209882,https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0
55,Tareefan,QARAN,208969,https://open.spotify.com/track/5QyOjKJhR1iyF0DHQM2IvW
56,Lalala,Y2K,202819,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
57,"Ik Tera","Maninder Buttar",200390,https://open.spotify.com/track/57DhVYA7E1CyrE4OKuyLb7
58,"Enni Soni (From ""Saaho"")","Guru Randhawa",200202,https://open.spotify.com/track/40S8Et5fYlBCa0QgBTEOE1
59,Believer,"Imagine Dragons",200147,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
60,"Hollywood's Bleeding","Post Malone",196418,https://open.spotify.com/track/7sWRlDoTDX8geTR8zzr2vt
61,"Coca Cola (From ""Luka Chuppi"")","Tony Kakkar",192677,https://open.spotify.com/track/4bKkdGBttnK4SYjT4zPC1U
62,"Without Me",Halsey,191218,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
63,Shameless,"Camila Cabello",190159,https://open.spotify.com/track/3UYiU57SMiAS5LqolhHJw1
64,"Photo (From ""Luka Chuppi"")","Karan Sehmbi",188725,https://open.spotify.com/track/5wdlz4N7s1Xyr4y4RXhZJM
65,"hot girl bummer",blackbear,186977,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
66,"Dekhte Dekhte (From ""Batti Gul Meter Chalu"")","Atif Aslam",185869,https://open.spotify.com/track/0Iz4CkptElGHo16r797Jsb
67,"Dilbar (From ""Satyameva Jayate"")","Neha Kakkar",184792,https://open.spotify.com/track/6cARnc9YVlBNigjNSX63pp
68,"She Move It Like",Badshah,182188,https://open.spotify.com/track/39vrbjCMTRXEdiIr2IsBgd
69,"The Jawaani Song",Vishal-Shekhar,181042,https://open.spotify.com/track/3IzQc4KEAFd8lIc90X7FZr
70,"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")","Arijit Singh",178950,https://open.spotify.com/track/1aIhAX6324JZmhNnGltwkK
71,"Sheher Ki Ladki (From ""Khandaani Shafakhana"")",Badshah,177983,https://open.spotify.com/track/6qajA2wXvAI4HMey8b1JVK
72,"Baby Won't You Tell Me (From ""Saaho"")","Shweta Mohan",177954,https://open.spotify.com/track/1LMwOxNStAp24Py3mWoRkb
73,"First Class","Arijit Singh",175227,https://open.spotify.com/track/7s0qlp1ibUxVXLsOM0YWia
74,Thunder,"Imagine Dragons",174778,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
75,Qaafirana,"Arijit Singh",173815,https://open.spotify.com/track/0xkGTPTijMU84dtHr3KQQi
76,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",171296,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
77,"Apna Time Aayega","Ranveer Singh",169371,https://open.spotify.com/track/5uaIbU3oHHcSOK6WFNK5nj
78,Jugraafiya,"Udit Narayan",168109,https://open.spotify.com/track/5BgtNz0AsCIIu2pfbCfq5c
79,Panini,"Lil Nas X",167125,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
80,Lover,"Taylor Swift",166172,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
81,"Dheeme Dheeme","Tony Kakkar",166112,https://open.spotify.com/track/4At0CnQes5Kx1ROSnnP4lK
82,"Dil Mein Ho Tum (From ""Cheat India"")","Armaan Malik",165868,https://open.spotify.com/track/1mjWhM7GQTTxJxg2F0iCRS
83,Closer,"The Chainsmokers",164469,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
84,"Dil Ka Telephone","Meet Bros.",164293,https://open.spotify.com/track/0i4r9oQAjxUlSVVp0ibNkx
85,"Kya Baat Ay","Harrdy Sandhu",161388,https://open.spotify.com/track/1ZaeaGLhFSckG8sv1y7AWk
86,"Hawa Banke","Darshan Raval",159814,https://open.spotify.com/track/3YVQHUpNexOqkLI7IclsoT
87,"Leja Re","Dhvani Bhanushali",158897,https://open.spotify.com/track/68iBMrMRc1rg4eAxJbvxch
88,"Nazar Na Lag Jaaye (From ""Stree"")","Ash King",158391,https://open.spotify.com/track/0cWLJcdvM6QlOQ7UJdB4jb
89,"Chogada (From ""Loveyatri"")","Darshan Raval",157738,https://open.spotify.com/track/4ymPEyiXabTe1NO8q8EFxG
90,"7 rings","Ariana Grande",157192,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
91,"Naina Da Kya Kasoor","Amit Trivedi",156032,https://open.spotify.com/track/4JQxGJ8jsKW8pOUVoAgOZr
92,"Channa Mereya",Pritam,155867,https://open.spotify.com/track/0H2iJVgorRR0ZFgRqGUjUM
93,"Gur Nalo Ishq Mitha - The Yoyo Remake","Yo Yo Honey Singh",154149,https://open.spotify.com/track/6YmRRCqSd6n4Qd3ziRfPSc
94,"Slow Motion (From ""Bharat"")","Shreya Ghoshal",154043,https://open.spotify.com/track/7yEuRloGyxyu1KaWBTPP1Z
95,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",153592,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
96,"Khadke Glassy","Yo Yo Honey Singh",153356,https://open.spotify.com/track/7E2iTG33dfcHlxldckKQIi
97,"Old Town Road","Lil Nas X",152885,https://open.spotify.com/track/0F7FA14euOIX8KcbEturGH
98,Happier,Marshmello,152801,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
99,Faded,"Alan Walker",152298,https://open.spotify.com/track/698ItKASDavgwZ3WjaWjtz
100,"If I Can't Have You","Shawn Mendes",151534,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
101,"Aankh Marey (From ""Simmba"")","Neha Kakkar",151137,https://open.spotify.com/track/790uNrqzKWCvj8rR1QXNpU
102,"Dil Diyan Gallan",Vishal-Shekhar,150926,https://open.spotify.com/track/5MnAi6ZF7cE8pAz7wYr9Ta
103,"Paniyon Sa","Atif Aslam",149901,https://open.spotify.com/track/2si0ZNx4yRbggTvrIom8A2
104,"Verithanam (From ""Bigil"")","A.R. Rahman",149342,https://open.spotify.com/track/6YhDs8isyaiVECBSViAFDS
105,Moonlight,XXXTENTACION,148995,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
106,Khaab,Akhil,148685,https://open.spotify.com/track/0a6zRnrjmaOcqsEIFkXIhw
107,"Girls Like You (feat. Cardi B)","Maroon 5",148017,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
108,"rockstar (feat. 21 Savage)","Post Malone",147945,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
109,"Tere Bin (From ""Simmba"")","Rahat Fateh Ali Khan",147707,https://open.spotify.com/track/4f5kLqyOJ5ZPnalEVMQrB2
110,"boyfriend (with Social House)","Ariana Grande",146635,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
111,"Call You Mine","The Chainsmokers",145536,https://open.spotify.com/track/1SNiXDwSilLujcYdvfqVpT
112,"Sorry Song","Neha Kakkar",144262,https://open.spotify.com/track/6RnFfNQik3Cq6vrmifPMlA
113,"Treat You Better","Shawn Mendes",143708,https://open.spotify.com/track/3QGsuHI8jO1Rx4JWLUh9jd
114,"Yeh Aaina","Shreya Ghoshal",142460,https://open.spotify.com/track/62RXe5I6L7n32fUMd8Puvo
115,"Rula Diya (From ""Batla House"")","Ankit Tiwari",141697,https://open.spotify.com/track/6sTbnkzOtPpojgnn50cCHJ
116,"Wang Da Naap","Ammy Virk",141540,https://open.spotify.com/track/5r7k55M31Q22AEJkF1GTyw
117,Samjhawan,"Jawad Ahmad",141357,https://open.spotify.com/track/0rk2X5TAhraBC5aCIXK2Rq
118,"Radhe Radhe","Meet Bros.",141201,https://open.spotify.com/track/1HbmeBqRlEk54KK8gxQqbZ
119,"Haaye Oye (feat. Ash King)",QARAN,140894,https://open.spotify.com/track/0oukMLKedsqQ3ltnI2daRO
120,"Let Me Love You","DJ Snake",138065,https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU
121,Lamberghini,"The Doorbeen",137753,https://open.spotify.com/track/7cFuzwgbtHXmSKuCzo0qCW
122,Sucker,"Jonas Brothers",137128,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
123,Hawayein,Pritam,136898,https://open.spotify.com/track/0l6g8Z8mqGbGXFOjigYetD
124,"Udd Gaye - Bacardi House Party Sessions",Ritviz,135611,https://open.spotify.com/track/6wZJsut8fjiWiMPaccRAOX
125,"Kaam 25 - Sacred Games",DIVINE,135454,https://open.spotify.com/track/6Kynli1iHBqJRWUCohcV9h
126,SAD!,XXXTENTACION,132581,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
127,"Enna Sona","A.R. Rahman",130853,https://open.spotify.com/track/6bdpj89aYEBjhpsenXAsmO
128,"Teri Mitti",Arko,130752,https://open.spotify.com/track/75hrPAosuDiO9F3DKwVP12
129,Ransom,"Lil Tecca",130075,https://open.spotify.com/track/6EOKwHETwSkZ9gW2b6ASE0
130,"Morni Banke (From ""Badhaai Ho"")","Guru Randhawa",129636,https://open.spotify.com/track/5x3K3Ld54TtkYKdQvrFOV3
131,"8 Parche","Baani Sandhu",128947,https://open.spotify.com/track/42ETKyApzUl8hTtytFAjen
132,"Die For Me (feat. Future & Halsey)","Post Malone",128872,https://open.spotify.com/track/2C6WXnmZ66tHhHlnvwePiK
133,"Ae Dil Hai Mushkil Title Track",Pritam,128808,https://open.spotify.com/track/1UWacd8x8tPPwmrPB1MoBI
134,"Eastside (with Halsey & Khalid)","benny blanco",128219,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
135,"Woh Baarishein","Arjun Kanungo",127235,https://open.spotify.com/track/3RFNUexrtXExkzTEiJ0eBh
136,"Sawarne Lage","Tanishk Bagchi",126103,https://open.spotify.com/track/7E4sdzJDrVMu8qcwyxz3vP
137,"Ki Honda Pyaar (Arijit Singh Version)","Arijit Singh",125810,https://open.spotify.com/track/5A8VGIbYimFP6u8WBPRg4S
138,"Slowly Slowly","Guru Randhawa",125790,https://open.spotify.com/track/4pBxb7WuLsC3YyA9cj4T2l
139,"O Saathi","Atif Aslam",125302,https://open.spotify.com/track/6fScgF2Y63ScU73nYju0ny
140,"Havana (feat. Young Thug)","Camila Cabello",124838,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
141,"Khud Se Zyada","Tanishk Bagchi",123215,https://open.spotify.com/track/1vBE1z8mudo2Oob531MabR
142,Teeth,"5 Seconds of Summer",123067,https://open.spotify.com/track/26wLOs3ZuHJa2Ihhx6QIE6
143,Viah,"Jass Manak",122818,https://open.spotify.com/track/12V0iduYsoXxsQYTSeFB2H
144,"Crazy Habibi Vs Decent Munda (From ""Arjun Patiala"")","Guru Randhawa",122236,https://open.spotify.com/track/7yy3HgKJEcwArL5k0v5rhF
145,Daryaa,"Ammy Virk",121460,https://open.spotify.com/track/3ExeNEpJJQXfmq1cwj0LVo
146,"The Humma Song","A.R. Rahman",121426,https://open.spotify.com/track/7heMX7gyHP0mhTlNgd7Lxd
147,"Agar Tum Saath Ho (From ""Tamasha"")","Alka Yagnik",119169,https://open.spotify.com/track/1fzAokzOONl4XEPUFoammu
148,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","DJ Snake",117931,https://open.spotify.com/track/0KoiMHhqKLoL4xM54rcWYY
149,"Suit Suit","Guru Randhawa",117743,https://open.spotify.com/track/2mwBSO58y92EYmEFpDfmS7
150,"Raabta (Title Track) [From ""Raabta""]",Pritam,117552,https://open.spotify.com/track/4e9dIemIXO8Tzg0k4aWujk
151,"Gangu Leader","Anirudh Ravichander",117069,https://open.spotify.com/track/05dYneZZZ2mytSmnsvzFoW
152,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",117022,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
153,"Valentine's Mashup 2019","Amrita Singh",115527,https://open.spotify.com/track/1MhHomaXgrPMBroXkpWSSa
154,Lily,"Alan Walker",115055,https://open.spotify.com/track/0lks2Kt9veMOFEAPN0fsqN
155,"Here With Me",Marshmello,114569,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
156,"Odhani (From ""Made in China"")",Sachin-Jigar,114569,https://open.spotify.com/track/2q0V50aNlI1RQXJyE5HDgD
157,"Enemies (feat. DaBaby)","Post Malone",113656,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF
158,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",113237,https://open.spotify.com/track/3zHq9ouUJQFQRf3cm1rRLu
159,Cradles,"Sub Urban",113136,https://open.spotify.com/track/1y4jsQt7MjnZhiD1L6qFBC
160,"Something Just Like This","The Chainsmokers",112864,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
161,Feelings,Lauv,112088,https://open.spotify.com/track/0y675KDleCZEudjoeL1sQQ
162,"i'm so tired...",Lauv,111713,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
163,"Halka Halka (From ""Fanney Khan"")","Sunidhi Chauhan",111210,https://open.spotify.com/track/44O26Gv1wQrlUj14PpTolM
164,Iktara,"Amit Trivedi",110853,https://open.spotify.com/track/3jtKSUiVDowKNBqVQbWaig
165,Kamariya,"Aastha Gill",110417,https://open.spotify.com/track/5cjVsWqIkBQC7acTRhL0RO
166,"Ik Vaari Aa (From ""Raabta"")","Arijit Singh",110389,https://open.spotify.com/track/5sul5AkWmzi2fE70oS7mK9
167,"You Need To Calm Down","Taylor Swift",107994,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
168,"Sher Aaya Sher",DIVINE,107883,https://open.spotify.com/track/2qPNdVlqZl1cYqsNc3MXnA
169,"Akh Lad Jaave",Badshah,107513,https://open.spotify.com/track/5SVpD60u9vjoQ2OeoKsTkb
170,Wolves,"Selena Gomez",106986,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU
171,Wow.,"Post Malone",106874,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
172,"Boy With Luv (feat. Halsey)",BTS,106787,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
173,"lovely (with Khalid)","Billie Eilish",106586,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
174,"Tera Zikr","Darshan Raval",106226,https://open.spotify.com/track/0OfaueVeRebAfWsAHajj3z
175,"Romantic Mashup 2",Mithoon,105856,https://open.spotify.com/track/42WGQxg2lPIFBt8ZRHQ4Q4
176,Kabira,Pritam,105086,https://open.spotify.com/track/4bD9z9qa4qg9BhryvYWB7c
177,"Koi Nahi",Rupinn,105070,https://open.spotify.com/track/2kRW9l26uGIrTrHkLTiYnM
178,"Ishq Tera","Guru Randhawa",104091,https://open.spotify.com/track/1aUfggX5E0nKDikNuiDQ3D
179,"tere bina",Zaeden,103588,https://open.spotify.com/track/6N5WkgPIDoTdbCXyyIIKAv
180,"Kyun Rabba","Armaan Malik",103443,https://open.spotify.com/track/68QwG6Ni1jFQc5Fit2iXp0
181,"Sachiya Mohabbatan (From ""Arjun Patiala"")","Sachet Tandon",102902,https://open.spotify.com/track/28w9HJdplcvHhwwRIbcoKY
182,"Gali Gali (From ""Kgf Chapter 1"")","Neha Kakkar",102774,https://open.spotify.com/track/2m8P30Ly9Az1uGvFmhLTBI
183,"Sau Aasmaan","Armaan Malik",102336,https://open.spotify.com/track/0zHZSO80CTxNtvtRhveHRJ
184,Satisfya,"Imran Khan",102315,https://open.spotify.com/track/6HGoVbCUr63SgU3TjxEVj6
185,"Jind Mahi","Diljit Dosanjh",102307,https://open.spotify.com/track/3SJVCbBFTxR6UvvTWRNbMp
186,"I Don’t Wanna Live Forever (Fifty Shades Darker)",ZAYN,102252,https://open.spotify.com/track/6yIdwnpDHufLWgQcveTPMk
187,"Sye Raa (From ""Sye Raa Narasimha Reddy"")","Sunidhi Chauhan",102061,https://open.spotify.com/track/7uCqKbtBfGaURLUC0W9UAX
188,Bulleya,Pritam,102036,https://open.spotify.com/track/0Bz7dfqPY4JOGZO3O1j8Wh
189,"No Guidance (feat. Drake)","Chris Brown",101359,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
190,Photograph,"Ed Sheeran",101197,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
191,"Dusk Till Dawn - Radio Edit",ZAYN,100925,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
192,"Bom Diggy Diggy","Zack Knight",100616,https://open.spotify.com/track/6qCNaRRr5xJALfNJvh0NAw
193,"Main Deewana Tera (From ""Arjun Patiala"")","Guru Randhawa",100132,https://open.spotify.com/track/5n8BCU2JmPORrFboGeDlXV
194,"Woh Din (From ""Chhichhore"")",Pritam,100055,https://open.spotify.com/track/6QPFWNUw9iGFZAXgqecunp
195,"Sohne Lagde","Sidhu Moose Wala featuring The PropheC",100015,https://open.spotify.com/track/4uP5KkYk4DdprU4sXqb3qU
196,"Jarra Jarra (From ""Valmiki"")","Mickey J. Meyer",100002,https://open.spotify.com/track/1wVHlN2inEmT6f38MunqFi
197,"Dil Chori (From ""Sonu Ke Titu Ki Sweety"")","Yo Yo Honey Singh",99848,https://open.spotify.com/track/3NKuSd9Qa5fzwhqiuKYFh4
198,Darkside,"Alan Walker",97383,https://open.spotify.com/track/6SRWhUJcD2YKahCwHavz3X
199,"Kaash Aisa Hota","Darshan Raval",97246,https://open.spotify.com/track/5aA9HqRPZHROKWrO5RczTm
200,"Better Now","Post Malone",97212,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
