,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Play Date","Melanie Martinez",905593,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
2,Shayad,Pritam,875374,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL
3,"Genda Phool (feat. Payal Dev)",Badshah,699255,https://open.spotify.com/track/0gzu5mm36VJH2Zqu8sQPTf
4,"death bed (coffee for your head)",Powfu,688959,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
5,"Malang (Title Track) [From ""Malang - Unleash The Madness""]","Ved Sharma",590673,https://open.spotify.com/track/25MPTnqXQB1H6OkwSYUXWx
6,"Roses - Imanbek Remix","SAINt JHN",588833,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
7,Falling,"Trevor Daniel",581986,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
8,"Blinding Lights","The Weeknd",574521,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
9,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",569796,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
10,"Ghungroo (From ""War"")","Arijit Singh",561728,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44
11,"Illegal Weapon 2.0","Jasmine Sandlas",483500,https://open.spotify.com/track/7CY0CmCpSglfUKCBOOiRfw
12,"Haan Main Galat",Pritam,465430,https://open.spotify.com/track/0MLZAgKQKHbPsJ12qHS860
13,Makhna,"Tanishk Bagchi",463363,https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga
14,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Rochak Kohli",457016,https://open.spotify.com/track/57jOEZtoLQK4zF2x55bdkp
15,Skechers,DripReport,453629,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
16,"Intentions (feat. Quavo)","Justin Bieber",453472,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
17,"Humraah (From ""Malang - Unleash The Madness"")","Sachet Tandon",452661,https://open.spotify.com/track/4xmkpE1Si5JL7NFxWrhV0S
18,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",Badshah,448231,https://open.spotify.com/track/6q9XTgfWilsnyiFofvYrIF
19,"Toosie Slide",Drake,438960,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
20,Memories,"Maroon 5",424280,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
21,Daechwita,"Agust D",422801,https://open.spotify.com/track/0H4ugk6rhnXmTl47ayy9O5
22,Señorita,"Shawn Mendes",422059,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
23,"Stuck with U (with Justin Bieber)","Ariana Grande",420169,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
24,"Kaise Hua (From ""Kabir Singh"")","Vishal Mishra",419532,https://open.spotify.com/track/1y1rQTkWmrZdJmjwuK07GC
25,"Dance Monkey","Tones And I",416901,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
26,"ily (i love you baby) (feat. Emilee)","Surf Mesa",412675,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
27,"Pal Pal Dil Ke Paas- Title Track","Arijit Singh",394873,https://open.spotify.com/track/7lGhrfren1Zpwh0ds0zuUg
28,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,390221,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
29,"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")","Ayushmann Khurrana",388853,https://open.spotify.com/track/3qrdLVOClRU4yPkcXZ7c5u
30,Liggi,Ritviz,383747,https://open.spotify.com/track/66Nmp3ztIMqX1j8yYtWl1X
31,Mehrama,Pritam,377011,https://open.spotify.com/track/6cUOiOY5qh2FpIQWIYAd2h
32,"Duniyaa (From ""Luka Chuppi"")",Akhil,368722,https://open.spotify.com/track/3s3J70eRpRH2hcYq4mEXTJ
