,Position,Track Name,Artist,Streams,URL,Year,Month,Track ID,Danceability,Energy,Valence,Stream %,Danceability_Stream%,Valence_Stream%,Energy_Stream%
72,73,no tears left to cry,Ariana Grande,70639,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo,2019,1,2qT1uLXPVPzGgFOx4jtEuo,0.6990000000000001,0.713,0.354,0.00017691547992241595,0.00012366392046576875,6.262807989253524e-05,0.00012614073718468256
73,74,Keanu Reeves,Logic,68853,https://open.spotify.com/track/25F6MWrnFBCXVnpN4n76EK,2019,1,3PYx9Wte3jwb48V0wArMOy,0.7120000000000001,0.8909999999999999,0.799,0.0001724424402822535,0.0001227790174809645,0.00013778150978552056,0.00015364621429148786
74,75,whoa (mind in awe),XXXTENTACION,68693,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa,2019,1,7pdF27mSDuPWhppnHAmWHa,0.735,0.525,0.369,0.0001720417200457328,0.00012645066423361363,6.34833946968754e-05,9.032190302400973e-05
75,76,Ready Or Not,Church & AP,68465,https://open.spotify.com/track/2TejqRoFYkv0j77YGqnhFs,2019,1,5xvUgoVED1F4mBu8FL0HaW,0.715,0.872,0.748,0.0001714706937086908,0.0001226015460017139,0.00012826007889410072,0.00014952244491397838
76,77,Don’t Give It Up,SIX60,68066,https://open.spotify.com/track/5YOqfElMeshCt5oRk4yAgx,2019,1,0gTJK4pCZMh8PxYdaAgf2B,0.85,0.478,0.584,0.00017047139761886725,0.00014490068797603717,9.955529620941846e-05,8.148532806181854e-05
77,78,I Like Me Better,Lauv,67065,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,2019,1,2P91MQbaiQOfbiz9VqhqKQ,0.752,0.505,0.419,0.00016796439163913455,0.00012630922251262919,7.037708009679738e-05,8.482201777776295e-05
78,79,Jocelyn Flores,XXXTENTACION,66773,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,2019,1,7m9OqQk4RVRkw9JJdeAw96,0.872,0.391,0.43700000000000006,0.00016723307720748425,0.00014582724332492627,7.308085473967063e-05,6.538813318812634e-05
79,80,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,66125,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z,2019,1,7ycWLEP1GsNjVvcjawXz3z,0.8540000000000001,0.569,0.294,0.00016561016024957536,0.00014143107685313737,4.8689387113375156e-05,9.423218118200838e-05
80,81,Dreams - 2004 Remaster,Fleetwood Mac,66099,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz,2019,1,0ofHAoxe9vBkTCp2UQIavz,0.828,0.49200000000000005,0.789,0.00016554504321114076,0.00013707129577882453,0.00013061503909359007,8.144816125988126e-05
81,82,I Like It,Cardi B,65896,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,2019,1,58q2HKrzhC3ozto2nDdN4z,0.816,0.726,0.65,0.00016503662941105512,0.00013466988959942098,0.00010727380911718584,0.00011981659295242602
82,83,Toto,Drax Project,65891,https://open.spotify.com/track/5JH1NuPiHEB0Wl03rLHNq7,2019,1,2374M0fQpWi3dLnB54qaLX,0.6709999999999999,0.373,0.732,0.00016502410690366384,0.00011073117573235843,0.00012079764625348192,6.155399187506662e-05
83,84,God's Plan,Drake,65506,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,2019,1,6DCZcSspjsKoFjzjrWoCdn,0.754,0.449,0.35700000000000004,0.00016405987383453588,0.00012370114487124005,5.856937495892932e-05,7.366288335170662e-05
84,85,Shape of You,Ed Sheeran,65327,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2019,1,7qiZfU4dY1lWllzX7mPBI3,0.825,0.652,0.9309999999999999,0.00016361156806992834,0.00013497954365769088,0.00015232236987310327,0.00010667474238159328
85,86,Woman Like Me (feat. Nicki Minaj),Little Mix,65141,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED,2019,1,222B3aljXx6fFwKmFjuBED,0.754,0.8540000000000001,0.8,0.000163145730794973,0.00012301188101940963,0.0001305165846359784,0.00013932645409890694
86,87,I Love It (& Lil Pump),Kanye West,65139,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ,2019,1,4S8d14HvHb70ImctNgVzQQ,0.9009999999999999,0.522,0.32899999999999996,0.0001631407217920165,0.00014698979033460685,5.367329746957342e-05,8.515945677543261e-05
87,88,Drift Away,Sons Of Zion,63513,https://open.spotify.com/track/2bx4jOMWpCbemnnRWfsMbx,2019,1,0RFgvrhkf9FiDRLA0BhzpZ,0.583,0.66,0.861,0.00015906840238837477,9.273687859242248e-05,0.00013695789445639068,0.00010498514557632734
88,89,breathin,Ariana Grande,63235,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J,2019,1,4OafepJy2teCjYJbvFE60J,0.568,0.6559999999999999,0.364,0.00015837215097742,8.995538175517457e-05,5.764746295578088e-05,0.00010389213104118752
89,90,Woke Up Late,Drax Project,62754,https://open.spotify.com/track/4wrct9Dl3MSuszkggIpvbK,2019,1,4oPWkP9zQ5ANBbfdHGOvKF,0.698,0.66,0.35100000000000003,0.00015716748576637964,0.00010970290506493298,5.516578750399926e-05,0.00010373054060581058
90,91,Beautiful (feat. Camila Cabello),Bazzi,62421,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,2019,1,4VUwkH455At9kENOfzTqmF,0.638,0.7170000000000001,0.249,0.0001563334867741209,9.974076456188915e-05,3.8927038206756107e-05,0.0001120911100170447
91,92,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,62282,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e,2019,1,7iDa6hUg2VgEL1o1HjmfBn,0.643,0.7829999999999999,0.579,0.00015598536106864352,0.00010029858716713778,9.031552405874459e-05,0.00012213653771674788
92,93,Thotiana,Blueface,62202,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G,2019,1,5GBuCHuPKx6UC7VsSPK0t3,0.9059999999999999,0.382,0.391,0.00015578500095038316,0.00014114121086104714,6.0911935371599816e-05,5.950987036304637e-05
93,94,bury a friend,Billie Eilish,61849,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP,2019,1,4SSnFejRGlZikf02HLewEF,0.905,0.389,0.196,0.00015490091192855936,0.00014018532529534622,3.0360578737997633e-05,6.025645474020959e-05
94,95,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,61722,https://open.spotify.com/track/20ZP3Om9DvDazXrNUC7WM2,2019,1,5CLGzJsGqhCEECcpnFQA8x,0.653,0.809,0.55,0.00015458284024082104,0.00010094259467725615,8.502056213245159e-05,0.00012505751775482424
95,96,Lie To Me (feat. Julia Michaels),5 Seconds of Summer,61688,https://open.spotify.com/track/6GzApXoBQiiAjak3tOQfV3,2019,1,6GzApXoBQiiAjak3tOQfV3,0.611,0.52,0.7709999999999999,0.0001544976871905604,9.43980868734324e-05,0.00011911771682392204,8.03387973390914e-05
96,97,How To Fly,Sticky Fingers,61286,https://open.spotify.com/track/3jAoLij05OiNndX2XlSRdS,2019,1,6I3Evf3nNhxFA5lSM37Y0v,0.677,0.644,0.536,0.0001534908775963021,0.00010391332413269653,8.227111039161794e-05,9.884812517201856e-05
97,98,idontwannabeyouanymore,Billie Eilish,60908,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu,2019,1,41zXlQxzTi6cGAjpOXyLYH,0.483,0.41200000000000003,0.247,0.00015254417603752192,7.367883702612308e-05,3.767841148126791e-05,6.284820052745904e-05
98,99,In My Feelings,Drake,60878,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,2019,1,2G7V7zsVDxg1yRsu7Ew9RJ,0.835,0.626,0.35,0.0001524690409931743,0.00012731164922930052,5.3364164347611e-05,9.54456196617271e-05
99,100,Love Lies (with Normani),Khalid,60250,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk,2019,1,45Egmo7icyopuzJN0oMEdk,0.708,0.648,0.33799999999999997,0.0001508962140648305,0.00010683451955789999,5.100292035391271e-05,9.778074671401017e-05
100,101,Closer,SIX60,59793,https://open.spotify.com/track/1kpSmoMmNm3pcCU7MTTpoJ,2019,1,7BKLCZ1jbUBVqRi2FVlTVw,0.748,0.524,0.6609999999999999,0.0001497516568892682,0.00011201423935317262,9.898584520380628e-05,7.846986820997655e-05
101,102,Faucet Failure,Ski Mask The Slump God,58952,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN,2019,1,1ThmUihH9dF8EV08ku5AXN,0.935,0.552,0.615,0.00014764537114605623,0.00013804842202156257,9.080190325482459e-05,8.150024487262305e-05
102,103,Thunder,Imagine Dragons,58451,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,2019,1,1zB4vmk8tFRmM9UULNzbLB,0.605,0.8220000000000001,0.28800000000000003,0.00014639061590545073,8.856632262279769e-05,4.216049738076981e-05,0.00012033308627428051
103,104,Go Your Own Way - 2004 Remaster,Fleetwood Mac,58297,https://open.spotify.com/track/07GvNcU1WdyZJq3XxP0kZa,2019,1,4xh7W7tlNMIczFhupCPniY,0.586,0.941,0.831,0.00014600492267779957,8.555888468919054e-05,0.00012133009074525143,0.00013739063223980937
104,105,The Middle,Zedd,57799,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,2019,1,6GG73Jik4jUlQCkKg9JuGO,0.643,0.8490000000000001,0.903,0.00014475768094162884,9.307918884546735e-05,0.00013071618589029086,0.0001228992711194429
105,106,Falling Down - Bonus Track,Lil Peep,57744,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9,2019,1,4jvjzW7Hm0yK4LvvE0Paz9,0.669,0.574,0.273,0.00014461993336032484,9.675073541805732e-05,3.948124180736868e-05,8.301184174882645e-05
106,107,Don’t Forget Your Roots,SIX60,57581,https://open.spotify.com/track/5mUiad5pDU1wFvIbtKgJKB,2019,1,47xUzcYTwMWy9O273o2JeU,0.629,0.547,0.418,0.00014421169961936937,9.070915906058334e-05,6.0280490440896396e-05,7.888379969179505e-05
107,108,ocean eyes,Billie Eilish,57529,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU,2019,1,7hDVYcQq6MxkdJGweuCtl9,0.511,0.363,0.16899999999999998,0.00014408146554250014,7.362562889221757e-05,2.434976767668252e-05,5.230157199192755e-05
108,109,broken,lovelytheband,57384,https://open.spotify.com/track/6XcfKZvJio9Z0fQy11GnNX,2019,1,4W8sUeokQKfHt1uTXp0Jq0,0.83,0.583,0.146,0.00014371831282815326,0.0001192861996473672,2.0982873672910375e-05,8.378777637881335e-05
109,110,Mr. Brightside,The Killers,57104,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN,2019,1,7oK9VyNzrYvRFo7nQEYkWN,0.35600000000000004,0.924,0.23199999999999998,0.000143017052414242,5.091407065947016e-05,3.3179956160104145e-05,0.00013214775643075963
110,111,Say You Won't Let Go,James Arthur,56781,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2019,1,5uCax9HTNlzGybIStD3vDh,0.358,0.557,0.494,0.00014220809843676582,5.0910499240362164e-05,7.025080062776232e-05,7.920991082927857e-05
111,112,Trip,Ella Mai,56004,https://open.spotify.com/track/6CTWathupIiDs7U4InHnDA,2019,1,6CTWathupIiDs7U4InHnDA,0.47700000000000004,0.61,0.358,0.0001402621007881621,6.690502207595333e-05,5.021383208216203e-05,8.555988148077888e-05
112,113,Whatchamacallit (feat. Chris Brown),Ella Mai,55976,https://open.spotify.com/track/1YLfaRr3QIW1fF3nvDO0gX,2019,1,1YLfaRr3QIW1fF3nvDO0gX,0.6559999999999999,0.616,0.26899999999999996,0.00014019197474677097,9.196593543388174e-05,3.7711641206881386e-05,8.635825644401091e-05
113,114,Young Dumb & Broke,Khalid,55482,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY,2019,1,5Z3GHaZ6ec9bsiI5BenrbY,0.7979999999999999,0.539,0.39399999999999996,0.00013895475101651327,0.00011088589131117758,5.4748171900506225e-05,7.489661079790066e-05
114,115,Rum Rage,Sticky Fingers,54980,https://open.spotify.com/track/5uBK8Ap1BCEc4GgMcEjeic,2019,1,3OwsQhfC9eJdOlD3IO74l4,0.596,0.273,0.361,0.00013769749127442955,8.206770479956001e-05,4.9708794350069065e-05,3.759141511791927e-05
115,116,Another One Bites The Dust - Remastered 2011,Queen,54952,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7,2019,1,57JVGBtBLCfHw2muk5416J,0.9329999999999999,0.528,0.7559999999999999,0.00013762736523303842,0.00012840633176242484,0.00010404628811617703,7.266724884304429e-05
116,117,Nice For What,Drake,54857,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw,2019,1,3CA9pLiwRIGtUBiMjbZmRw,0.585,0.909,0.758,0.00013738943759260426,8.037282099167348e-05,0.00010414119369519403,0.00012488699877167728
117,118,Waiting,KIAN,54451,https://open.spotify.com/track/0TBFJanfWaByPIi3f7RR82,2019,1,5imShWWzwqfAJ9gXFpGAQh,0.578,0.7559999999999999,0.6629999999999999,0.00013637260999243295,7.882336857562624e-05,9.041504042498303e-05,0.0001030976931542793
118,119,Best Part (feat. Daniel Caesar),H.E.R.,54233,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig,2019,1,4OBZT9EnhYIV17t4pGw7ig,0.473,0.371,0.413,0.00013582662867017348,6.424599536099205e-05,5.609639764078164e-05,5.039167923663436e-05
