Position,Track Name,Artist,Streams,URL,Year,Month,Track ID,Danceability,Valence,Energy
36,Happier,Marshmello,1096906,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019,1,2dpaYNEQHiRxtZbfNsse99,0.687,0.792,0.671
37,Let You Love Me,Rita Ora,1092452,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP,2019,1,5Fla3zyOCcIRqrDoKLU0DP,0.475,0.846,0.451
38,Dior 2001,RIN,1077838,https://open.spotify.com/track/2eNSyVH3sNPiAj9WpRYK73,2019,1,6WusSsncC0Oo9sFHKwQii6,0.694,0.688,0.517
39,"thank u, next",Ariana Grande,1074507,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019,1,3e9HZxeyfWwjeyPAMmWSSQ,0.717,0.653,0.412
41,MILLIONDOLLAR$MILE,Loredana,991749,https://open.spotify.com/track/4nBcGqwztDJ29cyHVJtXsB,2019,1,4nBcGqwztDJ29cyHVJtXsB,0.796,0.637,0.401
43,Yapma,C ARMA,967952,https://open.spotify.com/track/40U9Hj3oyCRHRY1tq2zkbS,2019,1,1194zYf7UfSXP4omxVTmPa,0.771,0.711,0.832
44,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,963332,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,2019,1,27rdGxbavYJeBphck5MZAF,0.601,0.794,0.244
45,Say My Name,David Guetta,952835,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6,2019,1,7H6ev70Weq6DdpZyyTmUXk,0.713,0.678,0.734
46,Facetime,Dardan,944709,https://open.spotify.com/track/0oZyouBDStcJEUbTmSfys2,2019,1,55GLc4nywcX4aIlOcx1u06,0.701,0.624,0.383
47,Kokain,Bonez MC,921000,https://open.spotify.com/track/4Bj3usjRTckEJARO0dLbDf,2019,1,4Bj3usjRTckEJARO0dLbDf,0.615,0.677,0.608
48,Melodien (feat. Juju),Capital Bra,918456,https://open.spotify.com/track/5d35jcJj7WjDQBOHCHPY6t,2019,1,5d35jcJj7WjDQBOHCHPY6t,0.751,0.529,0.33
49,UFF,Veysel,913106,https://open.spotify.com/track/3Rq0ElVcisouAl71RtnTUS,2019,1,0og9wKFGgFFNQnrBe7eisG,0.647,0.792,0.306
50,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,881961,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2019,1,5JEx7HbmvHQQswJCsoo9rA,0.575,0.758,0.493
51,Lost in the Fire,Gesaffelstein,866596,https://open.spotify.com/track/7wFybC8jBH3zE139OpCtpG,2019,1,2vXKRlJBXyOcvZYTdNeckS,0.658,0.671,0.166
52,100 K (feat. Kurdo),GENT,853702,https://open.spotify.com/track/1ozcq14sW7YmG8ZQVFnqd7,2019,1,1ozcq14sW7YmG8ZQVFnqd7,0.693,0.681,0.48
53,Eastside (with Halsey & Khalid),benny blanco,846003,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019,1,0d2iYfpKoM0QCKvcLCkBao,0.56,0.68,0.319
54,ZEZE (feat. Travis Scott & Offset),Kodak Black,830290,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019,1,0FZ4Dmg8jJJAPJnvBIzD9z,0.861,0.603,0.504
55,Dancing With A Stranger (with Normani),Sam Smith,819761,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2019,1,6Qs4SXO9dwPj5GKvVOv8Ki,0.741,0.52,0.347
56,Giant (with Rag'n'Bone Man),Calvin Harris,813221,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd,2019,1,5itOtNx0WxtJmi1TQ3RuRd,0.807,0.887,0.606
57,Casanova,Summer Cem,786338,https://open.spotify.com/track/0jB0RNZIfaihaDKNmdrI40,2019,1,1O7hDH3rrF8eyLxrpeoOfb,0.711,0.844,0.802
58,Body (feat. brando),Loud Luxury,784819,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,2019,1,0BrDfbNc3HiIHPGfTT8DRc,0.752,0.763,0.593
59,Love Someone,Lukas Graham,747579,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2019,1,2JqnpexlO9dmvjUMCaLCLJ,0.55,0.415,0.274
60,thank you,Lena,747393,https://open.spotify.com/track/3uCZ4IqMY54A0jxRkyPGPl,2019,1,751gBcu62kORDelX7FV0mM,0.722,0.595,0.738
61,Patron,JAZN,742817,https://open.spotify.com/track/10kMLLcMUyL7jACnt5m8RB,2019,1,7pzwwHCibZEkqwXRzbGizT,0.469,0.598,0.926
62,MIA (feat. Drake),Bad Bunny,741091,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019,1,116H0KvKr2Zl4RPuVBruDO,0.817,0.539,0.158
63,Allein,Capital Bra,740137,https://open.spotify.com/track/4tW7mc0pab35DznfVlr3px,2019,1,4bcC04aZpc8WZnlBVcRlBv,0.249,0.17,0.134
64,WTF (feat. Amber Van Day),HUGEL,737755,https://open.spotify.com/track/0gn93i7HJt0calph67R5Wu,2019,1,0gn93i7HJt0calph67R5Wu,0.808,0.737,0.865
65,Look Back at It,A Boogie Wit da Hoodie,720835,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,2019,1,3Ol2xnObFdKV9pmRD2t9x8,0.791,0.587,0.536
66,Promises (with Sam Smith),Calvin Harris,715546,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2019,1,5N5k9nd479b1xpDZ4usjrg,0.781,0.768,0.486
67,Hayate,Luciano,699076,https://open.spotify.com/track/2vzQotgEoJMvqOQp9XxqFR,2019,1,2vzQotgEoJMvqOQp9XxqFR,0.797,0.512,0.348
68,Neymar,Capital Bra,692690,https://open.spotify.com/track/7ecGSqT8Ulbzhs5QwgWGVN,2019,1,0qoIfXZK0v0ztciAXPUsNz,0.43,0.494,0.79
69,Shallow,Lady Gaga,683218,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019,1,2VxeLyX666F8uXCJ0dZF8B,0.572,0.385,0.323
70,Saturday Nights,Khalid,680192,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,2019,1,5kfNriitmkNE8mUbZ7gbq8,0.551,0.44,0.341
71,BONNIE & CLYDE,Loredana,677296,https://open.spotify.com/track/5UtiebKGhsSce9gX1qCqic,2019,1,3zls854dRathxLF4aoMJm2,0.497,0.613,0.404
72,Mercedes,Eno,675525,https://open.spotify.com/track/3FHppoOv1gMexzC9XyMCFz,2019,1,6aUN1ohc0Irtvw5wkunZVd,0.712,0.383,0.166
73,Ruin My Life,Zara Larsson,668929,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU,2019,1,5tAa8Uaqr4VvA3693mbIhU,0.665,0.699,0.585
74,Better Now,Post Malone,667844,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2019,1,7dt6x5M1jzdTEt8oCbisTK,0.68,0.578,0.341
75,Happy Now,Kygo,666259,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4,2019,1,4keoy2fqgwGnbWlm3ZVZFa,0.503,0.741,0.458
76,SICKO MODE,Travis Scott,661530,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019,1,2xLMifQCjDGFmkHkpNLD9h,0.834,0.73,0.446
77,Abfahrt,FiNCH,660806,https://open.spotify.com/track/4Gq7MQyUxW3C7iGWooMffP,2019,1,7sIQ5eF9ZmZY6lGGwZKaP9,0.638,0.98,0.219
78,when the party's over,Billie Eilish,642977,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,2019,1,43zdsphuZLzwA9k4DJhU0I,0.367,0.111,0.198
79,Bad Liar,Imagine Dragons,637320,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,2019,1,2RSHsoi04658QL5xgQVov3,0.383,0.637,0.0827
80,Rückkehr,Kianush,635839,https://open.spotify.com/track/7wmZnYFNeYyBmK4ncNvhgP,2019,1,7fPwFEvbbx8ts8DHSxS6Vr,0.795,0.877,0.51
81,Valentino Camouflage,Luciano,628345,https://open.spotify.com/track/0RMrNZG8THmtHXU90tfsQY,2019,1,5phG3pqcfpBIKE63vpheYb,0.811,0.729,0.632
82,Kiss and Make Up,Dua Lipa,617273,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,2019,1,7jr3iPu4O4bTCVwLMbdU2i,0.678,0.729,0.643
83,Going Bad (feat. Drake),Meek Mill,616239,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019,1,2IRZnDFmlqMuOrYOLnZZyc,0.889,0.496,0.544
84,SAD!,XXXTENTACION,608502,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2019,1,3ee8Jmje8o58CHK66QrVC2,0.74,0.613,0.473
85,Moonlight,XXXTENTACION,597367,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2019,1,0JP9xo3adEtGSdUEISiszL,0.921,0.537,0.711
88,Taste (feat. Offset),Tyga,588865,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy,2019,1,5IaHrVsrferBYDm0bDyABy,0.884,0.559,0.342
89,Einmal,Mark Forster,586346,https://open.spotify.com/track/4MshU1BZjRZjXtoSpaOJlL,2019,1,2L6hCTpUlR2p7Su3hiSB0s,0.726,0.9,0.973
90,Nummer unterdrückt,Bonez MC,585969,https://open.spotify.com/track/2SRVj6ceeIffVEm9NFyRHI,2019,1,2SRVj6ceeIffVEm9NFyRHI,0.812,0.749,0.773
91,rockstar (feat. 21 Savage),Post Malone,583673,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2019,1,0e7ipj03S05BNilyu5bRzt,0.585,0.52,0.129
92,One Night Stand,Capital Bra,582486,https://open.spotify.com/track/3AXtDUSO78KrGa9Rq8rWUS,2019,1,47qZzTLLJcuD69AIKnquo4,0.537,0.686,0.611
93,Copacabana,Leon Machère,573898,https://open.spotify.com/track/214Mx6MSJhtaO1uPtZGqLH,2019,1,5FMXrphygZ4z3gVDHGWxgl,0.606,0.899,0.66
94,Girls Like You (feat. Cardi B),Maroon 5,569342,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019,1,6V1bu6o1Yo5ZXnsCJU8Ovk,0.851,0.541,0.448
95,Solo (feat. Demi Lovato),Clean Bandit,563547,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h,2019,1,6kPJZM97LwdG9QIsT7khp6,0.737,0.636,0.565
96,Calma - Remix,Pedro Capó,554198,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019,1,5iwz1NiezX7WWjnCgY5TH4,0.826,0.773,0.761
97,KIKA,6ix9ine,549485,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3,2019,1,6VRwEqn7BvsN0dChfDrMAf,0.745,0.715,0.342
98,Ballin,Luciano,548883,https://open.spotify.com/track/4PwQl3zVNOg1NUZzTOux8S,2019,1,3QzAOrNlsabgbMwlZt7TAY,0.809,0.545,0.244
99,Natural,Imagine Dragons,548385,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT,2019,1,2FY7b99s15jUprqC0M5NCT,0.704,0.611,0.22
100,Hope,The Chainsmokers,546991,https://open.spotify.com/track/4BiiOzZCrXEzHRLYcYFiD5,2019,1,2ZRo7axmMPeSVUvDbGkJah,0.592,0.457,0.225
101,Was du Liebe nennst,Bausa,544510,https://open.spotify.com/track/2hIY4sjfMeKwXXh2LvhrMo,2019,1,4hKWUzhQWsOkgT6LnDEASe,0.874,0.487,0.746
102,Risiko,Bonez MC,541528,https://open.spotify.com/track/4HIv1dRF270YMyfvuxnF0d,2019,1,4HIv1dRF270YMyfvuxnF0d,0.772,0.737,0.229
103,Rise,Jonas Blue,535430,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx,2019,1,69Sy7207dnixZ6w7RSV9Kb,0.459,0.663,0.412
104,SOS,Nura,532917,https://open.spotify.com/track/7MlQrxSlPiZzCDTRr1tMXd,2019,1,30cSNer6TV8x2utjULVeQ5,0.677,0.671,0.527
105,Tamam Tamam,Summer Cem,519908,https://open.spotify.com/track/2eRq2jwsZtb0uGH4qUsvT1,2019,1,2eRq2jwsZtb0uGH4qUsvT1,0.886,0.642,0.581
106,Skam Koh,Azet,516706,https://open.spotify.com/track/1wtKmJbFITh1WRz70QWksh,2019,1,1wtKmJbFITh1WRz70QWksh,0.787,0.742,0.436
107,No Stylist (feat. Drake),French Montana,512940,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A,2019,1,04MLEeAMuV9IlHEsD8vF6A,0.765,0.704,0.498
108,Lucid Dreams,Juice WRLD,511418,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2019,1,285pBltuF7vW8TeWk8hdRR,0.511,0.566,0.218
110,So Close,NOTD,499061,https://open.spotify.com/track/7FjZU7XFs7P9jHI9Z0yRhK,2019,1,7FjZU7XFs7P9jHI9Z0yRhK,0.7,0.872,0.761
111,Weiß maskiert,Luciano,498290,https://open.spotify.com/track/5ZbcYWBQWoCpuVip1fmeMY,2019,1,5ZbcYWBQWoCpuVip1fmeMY,0.825,0.626,0.642
112,Nevermind,Dennis Lloyd,495887,https://open.spotify.com/track/63SevszngYpZOwf63o61K4,2019,1,63SevszngYpZOwf63o61K4,0.6,0.688,0.0793
113,Mo Bamba,Sheck Wes,493465,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2019,1,1xzBco0xcoJEDXktl7Jxrr,0.729,0.625,0.261
114,Blah Blah Blah,Armin van Buuren,491561,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj,2019,1,7lWUJpax919G4JdaFEVmCy,0.752,0.836,0.519
