,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
51,"You Need To Calm Down","Taylor Swift",198397,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
52,"Gur Nalo Ishq Mitha - The Yoyo Remake","Yo Yo Honey Singh",198151,https://open.spotify.com/track/6YmRRCqSd6n4Qd3ziRfPSc
53,"Apna Time Aayega","Ranveer Singh",197198,https://open.spotify.com/track/5uaIbU3oHHcSOK6WFNK5nj
54,"Cruel Summer","Taylor Swift",196238,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr
55,"Tujhe Kitna Chahein Aur (Film Version)","Jubin Nautiyal",196054,https://open.spotify.com/track/0mHU8dcIvGrGDazLMmQpSg
56,"Hawa Banke","Darshan Raval",194355,https://open.spotify.com/track/3YVQHUpNexOqkLI7IclsoT
57,Jugraafiya,"Udit Narayan",193221,https://open.spotify.com/track/5BgtNz0AsCIIu2pfbCfq5c
58,"She Move It Like",Badshah,192575,https://open.spotify.com/track/39vrbjCMTRXEdiIr2IsBgd
59,"I Forgot That You Existed","Taylor Swift",192375,https://open.spotify.com/track/43rA71bccXFGD4C8GOpIlN
60,"First Class","Arijit Singh",191846,https://open.spotify.com/track/7s0qlp1ibUxVXLsOM0YWia
61,"Photo (From ""Luka Chuppi"")","Karan Sehmbi",190730,https://open.spotify.com/track/5wdlz4N7s1Xyr4y4RXhZJM
62,"Aankh Marey (From ""Simmba"")","Neha Kakkar",190145,https://open.spotify.com/track/790uNrqzKWCvj8rR1QXNpU
63,Pal,Javed-Mohsin,189768,https://open.spotify.com/track/5G7pZ8G8NFvS1MQ9H4L7dC
64,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",182407,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
65,"Teri Mitti",Arko,179792,https://open.spotify.com/track/75hrPAosuDiO9F3DKwVP12
66,"Main Deewana Tera (From ""Arjun Patiala"")","Guru Randhawa",177957,https://open.spotify.com/track/5n8BCU2JmPORrFboGeDlXV
67,"Someone You Loved","Lewis Capaldi",177617,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
68,"Without Me",Halsey,175921,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
69,Believer,"Imagine Dragons",173485,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
70,"Rula Diya (From ""Batla House"")","Ankit Tiwari",173420,https://open.spotify.com/track/6sTbnkzOtPpojgnn50cCHJ
71,"Miss Americana & The Heartbreak Prince","Taylor Swift",170361,https://open.spotify.com/track/214nt20w5wOxJnY462klLw
72,"Slow Motion (From ""Bharat"")","Shreya Ghoshal",169558,https://open.spotify.com/track/7yEuRloGyxyu1KaWBTPP1Z
73,"Baby Won't You Tell Me (From ""Saaho"")","Shweta Mohan",167766,https://open.spotify.com/track/1LMwOxNStAp24Py3mWoRkb
74,"Dil Mein Ho Tum (From ""Cheat India"")","Armaan Malik",166425,https://open.spotify.com/track/1mjWhM7GQTTxJxg2F0iCRS
75,"Chogada (From ""Loveyatri"")","Darshan Raval",164798,https://open.spotify.com/track/4ymPEyiXabTe1NO8q8EFxG
76,Qaafirana,"Arijit Singh",164085,https://open.spotify.com/track/0xkGTPTijMU84dtHr3KQQi
77,"Kaam 25 - Sacred Games",DIVINE,162693,https://open.spotify.com/track/6Kynli1iHBqJRWUCohcV9h
78,"Wang Da Naap","Ammy Virk",162197,https://open.spotify.com/track/5r7k55M31Q22AEJkF1GTyw
79,"Crazy Habibi Vs Decent Munda (From ""Arjun Patiala"")","Guru Randhawa",161657,https://open.spotify.com/track/7yy3HgKJEcwArL5k0v5rhF
80,"Paniyon Sa","Atif Aslam",160001,https://open.spotify.com/track/2si0ZNx4yRbggTvrIom8A2
81,"Naina Da Kya Kasoor","Amit Trivedi",156219,https://open.spotify.com/track/4JQxGJ8jsKW8pOUVoAgOZr
82,"I Like Me Better",Lauv,156121,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
83,"7 rings","Ariana Grande",154396,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
84,"Morni Banke (From ""Badhaai Ho"")","Guru Randhawa",154285,https://open.spotify.com/track/5x3K3Ld54TtkYKdQvrFOV3
85,"Paper Rings","Taylor Swift",153110,https://open.spotify.com/track/4y5bvROuBDPr5fuwXbIBZR
86,Hawayein,Pritam,152470,https://open.spotify.com/track/0l6g8Z8mqGbGXFOjigYetD
87,"Channa Mereya",Pritam,151999,https://open.spotify.com/track/0H2iJVgorRR0ZFgRqGUjUM
88,Ransom,"Lil Tecca",151468,https://open.spotify.com/track/1kBbgxAUc4HQv7cgIayIDH
89,"Tere Bin (From ""Simmba"")","Rahat Fateh Ali Khan",151416,https://open.spotify.com/track/4f5kLqyOJ5ZPnalEVMQrB2
90,Lalala,Y2K,150530,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
91,"Enna Sona","A.R. Rahman",149940,https://open.spotify.com/track/6bdpj89aYEBjhpsenXAsmO
92,"Leja Re","Dhvani Bhanushali",149682,https://open.spotify.com/track/68iBMrMRc1rg4eAxJbvxch
93,"Yeh Aaina","Shreya Ghoshal",149627,https://open.spotify.com/track/62RXe5I6L7n32fUMd8Puvo
94,"Yaari Hai","Tony Kakkar",147429,https://open.spotify.com/track/0FYUkPbieYs5KbRxQw3UCe
95,"Nazar Na Lag Jaaye (From ""Stree"")","Ash King",147369,https://open.spotify.com/track/0cWLJcdvM6QlOQ7UJdB4jb
96,"The Humma Song","A.R. Rahman",147183,https://open.spotify.com/track/7heMX7gyHP0mhTlNgd7Lxd
97,"Kya Baat Ay","Harrdy Sandhu",147017,https://open.spotify.com/track/1ZaeaGLhFSckG8sv1y7AWk
98,"Dil Diyan Gallan",Vishal-Shekhar,146831,https://open.spotify.com/track/5MnAi6ZF7cE8pAz7wYr9Ta
99,"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")","Arijit Singh",145967,https://open.spotify.com/track/1aIhAX6324JZmhNnGltwkK
100,Sucker,"Jonas Brothers",144330,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
101,"If I Can't Have You","Shawn Mendes",143833,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
102,"Ye Chota Nuvvunna (From ""Saaho"") (feat. Tulsi Kumar, Haricharan Seshadri)","Guru Randhawa",142431,https://open.spotify.com/track/499rs8fMaltXk2BOlq9P0m
103,Faded,"Alan Walker",141978,https://open.spotify.com/track/698ItKASDavgwZ3WjaWjtz
104,"Radhe Radhe","Meet Bros.",140942,https://open.spotify.com/track/48ALhEnT1bFo1n4TYlhBhB
105,"Pal Pal Dil Ke Paas- Title Track","Arijit Singh",140515,https://open.spotify.com/track/7lGhrfren1Zpwh0ds0zuUg
106,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",140368,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45
107,"I Think He Knows","Taylor Swift",138866,https://open.spotify.com/track/2YWtcWi3a83pdEg3Gif4Pd
108,"Sachiya Mohabbatan (From ""Arjun Patiala"")","Sachet Tandon",138091,https://open.spotify.com/track/28w9HJdplcvHhwwRIbcoKY
109,"London Boy","Taylor Swift",136470,https://open.spotify.com/track/1LLXZFeAHK9R4xUramtUKw
110,"rockstar (feat. 21 Savage)","Post Malone",136362,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
111,Lamberghini,"The Doorbeen",135420,https://open.spotify.com/track/7cFuzwgbtHXmSKuCzo0qCW
112,Muchh,"Diljit Dosanjh",135105,https://open.spotify.com/track/3m3uKnTWKAPlnfggqVsIOq
113,"Valentine's Mashup 2019","Amrita Singh",135018,https://open.spotify.com/track/1MhHomaXgrPMBroXkpWSSa
114,Samjhawan,"Jawad Ahmad",132726,https://open.spotify.com/track/0rk2X5TAhraBC5aCIXK2Rq
115,"Call You Mine","The Chainsmokers",132356,https://open.spotify.com/track/1SNiXDwSilLujcYdvfqVpT
116,"Ik Vaari Aa (From ""Raabta"")","Arijit Singh",131007,https://open.spotify.com/track/5sul5AkWmzi2fE70oS7mK9
117,Closer,"The Chainsmokers",129919,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
118,"Suit Suit","Guru Randhawa",129280,https://open.spotify.com/track/2mwBSO58y92EYmEFpDfmS7
119,"Dil Chori (From ""Sonu Ke Titu Ki Sweety"")","Yo Yo Honey Singh",128763,https://open.spotify.com/track/3NKuSd9Qa5fzwhqiuKYFh4
120,"Treat You Better","Shawn Mendes",128580,https://open.spotify.com/track/3QGsuHI8jO1Rx4JWLUh9jd
121,"Slowly Slowly","Guru Randhawa",127329,https://open.spotify.com/track/4pBxb7WuLsC3YyA9cj4T2l
122,"Ho Jaa Awara","Ash King",125107,https://open.spotify.com/track/1Mh5QtDmljk95Zqr6sQceA
123,"The Archer","Taylor Swift",124496,https://open.spotify.com/track/3pHkh7d0lzM2AldUtz2x37
124,"Hi Sonna Pothum (From ""Comali"")","Hiphop Tamizha",124176,https://open.spotify.com/track/6b84SSP7e5LwfvNPoDPshX
125,Happier,Marshmello,123668,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
126,"High Rated Gabru (From ""Nawabzaade"")","Guru Randhawa",123342,https://open.spotify.com/track/1ozrNv9W4KlprAmvgH0Yrq
127,"Old Town Road","Lil Nas X",123052,https://open.spotify.com/track/0F7FA14euOIX8KcbEturGH
128,"Woh Baarishein","Arjun Kanungo",122984,https://open.spotify.com/track/3RFNUexrtXExkzTEiJ0eBh
129,"Haaye Oye (feat. Ash King)",QARAN,122235,https://open.spotify.com/track/0oukMLKedsqQ3ltnI2daRO
130,"Cornelia Street","Taylor Swift",120935,https://open.spotify.com/track/12M5uqx0ZuwkpLp5rJim1a
131,Daryaa,"Ammy Virk",120287,https://open.spotify.com/track/3ExeNEpJJQXfmq1cwj0LVo
132,"Boy With Luv (feat. Halsey)",BTS,118641,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
133,Thunder,"Imagine Dragons",118598,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
134,"Girls Like You (feat. Cardi B)","Maroon 5",118505,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
135,"Gali Gali (From ""Kgf Chapter 1"")","Neha Kakkar",118375,https://open.spotify.com/track/2m8P30Ly9Az1uGvFmhLTBI
136,"Dil Ka Telephone","Meet Bros.",118240,https://open.spotify.com/track/2by8FVjoggo96ntJFHusVw
137,"Akh Lad Jaave",Badshah,118229,https://open.spotify.com/track/5SVpD60u9vjoQ2OeoKsTkb
138,Kamariya,"Aastha Gill",117523,https://open.spotify.com/track/5cjVsWqIkBQC7acTRhL0RO
139,"O Saathi","Atif Aslam",117420,https://open.spotify.com/track/6fScgF2Y63ScU73nYju0ny
140,"Pani Pani Re - Rewind Version","Monali Thakur",116932,https://open.spotify.com/track/2ucfSyOGwjmb89j4zcwFCO
141,"Let Me Love You","DJ Snake",116634,https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU
142,"Paisa Note (From ""Comali"")","Hiphop Tamizha",116422,https://open.spotify.com/track/6FXKnyOJBnwQYzxDfcTd8i
143,Viah,"Jass Manak",116345,https://open.spotify.com/track/12V0iduYsoXxsQYTSeFB2H
144,"Eastside (with Halsey & Khalid)","benny blanco",115809,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
145,"No Guidance (feat. Drake)","Chris Brown",115579,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
146,Cradles,"Sub Urban",115286,https://open.spotify.com/track/1y4jsQt7MjnZhiD1L6qFBC
147,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","DJ Snake",114709,https://open.spotify.com/track/0KoiMHhqKLoL4xM54rcWYY
148,Khaab,Akhil,113823,https://open.spotify.com/track/0a6zRnrjmaOcqsEIFkXIhw
149,"Udd Gaye - Bacardi House Party Sessions",Ritviz,113066,https://open.spotify.com/track/6wZJsut8fjiWiMPaccRAOX
150,"Dimaak Kharaab","Keerthana Sharma",112423,https://open.spotify.com/track/2xr3uvrbq6OKCUX2puxj8q
151,Teeth,"5 Seconds of Summer",112163,https://open.spotify.com/track/26wLOs3ZuHJa2Ihhx6QIE6
152,"Kaash Aisa Hota","Darshan Raval",112009,https://open.spotify.com/track/5aA9HqRPZHROKWrO5RczTm
153,"Sawarne Lage","Tanishk Bagchi",111667,https://open.spotify.com/track/7E4sdzJDrVMu8qcwyxz3vP
154,"Havana (feat. Young Thug)","Camila Cabello",111432,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
155,"Hoyna Hoyna (From ""Gang Leader"")","Anirudh Ravichander",110444,https://open.spotify.com/track/7hADNKBDHS8MblpUzLebLf
156,Lily,"Alan Walker",109809,https://open.spotify.com/track/0lks2Kt9veMOFEAPN0fsqN
157,"Bekhayali Acoustic - Dhvani Bhanushali Version (From ""T-Series Acoustics"")","Dhvani Bhanushali",108983,https://open.spotify.com/track/0fcnEPWBnqHKqKsR4JXjAS
158,"Ismart Title Song","Mani Sharma",108715,https://open.spotify.com/track/60VyQzsBj1DddurUZGHUQ7
