,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Waalian,Harnoor,1397115,https://open.spotify.com/track/4Nc4ojIRbHohLiX9NmKkVh
2,Shayad,Pritam,1289244,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL
3,Mirchi,DIVINE,1231341,https://open.spotify.com/track/7zKzD5wM18bQSiJTAxTpwH
4,Titliaan,"Afsana Khan",1209883,https://open.spotify.com/track/1980E4Grgu5xAhNbFZ1mb1
5,positions,"Ariana Grande",1125222,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
6,"Naach Meri Rani","Guru Randhawa",1097061,https://open.spotify.com/track/1orM67pmkNc4alrZkWjYkV
7,"Aabaad Barbaad",Pritam,1094806,https://open.spotify.com/track/3jxNbVmugKWFFc3YAVl0sD
8,"Agar Tum Saath Ho (From ""Tamasha"")","Alka Yagnik",1050837,https://open.spotify.com/track/2FCXQHugkoHE1K3tiDu8pu
9,Liggi,Ritviz,1034059,https://open.spotify.com/track/66Nmp3ztIMqX1j8yYtWl1X
10,Dynamite,BTS,984686,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
11,willow,"Taylor Swift",918263,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
12,"Mood (feat. iann dior)",24kGoldn,897536,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
13,Libaas,Kaka,857402,https://open.spotify.com/track/0vqw3BCyNr3DDVBmjD21H8
14,"BurjKhalifa (From ""Laxmii"")",Shashi,850739,https://open.spotify.com/track/3ZVKI8jix6PjEFx2xFBFhz
15,Khairiyat,Pritam,839749,https://open.spotify.com/track/5O932cZmzOZGOGZz9RHx20
16,"Ghungroo (From ""War"")","Arijit Singh",838501,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44
17,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",829967,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
18,"Teri Aankhon Mein","Darshan Raval",781164,https://open.spotify.com/track/3wmI2n0Whs6kg4MT8jFRU1
19,"Life Goes On",BTS,759532,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
20,"Blinding Lights","The Weeknd",743993,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
21,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",Badshah,719969,https://open.spotify.com/track/6q9XTgfWilsnyiFofvYrIF
22,Makhna,"Tanishk Bagchi",719486,https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga
23,"Taaron Ke Shehar","Neha Kakkar",717725,https://open.spotify.com/track/1r6sFC5J0p9r3jcfIoSGDM
24,"Care Ni Karda (From ""Chhalaang"")","Sweetaj Brar",706629,https://open.spotify.com/track/6e5DH8YHXdM40ROnD76hZd
25,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Rochak Kohli",699061,https://open.spotify.com/track/57jOEZtoLQK4zF2x55bdkp
26,"No Competition","Jass Manak",688175,https://open.spotify.com/track/4AVe62GFbb3ffKXjUSpiuv
27,"Play Date","Melanie Martinez",683546,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
28,"Illegal Weapon 2.0 (From ""Street Dancer 3D"")","Jasmine Sandlas",672373,https://open.spotify.com/track/11IAzj9706fIKBVCJyMNNt
29,"Genda Phool (feat. Payal Dev)",Badshah,655736,https://open.spotify.com/track/0gzu5mm36VJH2Zqu8sQPTf
30,Señorita,"Shawn Mendes",650783,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
31,"lovely (with Khalid)","Billie Eilish",649056,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
32,"First Kiss","Yo Yo Honey Singh",641078,https://open.spotify.com/track/1nhJF3mMAL9UgBz3vLLNuM
33,"Love Your Voice",JONY,611275,https://open.spotify.com/track/75VNPADAFa4iNpjEBUYMhF
34,Memories,"Maroon 5",604678,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
35,34+35,"Ariana Grande",598347,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
