,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Duniyaa (From ""Luka Chuppi"")",Akhil,280383,https://open.spotify.com/track/2tjWCe2W7sgvS3C8NHcdtI
2,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",264447,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
3,Vaaste,"Dhvani Bhanushali",251345,https://open.spotify.com/track/0mJTAdmY8olbGQjopDYff3
4,"bad guy","Billie Eilish",246899,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
5,"If I Can't Have You","Shawn Mendes",232816,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
6,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",221905,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
7,"On My Way","Alan Walker",214582,https://open.spotify.com/track/4n7jnSxVLd8QioibtTDBDq
8,"Ve Maahi","Arijit Singh",204174,https://open.spotify.com/track/7ltu5scschhmNWp5rp8rVF
9,"Kalank (Title Track)","Arijit Singh",201641,https://open.spotify.com/track/6vo7Y1iWyZvpjvFbf6BiZ5
10,"The Hook Up Song",Vishal-Shekhar,193460,https://open.spotify.com/track/1bLNqR3bqpyWkwWKECjVrw
11,Sucker,"Jonas Brothers",186731,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
12,"Boy With Luv (feat. Halsey)",BTS,181231,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
13,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",181093,https://open.spotify.com/track/4MsUsFfWseB9M2plGJyuIw
14,"Without Me",Halsey,171247,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
15,Nightmare,Halsey,167872,https://open.spotify.com/track/340UVheS8z3ncW9TTUhAbc
16,"7 rings","Ariana Grande",164513,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
17,"Hauli Hauli (From ""De De Pyaar De"")","Garry Sandhu",159500,https://open.spotify.com/track/60XrRbNjDMAGUZ2xLkU9W3
18,"Homicide (feat. Eminem)",Logic,145215,https://open.spotify.com/track/2MuMD298IpYqKF367wegUd
19,"Apna Time Aayega","Ranveer Singh",141105,https://open.spotify.com/track/5uaIbU3oHHcSOK6WFNK5nj
20,"Coca Cola (From ""Luka Chuppi"")","Tony Kakkar",141056,https://open.spotify.com/track/4bKkdGBttnK4SYjT4zPC1U
21,,,140562,https://open.spotify.com/track/47rbjDud83d3aqvbcTssei
22,"Old Town Road","Lil Nas X",140149,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
23,"The Jawaani Song",Vishal-Shekhar,134229,https://open.spotify.com/track/3IzQc4KEAFd8lIc90X7FZr
24,SOS,Avicii,131247,https://open.spotify.com/track/6nDKrPlXdpomGBgAlO7UdP
25,"Photo (From ""Luka Chuppi"")","Karan Sehmbi",125410,https://open.spotify.com/track/5wdlz4N7s1Xyr4y4RXhZJM
26,"Slow Motion (From ""Bharat"")","Shreya Ghoshal",124356,https://open.spotify.com/track/7yEuRloGyxyu1KaWBTPP1Z
27,"First Class","Arijit Singh",121105,https://open.spotify.com/track/7s0qlp1ibUxVXLsOM0YWia
28,"Proper Patola",Badshah,120626,https://open.spotify.com/track/39ujbBjTwwqUFySaCYDMMT
29,"A Whole New World (End Title) - From ""Aladdin""",ZAYN,118699,https://open.spotify.com/track/1iWHabUgUuuKLBa0TzTHfk
30,"i'm so tired...",Lauv,118092,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
31,"Aankh Marey (From ""Simmba"")","Neha Kakkar",117422,https://open.spotify.com/track/790uNrqzKWCvj8rR1QXNpU
32,"Here With Me",Marshmello,115913,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
33,Wow.,"Post Malone",115886,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
34,"Chashni (From ""Bharat"")","Abhijeet Srivastava",111917,https://open.spotify.com/track/5X5db3FrBOHbibrFKA02MQ
35,"I Like Me Better",Lauv,106922,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
36,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)","benny blanco",106294,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt
37,"Dilbar (From ""Satyameva Jayate"")","Neha Kakkar",106079,https://open.spotify.com/track/6cARnc9YVlBNigjNSX63pp
38,Happier,Marshmello,105558,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
39,Lamberghini,"The Doorbeen",105020,https://open.spotify.com/track/45P9g6kUb7itdonjjGjDdS
40,"Someone You Loved","Lewis Capaldi",104527,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
41,"She Move It Like",Badshah,104003,https://open.spotify.com/track/39vrbjCMTRXEdiIr2IsBgd
42,"Eastside (with Halsey & Khalid)","benny blanco",103817,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
