,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Genda Phool (feat. Payal Dev)",Badshah,1145317,https://open.spotify.com/track/0gzu5mm36VJH2Zqu8sQPTf
2,"death bed (coffee for your head)",Powfu,901366,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
3,Skechers,DripReport,837404,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
4,Shayad,Pritam,811803,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL
5,Falling,"Trevor Daniel",724166,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
6,"Blinding Lights","The Weeknd",693151,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
7,"Illegal Weapon 2.0","Jasmine Sandlas",676642,https://open.spotify.com/track/7CY0CmCpSglfUKCBOOiRfw
8,"Ghungroo (From ""War"")","Arijit Singh",662191,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44
9,"Toosie Slide",Drake,653968,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
10,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",Badshah,639787,https://open.spotify.com/track/6q9XTgfWilsnyiFofvYrIF
11,"Malang (Title Track) [From ""Malang - Unleash The Madness""]","Ved Sharma",616467,https://open.spotify.com/track/25MPTnqXQB1H6OkwSYUXWx
12,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",601648,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
13,"Haan Main Galat",Pritam,581669,https://open.spotify.com/track/0MLZAgKQKHbPsJ12qHS860
14,"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")","Ayushmann Khurrana",569881,https://open.spotify.com/track/3qrdLVOClRU4yPkcXZ7c5u
15,"Intentions (feat. Quavo)","Justin Bieber",568353,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
16,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Rochak Kohli",561766,https://open.spotify.com/track/57jOEZtoLQK4zF2x55bdkp
17,"Roses - Imanbek Remix","SAINt JHN",558019,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
18,"Pal Pal Dil Ke Paas- Title Track","Arijit Singh",529382,https://open.spotify.com/track/7lGhrfren1Zpwh0ds0zuUg
19,Makhna,"Tanishk Bagchi",509266,https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga
20,"The Box","Roddy Ricch",496498,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
21,"Yaad Piya Ki Aane Lagi","Neha Kakkar",469755,https://open.spotify.com/track/0TkquWzzuxcrwbCWlTrKYF
22,"Kaise Hua (From ""Kabir Singh"")","Vishal Mishra",466597,https://open.spotify.com/track/1y1rQTkWmrZdJmjwuK07GC
23,"Don't Start Now","Dua Lipa",449884,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
24,"Dance Monkey","Tones And I",449672,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
